\Pi_1,Oh,,,,,,,,,,,,,,,
6.24E-12,3780.462408,,,,,,,,,,,,,,,
1.23E-11,2147.416592,,,,,,,,,,,,,,,
2.01E-11,1145.429593,,,,,,,,,,,,,,,
3.44E-11,705.559863,,,,,,,,,,,,,,,
5.37E-11,453.9523319,,,,,,,,,,,,,,,
1.26E-10,211.7345271,,,,,,,,,,,,,,,
2.04E-10,123.3907343,,,,,,,,,,,,,,,
2.81E-10,94.1809411,,,,,,,,,,,,,,,
5.03E-10,50.86370701,,,,,,,,,,,,,,,
8.89E-10,34.10141808,,,,,,,,,,,,,,,
2.10E-09,12.74594,,,,,,,,,,,,,,,
8.00E-09,6.279580304,,,,,,,,,,,,,,,
8.32E-12,1996.866822,,,,,,,,,,,,,,,
2.34E-11,892.2211394,,,,,,,,,,,,,,,
6.63E-11,379.3980011,,,,,,,,,,,,,,,
1.81E-10,128.4174589,,,,,,,,,,,,,,,
6.10E-10,44.71058293,,,,,,,,,,,,,,,
1.08E-09,29.0232857,,,,,,,,,,,,,,,
2.62E-09,15.23859925,,,,,,,,,,,,,,,
8.18E-09,6.913257412,,,,,,,,,,,,,,,
1.03E-11,1207.016309,,,,,,,,,,,,,,,
1.79E-11,807.6018908,,,,,,,,,,,,,,,
5.64E-11,295.406229,,,,,,,,,,,,,,,
6.67E-11,238.3366895,,,,,,,,,,,,,,,
1.79E-10,146.3957859,,,,,,,,,,,,,,,
2.34E-10,128.4422118,,,,,,,,,,,,,,,
2.99E-10,62.83063453,,,,,,,,,,,,,,,
5.08E-10,56.64509604,,,,,,,,,,,,,,,
6.62E-10,77.83188887,,,,,,,,,,,,,,,
9.19E-10,37.61029498,,,,,,,,,,,,,,,
2.28E-09,14.49196352,,,,,,,,,,,,,,,
3.25E-09,13.85088655,,,,,,,,,,,,,,,
3.93E-09,9.04904463,,,,,,,,,,,,,,,
5.84E-09,9.461750848,,,,,,,,,,,,,,,
5.68E-09,6.688036151,,,,,,,,,,,,,,,
1.00E-08,5.57955309,,,,,,,,,,,,,,,
1.47E-08,3.901786056,,,,,,,,,,,,,,,
1.35E-08,6.141420207,,,,,,,,,,,,,,,
2.37E-08,3.256119484,,,,,,,,,,,,,,,
2.34E-08,2.578110213,,,,,,,,,,,,,,,
3.28E-08,3.027397722,,,,,,,,,,,,,,,
1.79E-09,35.67962166,,,,,,,,,,,,,,,
4.43E-09,14.65603407,,,,,,,,,,,,,,,
2.11E-08,4.874881795,,,,,,,,,,,,,,,
1.67E-07,1.299779737,,,,,,,,,,,,,,,
8.60E-11,269.1243593,,,,,,,,,,,,,,,
1.31E-10,179.0721365,,,,,,,,,,,,,,,
3.24E-10,82.166256,,,,,,,,,,,,,,,
6.03E-10,43.3194224,,,,,,,,,,,,,,,
1.14E-09,25.42718422,,,,,,,,,,,,,,,
2.58E-09,14.52308667,,,,,,,,,,,,,,,
6.80E-09,6.474974392,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
