Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PEO/SU8,4000000,Cyclopentanote,0.2 - 0.032,0.008 - 0.011,25,1149 - 1318,xy stage,0.25 - 1,0.000108,,Si,0.0001,200,,0.0000012 - 0.00000349,,straight,single,Aguirre2020
PCL,80000,DCM/Methanol,0.007002205,,,1218.538,xy stage,Aug-20,0.000337,2.83E-10,Al,,10000 - 20000,,0.000000374 - 0.00000133,,straight,cross aligned,Beachley2011
PCL,50000,CF/DMF,0.7474335,,,1142.62,melt,,0.000514,1.39E-11,,0.03,12000,0.0045 - 0.0001,0.0000106 - 0.0000465,,coil and straight,single,Brown2011
PCL,80025,CF/DMF,0.7474335,,,1142.62,melt,,0.000743,0.00000000000139 - 0.00000000000556,Al,0.02 - 0.04,6000 - 12000,,0.00000476 - 0.000033,,coil,randomly distributed,Brown2014
PEO,300000,Water,0.958822,0.000400914,1825.546493,1000.62,xy stage,3,0.00016,8.33E-13,Si,0.005,1000,0.05 - 0.5,0.000000214 - 0.000000344,4.21E-05,meander and straight,single,Bu2012
MEH-PPV/PEO,380000,Toluene,0.000573628,0.956479314,0.017498992,865.118,xy stage,0.08,0.00026,1.39E-11,SiO2/Si,0.0005,1300,0.5,1.38E-07,8.84E-05,straight,aligned,Camillo2013
PEO/SU8,4000000,Cyclopentanote,0.056,0.00981485,25.00000005,1215.525,xy stage,0.25,0.000108,,Si,0.0001,200,0.06,4.08E-06,,straight,single,Cardenas2017
PEO,300000,Water,0.958822,0.005737956,8886.777497,1000.62,xy stage,03-Sep,0.0001,2.80E-14,,0.0005 - 0.001,500 - 1200,0.12,0.000000119 - 0.00000231,,straight,mesh,Chang2008
PVDF,534000,CF/DMF,0.7474335,,,1142.62,xy stage,18,,,,0.00035,,,0.00000107 - 0.00000216,,straight,single,Chang2010
PVDF,534000,CF/DMF,0.7474335,,,1142.62,xy stage,18,,,,0.00035,,,0.00000613 - 0.00000919,,straight,aligned,Chang2011
PU,,CF/DMF,0.7474335,,,1142.62,xy stage,10,,,acrylic,,2000,0.1,9.32E-06,5.22E-05,straight,aligned,Choi2017
PLGA,,CF/DMF,0.7474335,,,1142.62,PYES,,,,PTFE,,,,3.05E-07,,straight,aligned,Coppola2014
PLGA,54000,CF/DMF,0.7474335,,,1142.62,PYES,25,,,Si,0.001,,,0.00001 - 0.00003,,straight,aligned,Coppola2020
PCL,83000,,,,,,melt,,0.00018,,Al,0.0015,2900,0.09167,8.17E-07,0.0001006,straight,mesh,Dalton2015
PAN,,CF/DMF,0.7474335,,,1142.62,rotating drum,9,,,Si,0.00185,35 - 500,,0.00000013 - 0.000000349,,straight,aligned,Deng2020
PDO,,CF/DMF,0.0162 - 0.7474335,,,1142.62 - 1484,xy stage,14 - 20,0.00034 - 0.00084,0.00000000000278 - 0.0000000000254,Al,0.0018 - 0.003,1200 - 1600,0.01 - 0.1,0.00000319 - 0.0000252,,straight,mesh,E.King2019
PMMA,,CF/DMF,0.7474335,,,1142.62,xy stage,16 - 24,,0.0000000000139 - 0.0000000000417,,0.0016 - 0.0024,1200 - 2400,0.06,0.00000141 - 0.00000564,,straight,mesh,Fattahi2017
PEO/SU8,4000000,CF/DMF,0.7474335,,,1142.62,xy stage,0.5,,,,,,0.02 - 0.06,5.98E-06,,straight,aligned,Flores2017
PEO,300000,Water,0.958822,0.000859481,79922.00232,1000.62,xy stage,8,0.0004,,Si,0.0005,1100,0.2,7.40E-07,2.00E-05,straight,single,Fuh2011
PEO/Chitosan,900000,DMSO,0.002180244,0.062989557,4.483887469,1095.6,xy stage,5,0.0004,2.80E-14,,0.0005 - 0.001,800 - 1200,,0.000000282 - 0.000000785,0.0001,curved,aligned,Fuh2012
PEO/Chitosan,900000,CF/DMF,0.7474335,,,1142.62,xy stage,5,,,PPy,0.0005,800,0.2,7.38E-07,0.00002 - 0.0001,straight,"mesh, randomly distributed and aligned",Fuh2013
PVDF,534000,CF/DMF,0.7474335,,,1142.62,,16,,,,0.0012,1440,,0.000000907 - 0.00000291,,straight,aligned,Fuh2015
PEO,300000,Water/Ethanol,1.048316,0.002617208 - 0.007865925,11886.69945,894.313,xy stage,20,4.00E-05,,Si,0.001,1700,0.05 - 0.35,0.000000816 - 0.00000282,,"meander, coil and straight",single,GaofengZheng2010
PAN,150000,DMF,0.9445,,,802,rotating drum,11,0.000159,,Si,0.0007 - 0.01,400 - 900,,2.53E-06,,straight,aligned,George2020
POSS-PCL-PCU,2000,CF/DMF,0.7474335,0.010288334,32235.64483,1142.62,xy stage,20,0.00075,1.67E-11,,0.0005,9000,0.01,0.0000187 - 0.000069,0.000352 - 0.00048,meander,mesh,Gupta2007
PCL,80000,CF/DMF,0.7474335,,,1142.62,xy stage,,0.000912,,,0.005,3000,0.05,0.0001083 - 0.0001505,0.001,straight,mesh,He2018
PEtOx,50000,,,,,,melt,,0.00016 - 0.000337,,Al,0.003 - 0.007,3000 - 7000,0.00333,0.0000125 - 0.0000591,,straight,cross aligned,Hochleitner2014
PLA/PEG,72000,,,,,,melt,,0.000337,,Si,0.0035,4000,0.08333,3.10E-05,,straight,mesh,Hochleitner2017
PEO,300000,CF/DMF,0.7474335,6.12E-05,34838.96486,1142.62,xy stage,6,,2.00E-11,,0.005 - 0.0075,900,0.05 - 0.4,0.000000212 - 0.000000352,5.00E-06,"straight, coil, and meander",single and aligned,Huang2015
PEO,30000,Water/Ethanol,1.048316,0.0005243,11906.09623,894.313,xy stage,8,0.00021,8.33E-12,Si,0.002,2000,0.001 - 0.02,0.00000327 - 0.00000977,,meander,aligned,Jiang2018
PEO,100000,CF/DMF,0.7474335,0.000736491,4729.536509,1142.62,rotating drum,10,,,Si,0.007562961 - 0.012519879,2000,0.110587389 - 1.709602411,0.000000101 - 0.000000201,,straight,aligned,Kameoka2003
PEO,900000,CF/DMF,0.7474335,,,1142.62,xy stage,May-30,,,,,4500,,0.00000015 - 0.00000115,,coil,randomly distributed,Kameoka2003a
PVDF,534000,Acetone/DMSO,0.162270122,,,943.42,auxiliary electrodes,17,0.0001,3.89E-12,Paper,0.00075,1900,0.01,,,meander,single,Kim2018
PCL,50000,CF,0.550367,,,1483.24,xy stage,18.34997064,0.00025,,,,6000 - 12000,0.005 - 0.0075,0.0000334 - 0.000103,,coil,single,Kolan2018
PCL,80000,CF,0.550367,0.000997348,1978.887896,1483.24,xy stage,8.8,0.0002,2.78E-11,Si,0.07,25000,0.002 - 0.5,,,coil and meander,single,Lee2012
PVDF,534000,CF/DMF,0.7474335,1.47E-05,4733.124612,1142.62,xy stage,12,,2.22E-11,Si,0.005,1200,0.03,4.23E-05,0.00026314,curved,mesh,Lei2015
