Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00002,500,0.002,5.732E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,NA,0.000002,NA,Si,0.00002,500,0.002,5.732E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,1,0.000002,NA,Si,0.00003,475,0.002,6.174E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00002,475,0.002,6.811E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,2,0.000002,NA,Si,0.00003,475,0.002,6.993E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,3,0.000002,NA,Si,0.00003,475,0.002,7.931E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00002,450,0.002,9.999E-08,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,NA,0.000002,NA,Si,0.00003,500,0.002,1.122E-07,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,4,0.000002,NA,Si,0.00003,475,0.002,1.133E-07,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00002,425,0.002,1.1768E-07,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00003,475,0.002,1.3899E-07,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,NA,0.000002,NA,Si,0.00004,500,0.002,1.6399E-07,NA,straight,single,Song2015
PS,NA,TCB,,,,,xy stage,5,0.000002,NA,Si,0.00002,400,0.002,1.6749E-07,NA,straight,single,Song2015
PEO/PPy,5000000,DMF/Acetone,,,,,xy stage,8,0.000025,NA,NA,NA,1000,NA,0.0000004,0.000265,straight,aligned,Shen2016
PEO/PPy,5000000,DMF/Acetone,,,,,xy stage,8,0.000025,NA,NA,NA,1000,NA,0.0000007,0.000265,straight,aligned,Shen2016
PEO,300000,Water/Ethanol,0.056,0.14715,25,1215.525,xy stage,20,0.00004,NA,Si,0.001,1700,0.05,8.16427E-07,NA,coil,single,GaofengZheng2010
PEO,300000,Water/Ethanol,0.056,0.0981,25,1215.525,xy stage,20,0.00004,NA,Si,0.001,1700,0.35,1.89169E-06,NA,straight,single,GaofengZheng2010
PEO,300000,Water/Ethanol,0.056,0.073575,25,1215.525,xy stage,20,0.00004,NA,Si,0.001,1700,0.15,2.45259E-06,NA,coil,single,GaofengZheng2010
PEO,300000,Water/Ethanol,0.056,0.04905,25,1215.525,xy stage,20,0.00004,NA,Si,0.001,1700,0.25,2.81506E-06,NA,meander,single,GaofengZheng2010
PEO,300000,Water/Ethanol,0.056,0.1962,25,1215.525,xy stage,18,0.00004,NA,Si,0.001,1700,0.36,4.894E-07,NA,coil,single,Zheng2010
