Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PS,,TCB,,,,,xy stage,5.0,2e-06,,Si,2e-05,500.0,0.002,5.732e-08,,straight,single,Song2015,,1.2817141647028794e-14,
PS,,TCB,,,,,xy stage,,2e-06,,Si,2e-05,500.0,0.002,5.732e-08,,straight,single,Song2015,,,
PS,,TCB,,,,,xy stage,1.0,2e-06,,Si,2.9999999999999997e-05,475.0,0.002,6.174e-08,,straight,single,Song2015,,3.087e-14,
PS,,TCB,,,,,xy stage,5.0,2e-06,,Si,2e-05,475.0,0.002,6.811e-08,,straight,single,Song2015,,1.522985899475107e-14,
PS,,TCB,,,,,xy stage,2.0,2e-06,,Si,2.9999999999999997e-05,475.0,0.002,6.992999999999999e-08,,straight,single,Song2015,,2.472398860418763e-14,
PS,,TCB,,,,,xy stage,3.0,2e-06,,Si,2.9999999999999997e-05,475.0,0.002,7.931e-08,,straight,single,Song2015,,2.289482492471461e-14,
PS,,TCB,,,,,xy stage,5.0,2e-06,,Si,2e-05,450.0,0.002,9.999000000000001e-08,,straight,single,Song2015,,2.23584437070204e-14,
PS,,TCB,,,,,xy stage,,2e-06,,Si,2.9999999999999997e-05,500.0,0.002,1.1220000000000001e-07,,straight,single,Song2015,,,
PS,,TCB,,,,,xy stage,4.0,2e-06,,Si,2.9999999999999997e-05,475.0,0.002,1.133e-07,,straight,single,Song2015,,2.8325e-14,
PS,,TCB,,,,,xy stage,5.0,2e-06,,Si,2e-05,425.0,0.002,1.1767999999999999e-07,,straight,single,Song2015,,2.6314047959217523e-14,
PS,,TCB,,,,,xy stage,5.0,2e-06,,Si,2.9999999999999997e-05,475.0,0.002,1.3899e-07,,straight,single,Song2015,,3.1079108819269576e-14,
