Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PEO/SU8,4000000.0,Cyclopentanote,0.2,0.011822263999999999,25.02865332,1318.828571,xy stage,1.0,0.00010800000000000001,,Si,0.0001,200.0,,3.49e-06,,straight,single,Aguirre2020,1.745e-06,2.650000033834467e-07,0.8333345059655671
PEO/SU8,4000000.0,Cyclopentanote,0.08,0.010818025,25.00000004,1267.176786,xy stage,0.75,0.00010800000000000001,,Si,0.0001,200.0,,2.16e-06,,,,Aguirre2020,1.2470765814495917e-06,7.239999907561685e-07,0.4024897420159204
PEO/SU8,4000000.0,Cyclopentanote,0.055999999999999994,0.00981485,24.99999997,1215.525,xy stage,0.5,0.00010800000000000001,,Si,0.0001,200.0,,2.09e-06,,,,Aguirre2020,1.4778531726798844e-06,1.1399999563343884e-06,0.26425330702443883
PEO/SU8,4000000.0,Cyclopentanote,0.032,0.008780549,25.00000001,1149.1,xy stage,0.25,0.00010800000000000001,,Si,0.0001,200.0,,1.2e-06,,,,Aguirre2020,1.2e-06,2.2300000831383093e-06,0.17234966299681134
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,20.0,0.000337,2.83e-10,Al,,10000.0,,1.33e-06,,straight,cross aligned,Beachley2011,1.48698520503736e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,20.0,0.000337,2.83e-10,Al,,15000.0,,1.3e-06,,straight,cross aligned,Beachley2011,1.4534441853748633e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,20.0,0.000337,2.83e-10,Al,,10000.0,,1.22e-06,,straight,cross aligned,Beachley2011,1.3640014662748717e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,14.0,0.000337,2.83e-10,Al,,10000.0,,1.22e-06,,straight,cross aligned,Beachley2011,1.6302935756657888e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,17.0,0.000337,2.83e-10,Al,,20000.0,,1.08e-06,,straight,cross aligned,Beachley2011,1.309692375196198e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,17.0,0.000337,2.83e-10,Al,,10000.0,,1.03e-06,,straight,cross aligned,Beachley2011,1.249058468937115e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,20.0,0.000337,2.83e-10,Al,,15000.0,,1.01e-06,,straight,cross aligned,Beachley2011,1.1292143286373939e-07,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,17.0,0.000337,2.83e-10,Al,,10000.0,,9.84e-07,,straight,cross aligned,Beachley2011,1.193275275178758e-07,,
