Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
12,4000000.0,3,0.2,0.011822263999999999,25.02865332,1318.828571,10,1.0,0.00010800000000000001,,12,0.0001,200.0,,3.49e-06,,4,6,0,1.745e-06,2.650000033834467e-07,0.8333345059655671
12,4000000.0,3,0.08,0.010818025,25.00000004,1267.176786,10,0.75,0.00010800000000000001,,12,0.0001,200.0,,2.16e-06,,3,4,0,1.2470765814495917e-06,7.239999907561685e-07,0.4024897420159204
12,4000000.0,3,0.055999999999999994,0.00981485,24.99999997,1215.525,10,0.5,0.00010800000000000001,,12,0.0001,200.0,,2.09e-06,,3,4,0,1.4778531726798844e-06,1.1399999563343884e-06,0.26425330702443883
12,4000000.0,3,0.032,0.008780549,25.00000001,1149.1,10,0.25,0.00010800000000000001,,12,0.0001,200.0,,1.2e-06,,3,4,0,1.2e-06,2.2300000831383093e-06,0.17234966299681134
3,80000.0,4,0.007002205,,,1218.538,10,20.0,0.000337,2.83e-10,0,,10000.0,,1.33e-06,,4,2,1,1.48698520503736e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,20.0,0.000337,2.83e-10,0,,15000.0,,1.3e-06,,4,2,1,1.4534441853748633e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,20.0,0.000337,2.83e-10,0,,10000.0,,1.22e-06,,4,2,1,1.3640014662748717e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,10000.0,,1.22e-06,,4,2,1,1.6302935756657888e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,20000.0,,1.08e-06,,4,2,1,1.309692375196198e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,10000.0,,1.03e-06,,4,2,1,1.249058468937115e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,20.0,0.000337,2.83e-10,0,,15000.0,,1.01e-06,,4,2,1,1.1292143286373939e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,10000.0,,9.84e-07,,4,2,1,1.193275275178758e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,20.0,0.000337,2.83e-10,0,,10000.0,,9.159999999999999e-07,,4,2,1,1.0241191336949035e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,10000.0,,8.65e-07,,4,2,1,1.1559048712712355e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,10000.0,,7.72e-07,,4,2,1,9.361875126402452e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,10000.0,,7.559999999999999e-07,,4,2,1,1.336431816442575e-07,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,15000.0,,7.23e-07,,4,2,1,8.767662845063436e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,20000.0,,6.909999999999999e-07,,4,2,1,8.379605845005303e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,10000.0,,6.27e-07,,4,2,1,8.378639933954505e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,15000.0,,6.02e-07,,4,2,1,8.044563381563975e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,15000.0,,5.979999999999999e-07,,4,2,1,7.251815188586355e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,20000.0,,5.89e-07,,4,2,1,7.870843574320898e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,15000.0,,5.57e-07,,4,2,1,7.443225587261019e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,14.0,0.000337,2.83e-10,0,,20000.0,,5.420000000000001e-07,,4,2,1,7.242779655826702e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,10000.0,,5.389999999999999e-07,,4,2,1,9.528263876488727e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,10000.0,,5.25e-07,,4,2,1,7.914672795166295e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,10000.0,,5.06e-07,,4,2,1,7.62823701781742e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,20000.0,,4.95e-07,,4,2,1,7.46240577829965e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,17.0,0.000337,2.83e-10,0,,20000.0,,4.85e-07,,4,2,1,5.8814889071310746e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,15000.0,,4.6799999999999996e-07,,4,2,1,7.055365463119668e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,15000.0,,4.38e-07,,4,2,1,6.603098446253023e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,10000.0,,4.2700000000000005e-07,,4,2,1,7.548364889166396e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,15000.0,,4.0799999999999995e-07,,4,2,1,6.150831429386377e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,20000.0,,3.93e-07,,4,2,1,5.924697920953055e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,11.0,0.000337,2.83e-10,0,,20000.0,,3.74e-07,,4,2,1,5.63826214360418e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,15000.0,,3.65e-07,,4,2,1,6.452349378327247e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,15000.0,,3.38e-07,,4,2,1,5.975052301026327e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,20000.0,,2.85e-07,,4,2,1,5.0381358159541516e-08,,
3,80000.0,4,0.007002205,,,1218.538,10,8.0,0.000337,2.83e-10,0,,20000.0,,2.7e-07,,4,2,1,4.772970773009196e-08,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0001,4.6500000000000005e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0001,4.44e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0001,3.77e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0002,3.64e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0001,3.6099999999999997e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0002,3.52e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0005,3.37e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.001,3.2200000000000003e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0002,3.19e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0002,3.07e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0015,2.98e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0005,2.98e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.002,2.8699999999999996e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0005,2.8600000000000004e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.001,2.7399999999999995e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0025,2.65e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0005,2.59e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.001,2.59e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0015,2.5e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0015,2.5e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.001,2.46e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.003,2.45e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0015,2.4e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.002,2.3800000000000003e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0035,2.3199999999999998e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.002,2.3100000000000002e-05,,4,6,2,,,
