Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
12,4000000.0,3,0.2,0.01184,25.0,1318.828571,9,1.0,0.00010800000000000001,,12,0.0001,200.0,,3.494e-06,,4,6,0,2.646030405405405e-07,1.747e-06,0.8333345063796109
12,4000000.0,3,0.08,0.010825,25.0,1267.176786,9,0.75,0.00010800000000000001,,12,0.0001,200.0,,2.16e-06,,3,4,0,7.235334872979215e-07,1.2470765814495917e-06,0.40248974233791224
12,4000000.0,3,0.055999999999999994,0.00981,25.0,1215.525,9,0.5,0.00010800000000000001,,12,0.0001,200.0,,2.09e-06,,3,4,0,1.1405635648754917e-06,1.4778531726798844e-06,0.2642533068658869
12,4000000.0,3,0.032,0.0088,25.0,1149.1,9,0.25,0.00010800000000000001,,12,0.0001,200.0,,1.2e-06,,3,4,0,2.225071022727273e-06,1.2e-06,0.17234966303128127
3,80000.0,4,,,,,9,20.0,0.000337,2.83356e-10,0,,10000.0,,1.32589e-06,,4,2,1,,1.482390085343598e-07,
3,80000.0,4,,,,,9,20.0,0.000337,2.83356e-10,0,,15000.0,,1.29619e-06,,4,2,1,,1.449184475877726e-07,
3,80000.0,4,,,,,9,20.0,0.000337,2.83356e-10,0,,10000.0,,1.22407e-06,,4,2,1,,1.3685518646090838e-07,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,10000.0,,1.2211e-06,,4,2,1,,1.6317635124963073e-07,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,20000.0,,1.08153e-06,,4,2,1,,1.3115477727277258e-07,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,10000.0,,1.03272e-06,,4,2,1,,1.2523569534376089e-07,
3,80000.0,4,,,,,9,20.0,0.000337,2.83356e-10,0,,15000.0,,1.0140600000000001e-06,,4,2,1,,1.1337535466317184e-07,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,10000.0,,9.83934e-07,,4,2,1,,1.193195238422496e-07,
3,80000.0,4,,,,,9,20.0,0.000337,2.83356e-10,0,,10000.0,,9.16476e-07,,4,2,1,,1.0246513178735487e-07,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,10000.0,,8.64716e-07,,4,2,1,,1.1555253603077198e-07,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,10000.0,,7.71819e-07,,4,2,1,,9.359680178995874e-08,
3,80000.0,4,,,,,9,8.0,0.000337,2.83356e-10,0,,10000.0,,7.5568e-07,,4,2,1,,1.3358661310176258e-07,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,15000.0,,7.230119999999999e-07,,4,2,1,,8.767808366438458e-08,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,20000.0,,6.91192e-07,,4,2,1,,8.381934187005653e-08,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,10000.0,,6.27129e-07,,4,2,1,,8.38036376896484e-08,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,15000.0,,6.01673e-07,,4,2,1,,8.040193660258706e-08,
3,80000.0,4,,,,,9,17.0,0.000337,2.83356e-10,0,,15000.0,,5.97854e-07,,4,2,1,,7.250044678523591e-08,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,20000.0,,5.88945e-07,,4,2,1,,7.870108605905639e-08,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,15000.0,,5.57125e-07,,4,2,1,,7.444895970022971e-08,
3,80000.0,4,,,,,9,14.0,0.000337,2.83356e-10,0,,20000.0,,5.422760000000001e-07,,4,2,1,,7.246467860965094e-08,
