Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Greiner A., Wendorff J.H.",24283847100;7101741857;,Electrospinning: A fascinating method for the preparation of ultrathin fibers,2007,Angewandte Chemie - International Edition,46,30,,5670,5703,,3075,10.1002/anie.200604646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547475023&doi=10.1002%2fanie.200604646&partnerID=40&md5=ca0fbe60397081028fe1f8b76a725471,"Department of Chemistry, Philipps-Universität Marburg, 35032 Marburg, Germany","Greiner, A., Department of Chemistry, Philipps-Universität Marburg, 35032 Marburg, Germany; Wendorff, J.H., Department of Chemistry, Philipps-Universität Marburg, 35032 Marburg, Germany","Greiner, A.; Department of Chemistry, Philipps-Universität Marburg, 35032 Marburg, Germany; email: greiner@staff.uni-marburg.de",,,14337851,,ACIEA,,English,Angew. Chem. Int. Ed.,Review,Final,,Scopus,2-s2.0-34547475023
"Ramakrishna S., Fujihara K., Teo W.-E., Lim T.-C., Ma Z.",57205523298;7006893906;8716370700;7401710785;7403600328;,An introduction to electrospinning and nanofibers,2005,An Introduction to Electrospinning and Nanofibers,,,,1,382,,1635,10.1142/5894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967373194&doi=10.1142%2f5894&partnerID=40&md5=496216f6e36ffe307a55ffccc296c4fe,"National University of Singapore, Singapore","Ramakrishna, S., National University of Singapore, Singapore; Fujihara, K., National University of Singapore, Singapore; Teo, W.-E., National University of Singapore, Singapore; Lim, T.-C., National University of Singapore, Singapore; Ma, Z., National University of Singapore, Singapore",,,World Scientific Publishing Co.,,9789812567611; 9789812564153,,,English,An Introduction to Electrospinning and Nanofibers,Book,Final,,Scopus,2-s2.0-84967373194
"Teo W.E., Ramakrishna S.",8716370700;57205523298;,A review on electrospinning design and nanofibre assemblies,2006,Nanotechnology,17,14, R01,R89,R106,,1437,10.1088/0957-4484/17/14/R01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745685312&doi=10.1088%2f0957-4484%2f17%2f14%2fR01&partnerID=40&md5=30bb1cb0ca35caef6739dd80520d97ba,"Nanoscience and Nanotechnology Initiative, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore; Department of Mechanical Engineering, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore; Division of Bioengineering, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore","Teo, W.E., Nanoscience and Nanotechnology Initiative, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore; Ramakrishna, S., Nanoscience and Nanotechnology Initiative, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore, Department of Mechanical Engineering, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore, Division of Bioengineering, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore","Ramakrishna, S.; Nanoscience and Nanotechnology Initiative, National University of Singapore, 9 Engineering Drive 1, Singapore 117576, Singapore; email: seeram@nus.edu.sg",,,9574484,,NNOTE,,English,Nanotechnology,Article,Final,,Scopus,2-s2.0-33745685312
"Xu X., Yao W., Xiao D., Heinz T.F.",55565899700;35141935300;56994280600;7006402477;,Spin and pseudospins in layered transition metal dichalcogenides,2014,Nature Physics,10,5,,343,350,,1239,10.1038/nphys2942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899764319&doi=10.1038%2fnphys2942&partnerID=40&md5=b583268065bcc05ec5db92dc4b2858fd,"Department of Physics, University of Washington, Seattle, WA 98195, United States; Department of Physics, Center of Theoretical and Computational Physics, University of Hong Kong, Hong Kong, Hong Kong; Department of Physics, Carnegie Mellon University, Pittsburg, PA 15213, United States; Departments of Physics and Electrical Engineering, Columbia University, New York, NY 10027, United States","Xu, X., Department of Physics, University of Washington, Seattle, WA 98195, United States; Yao, W., Department of Physics, Center of Theoretical and Computational Physics, University of Hong Kong, Hong Kong, Hong Kong; Xiao, D., Department of Physics, Carnegie Mellon University, Pittsburg, PA 15213, United States; Heinz, T.F., Departments of Physics and Electrical Engineering, Columbia University, New York, NY 10027, United States","Xu, X.; Department of Physics, University of Washington, Seattle, WA 98195, United States; email: xuxd@uw.edu",,Nature Publishing Group,17452473,,,,English,Nat. Phys.,Review,Final,,Scopus,2-s2.0-84899764319
"Li D., Wang Y., Xia Y.",57189615488;36547182100;7403027697;,Electrospinning of polymeric and ceramic nanofibers as uniaxially aligned arrays,2003,Nano Letters,3,8,,1167,1171,,1184,10.1021/nl0344256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142075239&doi=10.1021%2fnl0344256&partnerID=40&md5=b2e3924785e8236e37756f4c9e93bf4c,"Department of Chemistry, University of Washington, Seattle, WA 98195, United States","Li, D., Department of Chemistry, University of Washington, Seattle, WA 98195, United States; Wang, Y., Department of Chemistry, University of Washington, Seattle, WA 98195, United States; Xia, Y., Department of Chemistry, University of Washington, Seattle, WA 98195, United States","Xia, Y.; Department of Chemistry, University of Washington, Seattle, WA 98195, United States; email: xia@chem.washington.edu",,,15306984,,,,English,Nano Lett.,Article,Final,,Scopus,2-s2.0-0142075239
"Taylor J.M., Cappellaro P., Childress L., Jiang L., Budker D., Hemmer P.R., Yacoby A., Walsworth R., Lukin M.D.",35379720700;23977402700;9845536000;24778668400;7003389497;7004710951;7004151737;24779038700;24783671200;,High-sensitivity diamond magnetometer with nanoscale resolution,2008,Nature Physics,4,10,,810,816,,891,10.1038/nphys1075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349147021&doi=10.1038%2fnphys1075&partnerID=40&md5=ed1bd4f90dc9dae94eb8621d3ebdc19f,"Department of Physics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Department of Physics, Harvard University, Cambridge, MA 02138, United States; Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, United States; Department of Physics, Bates College, Lewiston, ME 04240, United States; Department of Physics, University of California, Berkeley, CA 94720, United States; Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX 77843, United States","Taylor, J.M., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA 02139, United States; Cappellaro, P., Department of Physics, Harvard University, Cambridge, MA 02138, United States, Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, United States; Childress, L., Department of Physics, Harvard University, Cambridge, MA 02138, United States, Department of Physics, Bates College, Lewiston, ME 04240, United States; Jiang, L., Department of Physics, Harvard University, Cambridge, MA 02138, United States; Budker, D., Department of Physics, University of California, Berkeley, CA 94720, United States; Hemmer, P.R., Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX 77843, United States; Yacoby, A., Department of Physics, Harvard University, Cambridge, MA 02138, United States; Walsworth, R., Department of Physics, Harvard University, Cambridge, MA 02138, United States, Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, United States; Lukin, M.D., Department of Physics, Harvard University, Cambridge, MA 02138, United States, Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, United States","Lukin, M. D.; Department of Physics, Harvard University, Cambridge, MA 02138, United States; email: lukin@physics.harvard.edu",,Nature Publishing Group,17452473,,,,English,Nat. Phys.,Article,Final,,Scopus,2-s2.0-53349147021
"Chang C., Tran V.H., Wang J., Fuh Y.-K., Lin L.",8517523300;57201096032;15833324600;24080154600;56683459000;,Direct-write piezoelectric polymeric nanogenerator with high energy conversion efficiency,2010,Nano Letters,10,2,,726,731,,812,10.1021/nl9040719,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76749162390&doi=10.1021%2fnl9040719&partnerID=40&md5=27a1dbe5df34cc61aa81283a92d4c71d,"Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States; Department of Medical Engineering, Faculty of Mechanical Engineering, Technische Universität München, Germany; State Key Laboratory of Transducer Technology, Institute of Electronics, Chinese Academy of Sciences, Beijing, China","Chang, C., Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States; Tran, V.H., Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States, Department of Medical Engineering, Faculty of Mechanical Engineering, Technische Universität München, Germany; Wang, J., Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States, State Key Laboratory of Transducer Technology, Institute of Electronics, Chinese Academy of Sciences, Beijing, China; Fuh, Y.-K., Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States; Lin, L., Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States","Chang, C.; Berkeley Sensor and Actuator Center, Department of Mechanical Engineering, University of California, Berkeley, CA 94720, United States; email: chieh@berkeley.edu",,,15306984,,,20099876,English,Nano Lett.,Article,Final,,Scopus,2-s2.0-76749162390
"Manchon A., Koo H.C., Nitta J., Frolov S.M., Duine R.A.",55915186900;15049248800;7005582922;26427620700;6603233535;,New perspectives for Rashba spin-orbit coupling,2015,Nature Materials,14,9,,871,882,,574,10.1038/nmat4360,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939811253&doi=10.1038%2fnmat4360&partnerID=40&md5=86124180a111dd98c208735d25070a71,"King Abdullah University of Science and Technology (KAUST), Physical Science and Engineering Division, Thuwal, 23955-6900, Saudi Arabia; Center for Spintronics, Korea Institute of Science and Technology (KIST), 39-1 Hawolgok-dong, Seongbukgu, Seoul, 136-791, South Korea; KU-KIST Graduate School of Converging Science and Technology, Korea University, Seoul, 136-701, South Korea; Department of Materials Science, Tohoku University, Sendai, Miyagi, 980-8579, Japan; Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA  15260, United States; Institute for Theoretical Physics, Center for Extreme Matter and Emergent Phenomena, Utrecht University, Leuvenlaan 4, Utrecht, 3584 CE, Netherlands","Manchon, A., King Abdullah University of Science and Technology (KAUST), Physical Science and Engineering Division, Thuwal, 23955-6900, Saudi Arabia; Koo, H.C., Center for Spintronics, Korea Institute of Science and Technology (KIST), 39-1 Hawolgok-dong, Seongbukgu, Seoul, 136-791, South Korea, KU-KIST Graduate School of Converging Science and Technology, Korea University, Seoul, 136-701, South Korea; Nitta, J., Department of Materials Science, Tohoku University, Sendai, Miyagi, 980-8579, Japan; Frolov, S.M., Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA  15260, United States; Duine, R.A., Institute for Theoretical Physics, Center for Extreme Matter and Emergent Phenomena, Utrecht University, Leuvenlaan 4, Utrecht, 3584 CE, Netherlands","Manchon, A.; King Abdullah University of Science and Technology (KAUST), Physical Science and Engineering DivisionSaudi Arabia; email: aurelien.manchon@kaust.edu.sa",,Nature Publishing Group,14761122,,NMAAC,,English,Nat. Mater.,Article,Final,,Scopus,2-s2.0-84939811253
"Kim F.S., Ren G., Jenekhe S.A.",24168754400;35234862800;7006764141;,"One-dimensional nanostructures of π-conjugated molecular systems: Assembly, properties, and applications from photovoltaics, sensors, and nanophotonics to nanoelectronics",2011,Chemistry of Materials,23,3,,682,732,,527,10.1021/cm102772x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952121316&doi=10.1021%2fcm102772x&partnerID=40&md5=7f4ee5c10acde58dd495e61b2ddb3650,"Department of Chemical Engineering, Department of Chemistry, University of Washington, Seattle, WA 98195-1750, United States","Kim, F.S., Department of Chemical Engineering, Department of Chemistry, University of Washington, Seattle, WA 98195-1750, United States; Ren, G., Department of Chemical Engineering, Department of Chemistry, University of Washington, Seattle, WA 98195-1750, United States; Jenekhe, S.A., Department of Chemical Engineering, Department of Chemistry, University of Washington, Seattle, WA 98195-1750, United States","Jenekhe, S. A.; Department of Chemical Engineering, Department of Chemistry, University of Washington, Seattle, WA 98195-1750, United States; email: jenekhe@u.washington.edu",,,8974756,,CMATE,,English,Chem. Mater.,Article,Final,,Scopus,2-s2.0-79952121316
"Long Y.-Z., Li M.-M., Gu C., Wan M., Duvail J.-L., Liu Z., Fan Z.",56024751400;51261274900;55443714100;55659290600;6701793456;7406672668;57205707482;,"Recent advances in synthesis, physical properties and applications of conducting polymer nanotubes and nanofibers",2011,Progress in Polymer Science (Oxford),36,10,,1415,1442,,526,10.1016/j.progpolymsci.2011.04.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960438347&doi=10.1016%2fj.progpolymsci.2011.04.001&partnerID=40&md5=25a3d06af4279e86ed1aa1d5d27e2d77,"College of Physics Science, Qingdao University, Qingdao 266071, China; Institute of Physics, Chinese Academy of Sciences, Beijing 100190, China; Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China; Institut des Matériaux Jean Rouxel, CNRS, Université de Nantes, F-44322 Nantes, France; Australian Centre for Microscopy and Microanalysis, University of Sydney, Sydney, NSW 2006, Australia; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Kowloon, Hong Kong","Long, Y.-Z., College of Physics Science, Qingdao University, Qingdao 266071, China, Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Kowloon, Hong Kong; Li, M.-M., College of Physics Science, Qingdao University, Qingdao 266071, China; Gu, C., Institute of Physics, Chinese Academy of Sciences, Beijing 100190, China; Wan, M., Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China; Duvail, J.-L., Institut des Matériaux Jean Rouxel, CNRS, Université de Nantes, F-44322 Nantes, France; Liu, Z., Australian Centre for Microscopy and Microanalysis, University of Sydney, Sydney, NSW 2006, Australia; Fan, Z., Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Kowloon, Hong Kong","Long, Y.-Z.; College of Physics Science, Qingdao University, Qingdao 266071, China; email: yunze.long@163.com",,Elsevier Ltd,796700,,PRPSB,,English,Prog Polym Sci (Oxford),Review,Final,,Scopus,2-s2.0-79960438347
