Filename,peo_su8_01_000_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,28/01/2020
Sample name,PEO_SU8_01_000
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.302570,7.20541e-3,0.0805622,3.81348,20.00,-180.608,-0.255328,20.0282,-3478720,3.81348,-17.1099,5.78100e-3
7.83212e-3,7.51981e-3,0.0852273,11.1412,20.01,-182.055,-0.257375,20.0282,-3219510,11.1412,0.442896,1.22175e-4
0.0122514,7.89558e-3,0.0902384,18.5467,20.01,-184.896,-0.261390,20.0228,-2965910,18.5467,0.692799,1.35005e-4
0.0155387,8.59615e-3,0.0948391,25.9523,20.02,-187.061,-0.264452,20.0182,-2531490,25.9523,0.878694,1.48196e-4
0.0180893,9.70358e-3,0.0977076,33.2923,20.01,-189.573,-0.268002,20.0211,-2013320,33.2923,1.02293,1.62428e-4
0.0200414,0.0110859,0.0990655,40.6324,20.01,-191.690,-0.270996,20.0119,-1559770,40.6324,1.13331,1.78061e-4
0.0224998,0.0126649,0.100233,47.9724,20.00,-193.639,-0.273750,20.0141,-1207230,47.9724,1.27234,1.94858e-4
0.0251129,0.0144675,0.0999848,55.3124,20.00,-194.935,-0.275583,20.0076,-931334,55.3124,1.42010,2.13435e-4
0.0275425,0.0165258,0.0989282,62.7180,20.00,-196.202,-0.277374,20.0201,-718423,62.7180,1.55749,2.34141e-4
0.0298106,0.0188760,0.0971809,70.1236,20.00,-197.516,-0.279232,20.0266,-554347,70.1236,1.68575,2.56442e-4
0.0323100,0.0215597,0.0948698,77.4636,20.00,-198.048,-0.279984,20.0280,-426077,77.4636,1.82709,2.80953e-4
0.0344427,0.0246247,0.0925260,84.8036,20.00,-200.080,-0.282857,20.0258,-329961,84.8036,1.94769,3.07680e-4
0.0362406,0.0281231,0.0890687,92.1436,20.00,-201.152,-0.284372,20.0347,-254331,92.1436,2.04935,3.37019e-4
0.0379960,0.0319239,0.0853836,99.4837,20.00,-202.074,-0.285676,20.0251,-198280,99.4837,2.14862,3.69080e-4
0.0398631,0.0362385,0.0818664,106.889,20.00,-203.283,-0.287384,20.0317,-154796,106.889,2.25421,4.04229e-4
0.0418159,0.0413891,0.0794668,114.295,20.00,-203.740,-0.288030,20.0294,-118934,114.295,2.36463,4.43409e-4
0.0425538,0.0472706,0.0768750,121.635,20.00,-205.565,-0.290611,20.0306,-91995.4,121.635,2.40636,4.85518e-4
0.0431527,0.0539873,0.0742131,128.975,20.00,-205.956,-0.291163,20.0243,-70662.7,128.975,2.44023,5.31507e-4
0.0438004,0.0616622,0.0723385,136.315,20.00,-206.649,-0.292143,20.0384,-54349.4,136.315,2.47685,5.82186e-4
0.0445820,0.0704301,0.0708191,143.655,20.00,-207.959,-0.293995,20.0223,-41923.8,143.655,2.52105,6.37284e-4
0.0466336,0.0804389,0.0685613,151.061,20.00,-209.190,-0.295735,20.0289,-32330.2,151.061,2.63707,6.98380e-4
0.0489296,0.0918708,0.0664509,158.466,20.00,-209.605,-0.296322,20.0304,-24834.0,158.466,2.76690,7.65480e-4
0.0501261,0.104945,0.0661482,165.806,20.00,-210.549,-0.297656,20.0151,-19117.3,165.806,2.83456,8.38312e-4
0.0514636,0.119880,0.0657846,173.146,20.00,-211.131,-0.298479,20.0133,-14691.2,173.146,2.91020,9.17881e-4
0.0539285,0.136927,0.0644760,180.486,20.00,-211.780,-0.299397,20.0107,-11295.5,180.486,3.04958,1.00346e-3
0.0571343,0.156404,0.0635776,187.826,20.00,-212.261,-0.300077,20.0127,-8677.05,187.826,3.23087,1.09895e-3
0.0603638,0.178640,0.0620303,195.232,19.99,-212.226,-0.300027,20.0202,-6650.29,195.232,3.41349,1.20468e-3
0.0626589,0.201565,0.0596614,202.637,20.00,-213.496,-0.301823,20.0218,-5254.86,202.637,3.54328,1.32033e-3
