Filename,peo_su8_all_000,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 000_PEO_SU8,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
17683.9,7.10E-03,0.0483066,1,1,707.355,1,1000000,1.40E+07,1,1000000,1
17683.9,7.21E-03,0.0471203,1,1,707.355,1,1000000,1.36E+07,1,1000000,1
17683.9,7.35E-03,-0.142044,1,1,707.355,1,1000000,1.31E+07,1,1000000,1
17683.9,7.52E-03,0.0498489,1,1,707.355,1,1000000,1.25E+07,1,1000000,1
17683.9,7.79E-03,0.0485748,1,1,707.355,1,1000000,1.17E+07,1,1000000,1
17683.9,7.90E-03,0.0527798,1,1,707.355,1,1000000,1.13E+07,1,1000000,1
17683.9,8.23E-03,-0.114488,1,1,707.355,1,1000000,1.04E+07,1,1000000,1
17683.9,8.54E-03,0.0484148,1,1,707.355,1,1000000,9698890,1,1000000,1
17683.9,8.60E-03,0.0554708,1,1,707.355,1,1000000,9564020,1,1000000,1
17683.9,9.28E-03,-0.140534,1,1,707.355,1,1000000,8213750,1,1000000,1
17683.9,9.35E-03,0.0478353,1,1,707.355,1,1000000,8091230,1,1000000,1
17683.9,9.70E-03,0.0571485,1,1,707.355,1,1000000,7517860,1,1000000,1
17683.9,0.0102411,0.0470244,1,1,707.355,1,1000000,6744420,1,1000000,1
17683.9,0.0103035,-0.133271,1,1,707.355,1,1000000,6662970,1,1000000,1
17683.9,0.0110859,0.0579428,1,1,707.355,1,1000000,5755670,1,1000000,1
17683.9,0.0112127,0.0459245,1,1,707.355,1,1000000,5626230,1,1000000,1
17683.9,0.011521,-0.100457,1,1,707.355,1,1000000,5329140,1,1000000,1
17683.9,0.0122722,0.0447159,1,1,707.355,1,1000000,4696700,1,1000000,1
17683.9,0.0126649,0.0586256,1,1,707.355,1,1000000,4409950,1,1000000,1
17683.9,0.0128949,-0.0631859,1,1,707.355,1,1000000,4254040,1,1000000,1
17683.9,0.0134686,0.0433545,1,1,707.355,1,1000000,3899350,1,1000000,1
17683.9,0.0144675,0.0584805,1,1,707.355,1,1000000,3379490,1,1000000,1
17683.9,0.0144693,-0.0348118,1,1,707.355,1,1000000,3378640,1,1000000,1
17683.9,0.0147498,0.0419442,1,1,707.355,1,1000000,3251360,1,1000000,1
17683.9,0.0161266,-0.0135341,1,1,707.355,1,1000000,2719890,1,1000000,1
17683.9,0.0162352,0.0404723,1,1,707.355,1,1000000,2683630,1,1000000,1
17683.9,0.0165258,0.0578625,1,1,707.355,1,1000000,2590080,1,1000000,1
17683.9,0.0176489,0.0397772,1,1,707.355,1,1000000,2270920,1,1000000,1
17683.9,0.018876,0.0568405,1,1,707.355,1,1000000,1985260,1,1000000,1
17683.9,0.0193645,0.038624,1,1,707.355,1,1000000,1886360,1,1000000,1
17683.9,0.0202865,0.0409129,1,1,707.355,1,1000000,1718790,1,1000000,1
17683.9,0.0212167,0.0375774,1,1,707.355,1,1000000,1571380,1,1000000,1
17683.9,0.0215597,0.0554887,1,1,707.355,1,1000000,1521780,1,1000000,1
17683.9,0.0226773,0.0442635,1,1,707.355,1,1000000,1375480,1,1000000,1
17683.9,0.0232633,0.0364188,1,1,707.355,1,1000000,1307060,1,1000000,1
17683.9,0.0246247,0.0541179,1,1,707.355,1,1000000,1166530,1,1000000,1
17683.9,0.0253753,0.0467886,1,1,707.355,1,1000000,1098540,1,1000000,1
17683.9,0.0254591,0.0353366,1,1,707.355,1,1000000,1091320,1,1000000,1
17683.9,0.027908,0.0338314,1,1,707.355,1,1000000,908197,1,1000000,1
17683.9,0.0281231,0.0520957,1,1,707.355,1,1000000,894358,1,1000000,1
17683.9,0.0283947,0.0484974,1,1,707.355,1,1000000,877330,1,1000000,1
17683.9,0.0305468,0.0322007,1,1,707.355,1,1000000,758065,1,1000000,1
17683.9,0.031857,0.0494336,1,1,707.355,1,1000000,696992,1,1000000,1
17683.9,0.0319239,0.0499403,1,1,707.355,1,1000000,694074,1,1000000,1
17683.9,0.0334636,0.0307346,1,1,707.355,1,1000000,631673,1,1000000,1
17683.9,0.0355876,0.0497532,1,1,707.355,1,1000000,558522,1,1000000,1
17683.9,0.0362385,0.0478831,1,1,707.355,1,1000000,538638,1,1000000,1
17683.9,0.0366255,0.0294894,1,1,707.355,1,1000000,527315,1,1000000,1
17683.9,0.0398448,0.0494798,1,1,707.355,1,1000000,445548,1,1000000,1
17683.9,0.0401303,0.0284519,1,1,707.355,1,1000000,439231,1,1000000,1
17683.9,0.0413891,0.0464796,1,1,707.355,1,1000000,412920,1,1000000,1
17683.9,0.0439988,0.0274986,1,1,707.355,1,1000000,365389,1,1000000,1
17683.9,0.0445938,0.0487475,1,1,707.355,1,1000000,355704,1,1000000,1
17683.9,0.0472706,0.0449637,1,1,707.355,1,1000000,316560,1,1000000,1
17683.9,0.0481634,0.0266138,1,1,707.355,1,1000000,304932,1,1000000,1
17683.9,0.0499,0.0476609,1,1,707.355,1,1000000,284077,1,1000000,1
17683.9,0.0527765,0.0256598,1,1,707.355,1,1000000,253955,1,1000000,1
17683.9,0.0539873,0.0434068,1,1,707.355,1,1000000,242691,1,1000000,1
17683.9,0.0559173,0.0462849,1,1,707.355,1,1000000,226227,1,1000000,1
17683.9,0.057693,0.0249086,1,1,707.355,1,1000000,212516,1,1000000,1
17683.9,0.0616622,0.0423103,1,1,707.355,1,1000000,186037,1,1000000,1
17683.9,0.0625023,0.0447683,1,1,707.355,1,1000000,181070,1,1000000,1
17683.9,0.0631901,0.0242665,1,1,707.355,1,1000000,177149,1,1000000,1
17683.9,0.0692189,0.023589,1,1,707.355,1,1000000,147635,1,1000000,1
17683.9,0.0699327,0.0431228,1,1,707.355,1,1000000,144636,1,1000000,1
17683.9,0.0704301,0.0414216,1,1,707.355,1,1000000,142600,1,1000000,1
17683.9,0.0758719,0.0230071,1,1,707.355,1,1000000,122878,1,1000000,1
17683.9,0.0782733,0.0414157,1,1,707.355,1,1000000,115454,1,1000000,1
,0.0804389,0.0401011,,,,,,,,,
