Filename,ps_thf_00_2,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,11/12/2019,,,,,,,,,,
Sample name,OSKT 2_PS_THF,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-5.11E-04,7.62E-03,0.070081761,3.53291,19.99,-32.8584,-0.0464525,20.0282,-850558,3.53291,-0.0288921,1.08E-04
-3.61E-04,8.46E-03,0.067750364,10.5942,19.99,-35.9606,-0.0508381,20.0355,-663580,10.5942,-0.0204307,1.28E-04
-3.18E-04,9.74E-03,0.060831993,17.5637,20,-39.8248,-0.056301,20.0224,-590145,17.5637,-0.0179641,1.43E-04
-1.32E-04,1.11E-02,0.056191306,24.576,20,-42.9127,-0.0606664,20.0285,-508611,24.576,-7.44E-03,1.60E-04
-1.00E-04,0.012539486,5.23E-02,31.5228,20,-46.5161,-0.0657606,20.0161,-436576,31.5228,-5.66E-03,1.80E-04
-1.13E-04,0.014079037,4.95E-02,38.4697,20,-49.2106,-0.0695699,20.0275,-370290,38.4697,-6.38E-03,2.01E-04
5.67E-05,0.015873435,4.71E-02,45.482,20,-53.0895,-0.0750535,20.0144,-320207,45.482,3.21E-03,2.24E-04
2.18E-04,0.018042808,0.044616693,52.4944,20,-56.7657,-0.0802506,20.005,-272480,52.4944,0.0123182,2.51E-04
3.74E-04,0.020225199,0.042311302,59.4412,20,-60.1664,-0.0850582,20.0101,-229584,59.4412,0.0211282,2.82E-04
6.21E-04,0.022884849,0.040122876,66.388,20,-65.1748,-0.0921387,20.0166,-199782,66.388,0.0351119,3.14E-04
1.29E-03,0.025611303,0.038604108,73.4004,20,-69.7599,-0.0986207,20.022,-169329,73.4004,0.0730848,3.53E-04
1.46E-03,0.028864418,0.037471952,80.4127,20,-73.5365,-0.10396,20.0163,-142629,80.4127,0.082442,3.95E-04
1.48E-03,0.032156291,0.036964428,87.3595,20,-78.1683,-0.110508,20.0225,-121000,87.3595,0.0834571,4.42E-04
1.57E-03,0.035385132,0.036760414,94.3063,20,-82.754,-0.116991,20.03,-102505,94.3063,0.0886987,4.94E-04
1.76E-03,0.039036746,0.036351041,101.253,20,-87.3055,-0.123425,20.0192,-86300.3,101.253,0.0996464,5.53E-04
1.88E-03,0.043649141,0.035280698,108.266,20,-92.2136,-0.130364,20.0271,-72711.2,108.266,0.106114,6.20E-04
1.99E-03,0.048978687,0.033876879,115.278,20,-97.5896,-0.137964,20.0271,-61337.6,115.278,0.112722,6.94E-04
2.20E-03,0.055058972,0.032254474,122.225,20,-102.565,-0.144998,20.0313,-51515.2,122.225,0.124582,7.76E-04
2.42E-03,0.062060394,0.030646991,129.171,20,-107.515,-0.151996,20.022,-43131.2,129.171,0.136961,8.69E-04
2.63E-03,0.070043358,0.029366863,136.184,20,-113.802,-0.160884,20.0247,-36407.2,136.184,0.148495,9.73E-04
2.78E-03,0.079859072,0.028930524,143.196,20,-118.616,-0.167689,20.03,-30345.8,143.196,0.157352,1.09E-03
3.04E-03,0.088247248,0.028913935,150.143,20,-124.582,-0.176123,20.026,-25444.4,150.143,0.17195,1.22E-03
3.47E-03,0.098474135,0.029161028,157.09,20,-130.06,-0.183868,20.0232,-21230.9,157.09,0.196336,1.36E-03
3.98E-03,0.109474484,0.029521348,164.037,20,-136.743,-0.193315,20.0285,-17825,164.037,0.225234,1.52E-03
4.55E-03,0.120487809,0.030174971,171.049,20,-142.801,-0.201881,20.0328,-14836.3,171.049,0.257552,1.71E-03
4.76E-03,0.131894574,0.030983905,178.061,20,-149.55,-0.211421,20.0244,-12390.2,178.061,0.269087,1.91E-03
4.91E-03,0.144707345,0.031543021,185.008,20,-155.134,-0.219316,20.0229,-10264.9,185.008,0.277634,2.14E-03
5.46E-03,0.159762487,0.031621282,191.955,20,-160.938,-0.22752,20.0264,-8507.73,191.955,0.308801,2.39E-03
6.02E-03,0.177661842,0.031045375,198.967,20,-167.091,-0.23622,20.0307,-7047.02,198.967,0.340258,2.68E-03
6.82E-03,0.199754012,0.029834973,205.98,20,-172.745,-0.244212,20.0279,-5800.02,205.98,0.3854,3.00E-03
7.51E-03,0.224830465,0.028152277,212.926,20,-177.84,-0.251415,20.0247,-4774.83,212.926,0.4245,3.36E-03
8.47E-03,0.253165349,0.026389657,219.873,20,-184.081,-0.260238,20.0257,-3948.92,219.873,0.478789,3.76E-03
9.62E-03,0.286303952,0.024675202,226.886,20,-188.729,-0.266809,20.0332,-3225.47,226.886,0.543839,4.21E-03
0.0108882,0.320982351,0.023330303,233.898,20,-194.785,-0.275371,20.0155,-2654.75,233.898,0.615716,4.71E-03
0.0124881,0.359548474,0.022378787,240.845,20,-198.028,-0.279956,20.0203,-2156.79,240.845,0.706185,5.27E-03
0.0143362,0.403252418,0.021496331,247.792,20,-202.619,-0.286446,20.0121,-1764.46,247.792,0.810694,5.90E-03
0.0159774,0.451887016,0.020613222,254.738,20,-206.934,-0.292546,20.0095,-1438.89,254.738,0.903503,6.60E-03
0.0176607,0.506119822,0.019970654,261.751,20,-211.077,-0.298403,20.0101,-1170.12,261.751,0.998687,7.39E-03
0.018514,0.563819839,0.019683813,268.763,20,-215.103,-0.304095,20.0204,-950.091,268.763,1.04694,8.28E-03
0.0195687,0.623820672,0.01963303,275.71,20,-218.212,-0.30849,20.0143,-770.582,275.71,1.10659,9.26E-03
0.0211204,0.686270486,0.019910382,282.657,20,-220.905,-0.312297,20.0156,-623.509,282.657,1.19433,0.0103569
0.0230228,0.755052662,0.020860933,289.669,20,-223.627,-0.316145,20.0061,-503.235,289.669,1.30191,0.0115991
0.0249397,0.826726369,0.021675689,296.681,20,-226.555,-0.320284,20.0107,-406.448,296.681,1.41031,0.0129907
0.0278475,0.908890914,0.022210659,303.628,20,-228.889,-0.323584,20.0161,-328.017,303.628,1.57474,0.0145349
0.0310976,0.998553328,0.022421091,310.575,20,-230.919,-0.326454,20.0168,-264.477,310.575,1.75853,0.0162586
0.0324595,1.100968898,0.022470668,317.587,20,-232.541,-0.328748,20.0231,-212.338,317.587,1.83554,0.0182089
