Filename,ps_thf_01_4,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,18/12/2019,,,,,,,,,,
Sample name,PS_THF_01_4,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0407158,0.019678045,7.670387021,4.39094,20.01,-21.0942,-0.0298212,20.0323,-489809,4.39094,2.30242,1.14E-04
0.0425113,0.022071918,7.646963621,11.1412,20.01,-25.1579,-0.0355662,20.0149,-532138,11.1412,2.40396,1.20E-04
0.0463362,0.025083093,7.626149602,18.5467,20,-20.3389,-0.0287534,20.018,-358196,18.5467,2.62025,1.31E-04
0.0507378,0.028505068,7.605392236,25.9523,20.01,-22.9838,-0.0324926,20.0257,-337401,25.9523,2.86915,1.44E-04
0.0560628,0.032393889,7.584691369,33.2923,20.01,-22.0402,-0.0311586,20.0295,-268860,33.2923,3.17028,1.58E-04
0.0606207,0.036421203,7.564192857,40.6324,20.01,-22.0996,-0.0312425,20.0273,-224959,40.6324,3.42802,1.72E-04
0.0661705,0.041389987,7.543604129,47.9724,20.01,-24.9167,-0.0352251,20.0269,-211231,47.9724,3.74185,1.89E-04
0.0715978,4.70E-02,7.523071441,55.3124,20,-23.8148,-0.0336674,20.0302,-168219,55.3124,4.04876,2.07E-04
0.0788169,0.053453641,7.50259464,62.718,20.01,-27.7242,-0.0391941,20.0289,-163090,62.718,4.45699,2.27E-04
0.0858174,6.07E-02,7.482173574,70.1236,20,-23.7827,-0.033622,20.0264,-116408,70.1236,4.85286,2.49E-04
0.09376,6.83E-02,7.461952128,77.4636,20,-26.0515,-0.0368295,20.0098,-106267,77.4636,5.302,2.72E-04
0.102395,0.078872427,7.44E+00,84.8036,20.01,-22.8749,-0.0323387,20.0073,-77856.3,84.8036,5.79031,2.98E-04
0.111949,8.78E-02,7.439989943,92.1436,20,-22.0835,-0.0312198,20.0202,-62624,92.1436,6.33056,3.27E-04
0.121728,0.101921053,7.42E+00,99.4837,20,-21.1615,-0.0299164,20.0301,-49986.4,99.4837,6.88354,3.58E-04
0.133922,0.114659961,7.42E+00,106.889,20,-27.0854,-0.0382911,20.0287,-53221.6,106.889,7.57312,3.93E-04
0.145855,0.128991079,7.416302725,114.295,20,-27.324,-0.0386284,20.0299,-44688.7,114.295,8.24788,4.30E-04
0.160644,0.145113415,7.414728169,121.635,20,-25.2417,-0.0356846,20.0326,-34417.1,121.635,9.08421,4.71E-04
0.175465,0.16325085,7.413153948,128.975,20.01,-25.869,-0.0365715,20.0269,-29424.5,128.975,9.92229,5.16E-04
0.192334,0.183655246,7.411580061,136.315,20,-20.1648,-0.0285073,20.0299,-19112.7,136.315,10.8762,5.65E-04
0.210883,0.206609946,7.410006508,143.655,20,-25.358,-0.035849,20.0283,-20037.3,143.655,11.9251,6.19E-04
0.231221,0.231782481,7.4163968,151.061,20,-25.9459,-0.0366801,20.0177,-17060.6,151.061,13.0752,6.79E-04
0.254188,0.26163973,7.425355743,158.466,20,-29.2188,-0.041307,20.0219,-15990.4,158.466,14.374,7.44E-04
0.278852,0.289898299,7.426629454,165.806,20,-26.5047,-0.0374701,20.0276,-12092.2,165.806,15.7687,8.15E-04
0.306207,0.32738382,7.443218365,173.146,20,-22.7009,-0.0320927,20.0315,-8633.01,173.146,17.3156,8.92E-04
0.336337,0.365057373,7.458020933,180.486,20,-26.5485,-0.037532,20.0304,-8415.67,180.486,19.0194,9.77E-04
0.369696,0.413133686,7.47498451,187.826,20,-24.4227,-0.0345268,20.0296,-6470.4,187.826,20.9058,1.07E-03
0.406468,0.470051016,7.491914363,195.232,20,-26.7315,-0.0377908,20.0287,-5894.35,195.232,22.9852,1.17E-03
0.447408,0.529114394,7.509027506,202.637,20,-30.4282,-0.0430168,20.0277,-5581.55,202.637,25.3003,1.28E-03
0.491603,0.602010359,7.526034462,209.977,20,-28.0514,-0.0396568,20.0293,-4289.26,209.977,27.7995,1.41E-03
0.540779,0.695393304,7.551243016,217.317,20,-26.1848,-0.0370179,20.0272,-3336.53,217.317,30.5803,1.54E-03
0.594712,0.791398105,7.581204024,224.657,20,-26.4264,-0.0373594,20.0289,-2806.8,224.657,33.6302,1.69E-03
0.654273,0.89701969,7.605539044,231.997,20,-27.4644,-0.0388269,20.019,-2431.55,231.997,36.9983,1.85E-03
0.720535,1.021205292,7.641799049,239.403,20,-27.9708,-0.0395428,20.0253,-2060.07,239.403,40.7453,2.03E-03
0.795091,1.143723592,7.668885404,246.809,20,-28.0037,-0.0395893,20.0279,-1717,246.809,44.9613,2.22E-03
0.875778,1.314082755,7.694646704,254.149,20,-29.5865,-0.0418269,20.0267,-1511.88,254.149,49.5241,2.43E-03
0.966017,1.514407868,7.741884856,261.489,20,-30.6904,-0.0433876,20.0311,-1306.91,261.489,54.627,2.67E-03
1.06391,1.708893785,7.79001733,268.829,20,-29.5364,-0.0417561,20.0257,-1048.68,268.829,60.163,2.92E-03
1.17679,1.932051301,7.825859765,276.169,20,-24.3456,-0.0344178,20.0333,-720.668,276.169,66.5461,3.20E-03
1.30115,2.205046733,7.87014441,283.574,20,-34.5219,-0.0488042,20.0282,-850.101,283.574,73.5784,3.51E-03
1.43984,2.543051573,7.925116267,290.98,20,-25.8537,-0.0365498,20.0259,-529.836,290.98,81.4208,3.84E-03
1.59095,2.853231014,7.968077666,298.32,20,-27.3229,-0.0386268,20.0302,-466.855,298.32,89.9661,4.21E-03
1.75904,3.250159766,8.026057691,305.66,20,-29.21,-0.0412946,20.0254,-416.085,305.66,99.4714,4.61E-03
1.9458,3.687243568,8.075878966,313,20,-29.2043,-0.0412867,20.0292,-346.785,313,110.032,5.05E-03
2.15349,4.192360888,8.123081305,320.34,20,-30.0659,-0.0425047,20.0092,-297.598,320.34,121.777,5.53E-03
2.38435,4.730759537,8.173583736,327.746,20,-33.4952,-0.0473528,20.0297,-275.917,327.746,134.832,6.06E-03
2.63956,5.361947045,8.218473908,335.151,20,-26.5292,-0.0375047,20.0088,-181.865,335.151,149.264,6.65E-03
2.91896,6.095968077,8.263565047,342.491,20,-33.5758,-0.0474667,20.0049,-191.895,342.491,165.063,7.28E-03
