Filename,psb_nmp_00_12,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 11_PSB_NMP,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-4.94E-03,8.66E-03,0.028297794,3.53291,19.96,-21.3288,-0.0301529,20.0262,-552247,3.53291,-0.279405,1.08E-04
-1.36E-03,9.44E-03,0.028307043,10.5513,19.97,-21.5282,-0.0304347,20.0306,-398472,10.5513,-0.0767152,1.28E-04
-1.28E-03,1.03E-02,0.028316295,17.5637,19.98,-21.7893,-0.030804,20.0331,-321954,17.5637,-0.0725531,1.43E-04
-1.21E-03,1.12E-02,2.83E-02,24.576,19.99,-22.1092,-0.0312561,20.0383,-260455,24.576,-0.068459,1.60E-04
-1.14E-03,1.22E-02,0.028334808,31.5228,19.99,-21.5,-0.0303949,20.0181,-202135,31.5228,-0.0642069,1.79E-04
-1.05E-03,1.33E-02,0.028344069,38.4697,19.99,-21.9034,-0.0309652,20.0295,-164550,38.4697,-0.0594563,2.01E-04
-9.74E-04,1.45E-02,0.028353333,45.482,19.99,-21.5357,-0.0304453,20.0309,-129097,45.482,-0.0550601,2.25E-04
-8.88E-04,1.58E-02,0.0283626,52.4944,20,-21.8007,-0.0308199,20.0285,-104181,52.4944,-0.0502305,2.52E-04
-8.15E-04,0.017171539,0.02837187,59.4412,20,-22.2,-0.0313844,20.0178,-84699.5,59.4412,-0.0461151,2.82E-04
-6.74E-04,0.018704481,0.028381143,66.388,20,-22.3496,-0.031596,20.0122,-68314.9,66.388,-0.0381343,3.15E-04
-3.93E-04,0.020374272,0.02839042,73.4004,20,-22.0834,-0.0312196,20.0251,-53798.5,73.4004,-0.0222109,3.53E-04
-1.30E-04,0.022193129,0.028399699,80.4127,20,-21.9101,-0.0309746,20.02,-42600.4,80.4127,-7.35E-03,3.95E-04
2.70E-04,0.024174359,0.028408981,87.3595,20,-22.1132,-0.0312618,20.0229,-34371.1,87.3595,0.0152807,4.41E-04
6.68E-04,0.026332458,0.028418266,94.3063,20,-22.4449,-0.0317308,20.0298,-27823.8,94.3063,0.0377487,4.94E-04
9.50E-04,0.028683216,0.028427555,101.253,20,-22.6082,-0.0319616,20.0334,-22364.7,101.253,0.0537053,5.53E-04
1.15E-03,0.031243831,0.028436846,108.266,20,-22.0947,-0.0312357,20.0274,-17415,108.266,0.0649827,6.20E-04
1.23E-03,0.034033038,0.02844614,115.278,20,-22.0203,-0.0311305,20.0222,-13831.9,115.278,0.0694479,6.94E-04
8.15E-04,0.037071244,0.028455438,122.225,20,-22.3329,-0.0315724,20.0282,-11191.6,122.225,0.0460951,7.77E-04
4.28E-05,0.040380677,0.028464738,129.171,20,-22.792,-0.0322214,20.0329,-9106.83,129.171,2.42E-03,8.70E-04
-2.39E-04,0.043985551,0.028474042,136.184,20,-22.8071,-0.0322428,20.0316,-7302.68,136.184,-0.0135096,9.72E-04
5.55E-04,0.048284947,0.02829247,143.196,20,-22.897,-0.0323699,20.0206,-5878.89,143.196,0.0313958,1.09E-03
2.19E-03,0.052595453,0.028301718,150.143,20,-22.527,-0.0318468,20.0281,-4615.49,150.143,0.123962,1.22E-03
3.45E-03,0.057290767,0.028310968,157.09,20,-22.8255,-0.0322688,20.0298,-3723.24,157.09,0.195256,1.36E-03
3.03E-03,0.062405242,0.028320221,164.037,20,-22.6699,-0.0320489,20.0355,-2953.52,164.037,0.171616,1.52E-03
2.81E-03,0.067817621,0.028290986,171.049,20,-22.5407,-0.0318662,20.0354,-2341.64,171.049,0.158667,1.71E-03
3.36E-03,0.074042862,0.028147992,178.061,20,-23.2575,-0.0328795,20.0199,-1926.72,178.061,0.190079,1.91E-03
3.99E-03,0.080652834,0.028157192,185.008,20,-22.8613,-0.0323193,20.0207,-1512.89,185.008,0.225675,2.14E-03
4.50E-03,0.087919908,0.028052573,191.955,20,-23.7878,-0.0336292,20.0234,-1257.85,191.955,0.254444,2.39E-03
4.88E-03,0.09569335,0.027985954,198.967,20,-23.0424,-0.0325754,20.0298,-970.661,198.967,0.27622,2.68E-03
5.42E-03,0.104558402,0.027825786,205.98,20,-22.6468,-0.0320161,20.0327,-761.37,205.98,0.306725,3.00E-03
5.63E-03,0.113361465,0.027759292,212.926,20,-22.9319,-0.0324192,20.0336,-615.248,212.926,0.318594,3.36E-03
6.03E-03,0.123382795,0.027600011,219.873,20,-23.6193,-0.033391,20.032,-506.581,219.873,0.341199,3.76E-03
6.30E-03,0.134708275,0.027443655,226.886,20,-23.4579,-0.0331629,20.0219,-400.993,226.886,0.356406,4.21E-03
7.01E-03,0.146388169,0.027247519,233.898,20,-23.2804,-0.0329119,20.0257,-317.454,233.898,0.396433,4.71E-03
7.91E-03,0.159947619,0.027000248,240.845,20,-23.302,-0.0329424,20.0228,-253.769,240.845,0.447125,5.27E-03
9.06E-03,0.175169773,0.026701305,247.792,20,-23.0872,-0.0326388,20.0357,-200.866,247.792,0.512603,5.90E-03
0.0104802,0.191393746,0.026405437,254.738,20,-23.8438,-0.0337083,20.035,-165.788,254.738,0.592643,6.60E-03
0.0116765,0.208684038,0.026001187,261.751,20,-23.3705,-0.0330392,20.0299,-129.549,261.751,0.660288,7.39E-03
0.0132191,0.225736635,0.025640801,268.763,20,-23.0974,-0.0326532,20.0239,-102.138,268.763,0.747524,8.27E-03
0.0151831,0.246745352,0.025210634,275.71,20,-22.8159,-0.0322553,20.0345,-80.5674,275.71,0.858582,9.26E-03
0.0185624,0.268728212,0.024675988,282.657,20,-22.68,-0.0320631,20.0287,-64.0181,282.657,1.04968,0.0103566
0.0235617,0.291809575,0.024112795,289.669,20,-23.0067,-0.032525,20.017,-51.7549,289.669,1.33238,0.0116011
0.0298415,0.318358257,0.023473692,296.681,20,-23.0709,-0.0326157,20.0203,-41.3996,296.681,1.68749,0.0129892
0.0360303,0.349914893,0.022675716,303.628,20,-23.441,-0.0331389,20.0288,-33.6056,303.628,2.03746,0.0145322
0.0404366,0.383130439,0.021892809,310.575,20,-23.1598,-0.0327413,20.0239,-26.5163,310.575,2.28664,0.0162614
