Filename,psb_thfdmf_00_7,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,11/12/2019,,,,,,,,,,
Sample name,OSKT 7_PSB_THFDMF,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
4.60E-03,6.30E-03,0.100150375,3.70346,19.99,-24.1626,-0.034159,20.0129,-617593,3.70346,0.260257,1.09E-04
3.01E-03,6.56E-03,0.095935923,10.4465,19.99,-24.5624,-0.0347243,20.0179,-454771,10.4465,0.170008,1.28E-04
2.67E-03,6.82E-03,0.091898821,17.5637,19.99,-24.995,-0.0353359,20.0234,-367149,17.5637,0.151166,1.44E-04
2.48E-03,7.09E-03,8.80E-02,24.576,19.99,-24.7497,-0.0349891,20.0318,-291478,24.576,0.14049,1.60E-04
2.65E-03,7.43E-03,0.08429014,31.5228,20,-25.8489,-0.0365431,20.032,-243634,31.5228,0.149836,1.79E-04
2.68E-03,7.85E-03,0.080628067,38.4697,20,-26.9119,-0.0380458,20.0369,-202018,38.4697,0.151378,2.01E-04
2.92E-03,8.35E-03,0.076913922,45.482,20,-27.8425,-0.0393614,20.026,-167120,45.482,0.164961,2.25E-04
3.10E-03,8.94E-03,0.07340105,52.4944,20,-28.8852,-0.0408355,20.0351,-137840,52.4944,0.175214,2.52E-04
3.19E-03,0.009722034,0.06986161,59.4412,20,-29.2977,-0.0414187,20.0251,-111805,59.4412,0.180469,2.82E-04
3.30E-03,0.010547423,0.066791291,66.388,20,-29.9143,-0.0422903,20.0318,-91237.1,66.388,0.186477,3.15E-04
3.41E-03,0.01143574,0.063682519,73.4004,20,-29.4866,-0.0416857,20.0285,-71663.7,73.4004,0.193065,3.53E-04
3.03E-03,0.012223104,0.060757301,80.4127,20,-29.4727,-0.0416661,20.0202,-56916.3,80.4127,0.171384,3.96E-04
2.88E-03,0.013020677,0.058213327,87.3595,20,-29.667,-0.0419407,20.0221,-46018.3,87.3595,0.162837,4.42E-04
3.81E-03,0.014078756,0.055599432,94.3063,20,-30.2245,-0.0427289,20.0144,-37467.1,94.3063,0.215618,4.94E-04
4.84E-03,0.015568924,0.053148224,101.253,20,-31.6708,-0.0447735,20.0123,-31321.3,101.253,0.273542,5.53E-04
5.24E-03,0.017174061,0.051611619,108.266,20,-35.3094,-0.0499175,20.02,-27836.2,108.266,0.29643,6.20E-04
5.99E-03,0.018694945,0.05048493,115.278,20,-37.2558,-0.0526691,20.0324,-23448.8,115.278,0.338792,6.94E-04
7.46E-03,0.020496371,0.049351254,122.225,20,-38.2211,-0.0540338,20.027,-19211.8,122.225,0.421756,7.76E-04
8.83E-03,0.022433952,0.048490582,129.171,20,-30.9784,-0.0437947,20.0314,-12447.6,129.171,0.499325,8.68E-04
0.0130043,0.024513906,0.047866425,136.184,20,-24.8562,-0.0351397,20.0315,-7966.27,136.184,0.735376,9.72E-04
0.0169406,0.026971737,0.047442142,143.196,19.99,-25.8629,-0.0365629,20.0316,-6619.29,143.196,0.95797,1.09E-03
0.0199468,0.029484867,0.047462381,150.143,20,-27.1016,-0.038314,20.028,-5536.99,150.143,1.12796,1.22E-03
0.020719,0.032474317,0.047935377,157.09,20,-26.6168,-0.0376287,20.0354,-4341.81,157.09,1.17163,1.36E-03
0.0195778,0.035687257,0.048775792,164.037,20,-27.5655,-0.0389699,20.0268,-3591.27,164.037,1.1071,1.52E-03
0.0196194,0.039382148,0.049954807,171.049,20,-27.8296,-0.0393432,20.0282,-2891.01,171.049,1.10945,1.71E-03
0.0192635,0.04295188,0.051413882,178.061,20,-28.3497,-0.0400785,20.0259,-2348.2,178.061,1.08933,1.91E-03
0.0195673,0.047132592,0.052915575,185.008,20,-28.2685,-0.0399637,20.0275,-1870.74,185.008,1.1065,2.14E-03
0.0204742,0.051222983,0.054029804,191.955,20,-27.7874,-0.0392835,20.027,-1468.79,191.955,1.15779,2.39E-03
0.0215683,0.055935608,0.054775614,198.967,20,-28.3253,-0.0400439,20.0153,-1193.84,198.967,1.21966,2.68E-03
0.0223569,0.061104846,0.055103666,205.98,20,-28.6661,-0.0405257,20.0167,-962.76,205.98,1.26425,3.00E-03
0.0226076,0.066656164,0.055318964,212.926,20,-27.6763,-0.0391264,20.0211,-742.915,212.926,1.27843,3.36E-03
0.0223783,0.072453164,0.055410045,219.873,20,-29.3535,-0.0414975,20.0225,-629.485,219.873,1.26546,3.76E-03
0.0220313,0.07886377,0.055315594,226.886,20,-29.1981,-0.0412778,20.0215,-499.113,226.886,1.24584,4.21E-03
0.0221987,0.08599386,0.054956135,233.898,20.01,-28.7089,-0.0405862,20.0278,-391.146,233.898,1.2553,4.71E-03
0.0229267,0.093692771,0.054252474,240.845,20,-29.4997,-0.0417043,20.0187,-321.261,240.845,1.29648,5.27E-03
0.0231687,0.102201954,0.053119087,247.792,20,-30.4898,-0.0431039,20.0194,-265.454,247.792,1.31016,5.90E-03
0.0235453,0.111368915,0.051540912,254.738,19.99,-30.5041,-0.0431241,20.0245,-212.122,254.738,1.33145,6.60E-03
0.0246327,0.121365144,0.049681619,261.751,20,-30.9061,-0.0436925,20.013,-171.313,261.751,1.39294,7.39E-03
0.0259726,0.135785935,0.046888941,268.763,20,-31.5866,-0.0446545,20.0179,-139.515,268.763,1.46872,8.28E-03
0.0274437,0.151498072,0.04426538,275.71,20,-31.9963,-0.0452337,20.027,-112.995,275.71,1.55191,9.26E-03
0.0291796,0.171022299,0.04154869,282.657,20,-32.9528,-0.0465859,20.0293,-93.0131,282.657,1.65007,0.0103567
0.0311924,0.195327006,0.039073654,289.669,20,-33.3035,-0.0470818,20.0261,-74.9311,289.669,1.76389,0.0116001
0.0341975,0.212869421,0.037458132,296.681,20,-33.7976,-0.0477802,20.0212,-60.6331,296.681,1.93382,0.0129908
0.0377197,0.23526888,0.035771828,303.628,20,-34.2466,-0.0484151,20.0345,-49.0828,303.628,2.133,0.0145343
0.0419232,0.249539247,0.034801159,310.575,20,-34.8908,-0.0493258,20.0298,-39.9678,310.575,2.3707,0.0162573
