Filename,psb_thfdmf_01_7,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,
Sample name,PSB_THFDMF_01_7,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-1.84651,7.28E-03,0.044986879,4.40991,19.96,44.0327,0.0622497,20.0269,76.0654,4.40991,-104.418,0.0132386
3.79E-03,7.94E-03,0.044488561,11.1412,19.98,43.8213,0.061951,20.0206,929399,11.1412,0.214356,1.19E-04
4.14E-03,8.62E-03,0.043965681,18.5467,19.98,44.5296,0.0629523,20.024,782069,18.5467,0.234348,1.31E-04
4.27E-03,9.30E-03,4.34E-02,25.9523,19.98,43.8287,0.0619613,20.0257,640713,25.9523,0.241342,1.44E-04
4.58E-03,1.00E-02,0.042925753,33.2923,19.99,42.7248,0.0604008,20.0269,520713,33.2923,0.258857,1.58E-04
4.70E-03,1.08E-02,0.042422862,40.6324,19.99,43.2023,0.0610758,20.0167,437820,40.6324,0.266019,1.73E-04
4.78E-03,1.15E-02,0.041913593,47.9724,20,42.1882,0.0596422,20.0166,357587,47.9724,0.270368,1.89E-04
5.11E-03,1.23E-02,0.041411925,55.3124,19.99,41.9398,0.059291,20.0184,295850,55.3124,0.288831,2.07E-04
5.26E-03,0.013318407,0.040925236,62.718,20,41.8912,0.0592222,20.0095,245968,62.718,0.297427,2.27E-04
5.50E-03,0.014372723,0.040450202,70.1236,20,41.7689,0.0590493,20.0068,204478,70.1236,0.310827,2.49E-04
5.83E-03,0.015510501,0.040001219,77.4636,20,41.2386,0.0582997,20.0183,168147,77.4636,0.329587,2.72E-04
6.07E-03,0.016738349,0.039536911,84.8036,20,40.3447,0.0570359,20.0284,136945,84.8036,0.343302,2.99E-04
6.38E-03,0.018063396,0.039095197,92.1436,20,40.8486,0.0577484,20.03,115553,92.1436,0.36068,3.27E-04
6.66E-03,0.019814184,0.038604482,99.4837,20,40.6874,0.0575204,20.0243,96064.9,99.4837,0.376514,3.58E-04
7.04E-03,0.021499399,0.038150759,106.889,20,40.6495,0.0574668,20.0191,79909,106.889,0.398179,3.92E-04
7.35E-03,0.023418795,0.037680227,114.295,20,40.3874,0.0570963,20.0155,66040.2,114.295,0.415831,4.30E-04
7.74E-03,0.025450124,0.03724009,121.635,20,40.4241,0.0571483,20.0198,55116.6,121.635,0.437904,4.71E-04
8.08E-03,0.027614681,0.036807803,128.975,20,40.1985,0.0568293,20.0198,45681.9,128.975,0.457003,5.16E-04
8.50E-03,0.030126833,0.036360495,136.315,20,39.4485,0.055769,20.0176,37374.6,136.315,0.480433,5.65E-04
9.07E-03,0.033227191,0.035927939,143.655,20,39.862,0.0563536,20.0152,31477.7,143.655,0.512619,6.19E-04
9.47E-03,0.036846574,0.035483288,151.061,20,40.0695,0.0566468,20.0067,26343.1,151.061,0.535475,6.79E-04
0.0101726,0.04147628,0.035093092,158.466,20,39.2861,0.0555394,20.0139,21490.2,158.466,0.575244,7.44E-04
0.0109436,0.046168364,0.034760752,165.806,20,39.8087,0.0562782,20.0223,18155.2,165.806,0.618844,8.15E-04
0.0117635,0.051820291,0.034481655,173.146,20,39.9465,0.056473,20.0084,15188.1,173.146,0.665209,8.92E-04
0.0125881,0.058836181,0.034175481,180.486,20,38.828,0.0548918,20.0255,12304,180.486,0.711839,9.77E-04
0.0134106,0.066267466,0.0339077,187.826,20,39.4314,0.0557449,20.0299,10448.7,187.826,0.758349,1.07E-03
0.0145329,0.074997969,0.033641501,195.232,20,39.0949,0.0552691,20.0307,8619.62,195.232,0.821815,1.17E-03
0.0156445,0.084720469,0.033431682,202.637,20,39.1055,0.0552841,20.0324,7172.37,202.637,0.884678,1.28E-03
0.0167378,0.095842343,0.033204403,209.977,20,38.4852,0.0544072,20.0258,5883.89,209.977,0.946502,1.41E-03
0.0180218,0.108480473,0.032997422,217.317,20,38.3263,0.0541826,20.0282,4882.64,217.317,1.01911,1.54E-03
0.0194942,0.121992245,0.032762906,224.657,20,38.7141,0.0547308,20.0296,4112.37,224.657,1.10237,1.69E-03
0.0210992,0.140075149,0.032427504,231.997,20,38.3353,0.0541952,20.027,3392.13,231.997,1.19313,1.85E-03
0.0228237,0.157546684,0.032079151,239.403,20,37.737,0.0533494,20.0296,2779.41,239.403,1.29065,2.03E-03
0.0245383,0.177583568,0.031718237,246.809,20,38.0857,0.0538423,20.0255,2335.03,246.809,1.38761,2.22E-03
0.0262729,0.202910556,0.031300988,254.149,20,37.6893,0.0532821,20.0242,1925.39,254.149,1.4857,2.43E-03
0.0278891,0.228509501,0.0310563,261.489,20,37.4941,0.053006,20.0253,1596.75,261.489,1.57709,2.67E-03
0.0296986,0.259514384,0.03089441,268.829,20,37.3219,0.0527626,20.0251,1324.88,268.829,1.67941,2.92E-03
0.0315685,0.294252972,0.030820073,276.169,20,37.2568,0.0526706,20.0285,1102.38,276.169,1.78516,3.20E-03
0.0333632,0.331586011,0.03079662,283.574,20,37.3412,0.0527899,20.0251,919.596,283.574,1.88665,3.51E-03
0.0356127,0.372234999,0.030784266,290.98,20,37.1311,0.0524929,20.0162,760.987,290.98,2.01385,3.84E-03
0.0383061,0.418663769,0.03079325,298.32,20,37.3523,0.0528056,20.0287,638.115,298.32,2.16616,4.21E-03
0.0418352,0.481096138,0.030896293,305.66,19.99,36.6947,0.0518759,20.034,522.626,305.66,2.36572,4.61E-03
0.0458612,0.544817566,0.031020673,313,20,36.7767,0.0519919,20.0163,436.614,313,2.59339,5.05E-03
0.0502323,0.620827999,0.031051987,320.34,20,36.0834,0.0510118,20.0082,357.154,320.34,2.84057,5.53E-03
0.0549688,0.703603752,0.030940024,327.746,20,36.3732,0.0514214,20.017,299.569,327.746,3.10841,6.06E-03
0.060052,0.794528422,0.030775754,335.151,20,36.2823,0.051293,20.0173,248.733,335.151,3.39586,6.65E-03
0.0653887,0.898831965,0.030685799,342.491,20,36.366,0.0514112,20.0218,207.839,342.491,3.69765,7.28E-03
0.0716611,1.017289414,0.030704975,349.831,20,36.5164,0.0516239,20.0209,173.987,349.831,4.05234,7.97E-03
