Filename,psms_dmf_00_7
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,_7_PSMS_DMF
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
6.32062e-3,6.23858e-3,1.01315,4.72447,19.99,-100.539,-0.142134,20.0096,-2583240,4.72447,0.357422,1.08551e-4
2.34846e-3,6.87745e-3,0.321879,12.7140,19.99,-104.620,-0.147903,20.0088,-2211870,12.7140,0.132802,1.19667e-4
2.31600e-3,7.54194e-3,0.299987,21.1682,20.00,-107.930,-0.152583,20.0082,-1897480,21.1682,0.130967,1.31230e-4
2.38123e-3,8.25849e-3,0.283167,29.6223,20.00,-109.803,-0.155230,20.0145,-1609950,29.6223,0.134655,1.43697e-4
2.42840e-3,9.04604e-3,0.270258,38.0109,20.00,-110.285,-0.155912,20.0165,-1347720,38.0109,0.137323,1.57401e-4
2.46749e-3,9.89846e-3,0.261174,46.3995,20.00,-110.692,-0.156487,20.0178,-1129740,46.3995,0.139533,1.72233e-4
2.53710e-3,0.0108399,0.254467,54.7881,20.00,-111.266,-0.157299,20.0198,-946913,54.7881,0.143470,1.88614e-4
2.60863e-3,0.0118704,0.250187,63.1767,20.00,-111.369,-0.157444,20.0239,-790375,63.1767,0.147514,2.06545e-4
2.71363e-3,0.0129993,0.249573,71.6309,20.00,-111.795,-0.158047,20.0252,-661578,71.6309,0.153452,2.26188e-4
2.97202e-3,0.0142363,0.251099,80.0850,20.00,-111.983,-0.158312,20.0287,-552533,80.0850,0.168064,2.47711e-4
3.33980e-3,0.0155945,0.252398,88.4736,20.00,-112.309,-0.158773,20.0268,-461815,88.4736,0.188861,2.71344e-4
3.67351e-3,0.0170763,0.250354,96.8622,20.00,-112.118,-0.158503,20.0255,-384493,96.8622,0.207732,2.97127e-4
4.12403e-3,0.0186884,0.249885,105.251,20.00,-112.189,-0.158603,20.0308,-321220,105.251,0.233208,3.25178e-4
4.76326e-3,0.0204501,0.251519,113.639,20.00,-112.230,-0.158662,20.0315,-268359,113.639,0.269356,3.55832e-4
5.20492e-3,0.0224332,0.253390,122.094,20.00,-112.384,-0.158879,20.0327,-223317,122.094,0.294331,3.90337e-4
5.73381e-3,0.0245519,0.257124,130.548,20.00,-112.734,-0.159373,20.0351,-187018,130.548,0.324239,4.27202e-4
6.91714e-3,0.0268660,0.262149,138.936,20.00,-112.898,-0.159606,20.0214,-156416,138.936,0.391155,4.67467e-4
9.26762e-3,0.0294351,0.268287,147.325,20.00,-112.444,-0.158964,20.0226,-129780,147.325,0.524072,5.12170e-4
0.0103525,0.0322541,0.275961,155.714,20.00,-112.673,-0.159288,20.0247,-108305,155.714,0.585422,5.61221e-4
0.0101745,0.0353193,0.283011,164.102,20.00,-113.116,-0.159914,20.0219,-90677.6,164.102,0.575353,6.14555e-4
0.0113132,0.0386766,0.288217,172.556,20.00,-112.783,-0.159443,20.0295,-75395.5,172.556,0.639747,6.72971e-4
0.0125742,0.0423752,0.292778,181.010,20.00,-112.852,-0.159541,20.0311,-62847.3,181.010,0.711056,7.37326e-4
0.0152066,0.0464198,0.296371,189.399,20.00,-112.766,-0.159419,20.0341,-52332.4,189.399,0.859915,8.07703e-4
0.0155797,0.0507897,0.298223,197.788,20.00,-112.310,-0.158774,20.0306,-43537.7,197.788,0.881010,8.83739e-4
0.0183528,0.0555978,0.297738,206.176,20.00,-112.680,-0.159297,20.0317,-36452.7,206.176,1.03782,9.67400e-4
0.0206600,0.0608334,0.296360,214.565,20.00,-112.247,-0.158686,20.0323,-30331.3,214.565,1.16830,1.05850e-3
0.0226599,0.0666415,0.291803,223.019,20.00,-113.041,-0.159808,20.0358,-25453.4,223.019,1.28139,1.15956e-3
0.0259589,0.0730508,0.282602,231.473,20.00,-112.756,-0.159405,20.0349,-21129.5,231.473,1.46794,1.27108e-3
0.0269671,0.0799583,0.267878,239.862,20.00,-113.121,-0.159921,20.0330,-17693.6,239.862,1.52496,1.39127e-3
0.0265359,0.0875998,0.251823,248.250,20.00,-112.485,-0.159021,20.0269,-14658.4,248.250,1.50057,1.52423e-3
0.0277388,0.0958735,0.236601,256.639,20.00,-112.735,-0.159375,20.0267,-12264.8,256.639,1.56859,1.66820e-3
0.0292291,0.105047,0.218156,265.093,20.00,-112.455,-0.158979,20.0190,-10190.8,265.093,1.65287,1.82782e-3
0.0302806,0.115130,0.198088,273.547,20.00,-113.103,-0.159896,20.0238,-8532.87,273.547,1.71233,2.00326e-3
0.0283673,0.126078,0.178629,281.936,20.00,-113.478,-0.160426,20.0299,-7138.93,281.936,1.60413,2.19376e-3
0.0294374,0.137996,0.161280,290.325,20.00,-113.338,-0.160227,20.0346,-5951.74,290.325,1.66465,2.40112e-3
0.0289465,0.151087,0.146233,298.713,20.00,-113.444,-0.160378,20.0312,-4969.67,298.713,1.63689,2.62891e-3
0.0284604,0.165524,0.132103,307.102,20.00,-112.900,-0.159609,20.0294,-4120.72,307.102,1.60940,2.88012e-3
0.0209737,0.181350,0.118171,315.556,20.00,-113.157,-0.159972,20.0286,-3440.70,315.556,1.18604,3.15548e-3
0.0177296,0.198598,0.105842,324.010,20.00,-113.879,-0.160992,20.0201,-2887.31,324.010,1.00259,3.45560e-3
0.0192754,0.217468,0.0920497,332.399,20.00,-113.446,-0.160381,20.0212,-2398.83,332.399,1.09000,3.78394e-3
0.0152178,0.238124,0.0773083,340.787,20.00,-113.734,-0.160787,20.0360,-2005.78,340.787,0.860548,4.14334e-3
0.0138811,0.260786,0.0644678,349.176,20.00,-113.461,-0.160402,20.0203,-1668.32,349.176,0.784956,4.53766e-3
0.0122969,0.285367,0.0539463,357.564,20.00,-113.845,-0.160945,20.0264,-1398.00,357.564,0.695372,4.96537e-3
0.0146088,0.312710,0.0463443,366.019,20.00,-113.724,-0.160774,20.0335,-1162.97,366.019,0.826105,5.44115e-3
0.0179295,0.342668,0.0396151,374.473,20.00,-113.531,-0.160501,20.0269,-966.867,374.473,1.01389,5.96242e-3
0.0186615,0.375172,0.0329921,382.861,20.00,-113.268,-0.160128,20.0288,-804.719,382.861,1.05528,6.52798e-3
0.0177721,0.410727,0.0273438,391.250,20.00,-113.103,-0.159896,20.0351,-670.453,391.250,1.00499,7.14663e-3
0.0186702,0.449679,0.0237501,399.639,20.00,-113.086,-0.159872,20.0303,-559.249,399.639,1.05578,7.82440e-3
0.0104832,0.492483,0.0206215,408.027,20.00,-113.653,-0.160673,20.0152,-468.595,408.027,0.592813,8.56918e-3
5.63585e-3,0.539531,0.0169677,416.481,20.00,-114.109,-0.161317,20.0315,-392.000,416.481,0.318700,9.38782e-3
5.21408e-3,0.591043,0.0121837,424.935,20.00,-114.110,-0.161319,20.0353,-326.652,424.935,0.294849,0.0102841
5.60345e-3,0.647072,9.92536e-3,433.324,20.00,-114.517,-0.161894,20.0303,-273.504,433.324,0.316868,0.0112590
9.10697e-3,0.708300,8.37653e-3,441.713,20.00,-114.348,-0.161655,20.0304,-227.926,441.713,0.514987,0.0123244
8.57911e-3,0.775660,7.22362e-3,450.101,20.00,-114.085,-0.161284,20.0280,-189.621,450.101,0.485137,0.0134965
4.99019e-3,0.849456,6.38042e-3,458.490,20.00,-114.100,-0.161305,20.0282,-158.126,458.490,0.282188,0.0147805
4.46344e-3,0.930326,5.46390e-3,466.944,20.00,-114.183,-0.161422,20.0290,-131.926,466.944,0.252402,0.0161876
8.03328e-3,1.01933,4.55253e-3,475.398,20.00,-114.367,-0.161683,20.0325,-110.070,475.398,0.454271,0.0177364
6.82170e-3,1.11617,3.86156e-3,483.787,20.00,-114.616,-0.162034,20.0161,-91.9990,483.787,0.385758,0.0194213
2.69903e-3,1.22226,3.49536e-3,492.175,20.00,-114.072,-0.161266,20.0228,-76.3576,492.175,0.152626,0.0212673
-2.05529e-3,1.33807,-1.53601e-3,500.564,20.00,-113.786,-0.160862,20.0331,-63.5526,500.564,-0.116224,0.0232824
1.39975e-4,1.46541,3.05492e-3,509.018,20.00,-113.408,-0.160326,20.0281,-52.8107,509.018,7.91540e-3,0.0254982
1.32589e-3,1.60606,2.97695e-3,517.472,20.00,-114.076,-0.161271,20.0157,-44.2251,517.472,0.0749774,0.0279455
-2.64727e-3,1.75840,-1.50550e-3,525.861,20.00,-114.098,-0.161302,20.0175,-36.9013,525.861,-0.149700,0.0305961
-9.58420e-4,1.92482,-4.97926e-4,534.250,20.00,-113.316,-0.160196,20.0236,-30.5850,534.250,-0.0541974,0.0334918
-1.44098e-4,2.10751,-6.83737e-5,542.638,20.00,-112.303,-0.158765,20.0257,-25.2844,542.638,-8.14857e-3,0.0366706
1.47230e-3,2.30706,2.42803e-3,551.027,20.00,-110.828,-0.156679,20.0197,-20.8223,551.027,0.0832567,0.0401428
3.23503e-3,2.52825,2.09704e-3,559.481,20.00,-109.646,-0.155009,20.0281,-17.1535,559.481,0.182937,0.0439915
9.11861e-3,2.76960,1.92062e-3,567.935,20.00,-108.340,-0.153162,20.0247,-14.1239,567.935,0.515645,0.0481910
5.77089e-3,3.03253,1.81827e-3,576.324,20.00,-108.808,-0.153824,20.0205,-11.8318,576.324,0.326336,0.0527660
3.25673e-3,3.32027,1.70808e-3,584.712,20.00,-109.582,-0.154918,20.0149,-9.94018,584.712,0.184164,0.0577726
6.96895e-3,3.63451,1.63960e-3,593.101,20.00,-107.850,-0.152469,20.0361,-8.16445,593.101,0.394085,0.0632403
0.0187870,3.97958,1.57560e-3,601.489,20.00,-107.455,-0.151911,20.0195,-6.78505,601.489,1.06238,0.0692445
0.0200678,4.35993,1.53566e-3,609.944,20.00,-112.386,-0.158882,20.0204,-5.91228,609.944,1.13481,0.0758626
0.0294982,4.77734,1.75634e-3,618.398,20.00,-113.852,-0.160954,20.0210,-4.98848,618.398,1.66808,0.0831255
0.0105351,5.23039,1.86943e-3,626.786,20.00,-113.577,-0.160566,20.0292,-4.15167,626.786,0.595749,0.0910085
3.45579e-3,5.72620,2.03217e-3,635.175,20.00,-113.898,-0.161020,20.0161,-3.47364,635.175,0.195420,0.0996357
7.80687e-3,6.26913,2.17057e-3,643.564,20.00,-109.802,-0.155228,20.0246,-2.79379,643.564,0.441468,0.109083
0.0101317,6.86391,2.25164e-3,651.952,20.00,-105.116,-0.148604,20.0274,-2.23113,651.952,0.572932,0.119432
8.92717e-3,7.51968,2.42484e-3,660.406,20.00,-107.242,-0.151610,20.0283,-1.89656,660.406,0.504820,0.130842
0.0197403,8.23868,2.74728e-3,668.860,20.00,-112.033,-0.158382,20.0181,-1.65055,668.860,1.11629,0.143353
