Filename,pvk_chl_00_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,OSKT 1_PVK_CHL
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.266741,7.75823e-3,34.3817,4.91523,20.00,-347.278,-0.490953,20.0052,-5769690,4.91523,15.0838,1.34993e-4
0.354810,7.34260e-3,48.3221,10.5513,20.00,-334.261,-0.472551,20.0054,-6199920,10.5513,20.0640,1.27761e-4
0.426190,8.18803e-3,52.0504,17.5637,19.99,-341.165,-0.482311,20.0106,-5088690,17.5637,24.1005,1.42471e-4
0.503499,9.20026e-3,54.7266,24.5760,20.00,-309.085,-0.436959,20.0136,-3651560,24.5760,28.4722,1.60084e-4
0.585266,0.0103153,56.7379,31.5228,20.00,-283.928,-0.401394,20.0118,-2668380,31.5228,33.0960,1.79485e-4
0.658075,0.0115177,57.1360,38.4697,19.99,-269.258,-0.380654,20.0092,-2029720,38.4697,37.2133,2.00408e-4
0.752001,0.0129085,58.2564,45.4820,20.00,-248.973,-0.351977,20.0090,-1494180,45.4820,42.5246,2.24607e-4
0.842958,0.0144523,58.3267,52.4944,20.00,-238.634,-0.337361,20.0085,-1142500,52.4944,47.6681,2.51470e-4
0.949429,0.0161852,58.6605,59.4412,20.00,-237.370,-0.335574,20.0089,-906134,59.4412,53.6889,2.81621e-4
1.06147,0.0180858,58.6909,66.3880,20.00,-223.146,-0.315465,20.0165,-682200,66.3880,60.0249,3.14693e-4
1.18315,0.0202520,58.4213,73.4004,20.00,-205.213,-0.290114,20.0216,-500344,73.4004,66.9056,3.52385e-4
1.31909,0.0227032,58.1014,80.4127,20.00,-204.202,-0.288684,20.0207,-396173,80.4127,74.5927,3.95035e-4
1.46970,0.0254045,57.8521,87.3595,20.00,-186.568,-0.263755,20.0236,-289078,87.3595,83.1098,4.42038e-4
1.63033,0.0284141,57.3776,94.3063,20.00,-185.084,-0.261657,20.0214,-229246,94.3063,92.1930,4.94404e-4
1.81178,0.0317825,57.0056,101.253,20.00,-176.482,-0.249495,20.0299,-174712,101.253,102.454,5.53015e-4
1.99925,0.0355919,56.1713,108.266,20.00,-173.647,-0.245488,20.0250,-137077,108.266,113.055,6.19298e-4
2.20897,0.0398666,55.4090,115.278,20.00,-147.702,-0.208809,20.0134,-92932.6,115.278,124.914,6.93677e-4
2.43249,0.0446037,54.5357,122.225,20.00,-156.310,-0.220978,20.0077,-78567.8,122.225,137.554,7.76103e-4
2.67953,0.0499066,53.6909,129.171,20.00,-181.667,-0.256825,20.0167,-72938.9,129.171,151.524,8.68373e-4
2.94974,0.0558883,52.7792,136.184,20.00,-145.992,-0.206391,20.0059,-46739.8,136.184,166.804,9.72454e-4
3.23798,0.0625047,51.8038,143.196,20.00,-163.017,-0.230460,20.0020,-41726.0,143.196,183.103,1.08758e-3
3.54886,0.0699448,50.7381,150.143,20.00,-159.172,-0.225024,20.0071,-32535.4,150.143,200.683,1.21704e-3
3.88341,0.0782471,49.6301,157.090,20.00,-156.834,-0.221718,20.0065,-25615.5,157.090,219.602,1.36150e-3
4.24243,0.0875590,48.4523,164.037,20.00,-166.568,-0.235480,20.0032,-21726.5,164.037,239.904,1.52352e-3
4.63389,0.0980860,47.2431,171.049,20.00,-179.143,-0.253257,20.0038,-18620.2,171.049,262.040,1.70669e-3
5.05636,0.109864,46.0238,178.061,20.00,-175.602,-0.248252,20.0083,-14548.5,178.061,285.930,1.91163e-3
5.50270,0.122890,44.7776,185.008,20.00,-166.680,-0.235638,20.0068,-11037.0,185.008,311.171,2.13827e-3
5.98123,0.137516,43.4948,191.955,20.00,-156.008,-0.220551,20.0035,-8249.78,191.955,338.230,2.39277e-3
6.50300,0.154025,42.2204,198.967,20.00,-186.739,-0.263996,20.0114,-7871.39,198.967,367.736,2.68003e-3
7.05966,0.172491,40.9278,205.980,20.00,-191.349,-0.270513,20.0097,-6431.24,205.980,399.215,3.00133e-3
7.65058,0.192972,39.6460,212.926,20.00,-193.766,-0.273930,20.0115,-5203.40,212.926,432.630,3.35771e-3
8.28086,0.215919,38.3516,219.873,20.00,-194.170,-0.274502,20.0191,-4164.85,219.873,468.272,3.75699e-3
8.96451,0.241818,37.0713,226.886,20.00,-190.104,-0.268754,20.0123,-3250.99,226.886,506.931,4.20762e-3
9.69238,0.270788,35.7933,233.898,20.00,-206.464,-0.291882,20.0096,-2815.70,233.898,548.091,4.71170e-3
10.4639,0.302980,34.5367,240.845,20.00,-208.976,-0.295433,20.0113,-2276.51,240.845,591.720,5.27183e-3
11.2968,0.338958,33.3279,247.792,20.00,-208.832,-0.295230,20.0096,-1817.63,247.792,638.817,5.89785e-3
12.1788,0.379194,32.1175,254.738,20.00,-231.537,-0.327328,20.0090,-1610.27,254.738,688.693,6.59796e-3
13.0982,0.424688,30.8418,261.751,20.00,-228.506,-0.323043,20.0085,-1266.95,261.751,740.683,7.38955e-3
14.0879,0.475576,29.6229,268.763,20.00,-244.099,-0.345087,20.0119,-1079.26,268.763,796.654,8.27500e-3
15.1362,0.532070,28.4478,275.710,20.00,-246.240,-0.348113,20.0256,-869.804,275.710,855.933,9.25799e-3
16.2409,0.595259,27.2837,282.657,20.00,-243.867,-0.344759,20.0253,-688.242,282.657,918.401,0.0103575
17.4235,0.666628,26.1368,289.669,20.00,-251.906,-0.356124,20.0224,-566.855,289.669,985.276,0.0115993
18.6649,0.746550,25.0016,296.681,20.00,-253.220,-0.357982,20.0200,-454.339,296.681,1055.48,0.0129899
19.9704,0.835191,23.9111,303.628,20.00,-250.461,-0.354081,20.0256,-359.062,303.628,1129.30,0.0145323
21.3559,0.934343,22.8566,310.575,20.00,-270.559,-0.382494,20.0238,-309.921,310.575,1207.65,0.0162575
22.8460,1.04639,21.8332,317.587,20.00,-255.713,-0.361506,20.0240,-233.544,317.587,1291.91,0.0182071
24.4398,1.17182,20.8563,324.600,20.00,-256.106,-0.362062,20.0254,-186.509,324.600,1382.04,0.0203896
26.1273,1.31094,19.9302,331.547,20.00,-259.167,-0.366389,20.0339,-150.805,331.547,1477.46,0.0228103
27.9398,1.46657,19.0511,338.493,20.00,-236.446,-0.334268,20.0198,-109.932,338.493,1579.96,0.0255183
29.8922,1.64067,18.2195,345.440,20.00,-214.897,-0.303804,20.0082,-79.8337,345.440,1690.37,0.0285477
31.9996,1.83741,17.4156,352.453,20.00,-227.323,-0.321370,20.0184,-67.3334,352.453,1809.53,0.0319709
34.2100,2.05768,16.6255,359.465,20.00,-241.560,-0.341497,20.0225,-57.0517,359.465,1934.53,0.0358036
36.5216,2.30194,15.8656,366.412,20.00,-239.378,-0.338413,20.0209,-45.1748,366.412,2065.25,0.0400537
39.0105,2.57522,15.1484,373.359,20.00,-193.747,-0.273904,20.0151,-29.2150,373.359,2205.99,0.0448087
41.7225,2.88401,14.4668,380.371,20.00,-133.343,-0.188509,20.0226,-16.0316,380.371,2359.35,0.0501816
44.6545,3.22972,13.8261,387.383,20.00,-69.2869,-0.0979520,20.0349,-6.64233,387.383,2525.15,0.0561971
47.8055,3.61309,13.2312,394.330,20.00,-12.4968,-0.0176669,20.0239,-0.957285,394.330,2703.34,0.0628677
51.2068,4.04205,12.6685,401.277,20.00,-7.95961,-0.0112526,20.0193,-0.487178,401.277,2895.68,0.0703316
54.7766,4.52181,12.1139,408.224,20.00,-11.4159,-0.0161388,20.0124,-0.558324,408.224,3097.54,0.0786792
58.5079,5.06410,11.5535,415.236,20.00,109.827,0.155265,20.0277,4.28259,415.236,3308.54,0.0881151
62.5034,5.67106,11.0215,422.248,20.00,83.1591,0.117563,20.0144,2.58572,422.248,3534.49,0.0986763
66.6390,6.34425,10.5038,429.195,20.00,86.6787,0.122539,20.0130,2.15353,429.195,3768.35,0.110390
71.1431,7.09746,10.0237,436.142,20.00,191.162,0.270249,20.0218,3.79486,436.142,4023.05,0.123496
76.0667,7.94847,9.56997,443.154,20.00,249.091,0.352144,20.0195,3.94268,443.154,4301.47,0.138303
81.1596,8.90131,9.11772,450.167,20.00,283.824,0.401247,20.0134,3.58213,450.167,4589.47,0.154882
86.4744,9.95794,8.68397,457.114,20.00,261.550,0.369758,20.0166,2.63765,457.114,4890.01,0.173268
92.3216,11.1399,8.28746,464.060,20.00,296.186,0.418723,20.0237,2.38672,464.060,5220.66,0.193834
98.2310,12.4759,7.87365,471.073,20.00,249.724,0.353039,20.0172,1.60441,471.073,5554.83,0.217081
104.201,13.9712,7.45824,478.085,20.00,455.251,0.643596,20.0251,2.33228,478.085,5892.42,0.243099
110.961,15.6298,7.09936,485.032,20.00,442.648,0.625778,20.0119,1.81198,485.032,6274.72,0.271958
118.119,17.4852,6.75536,491.979,20.00,379.655,0.536724,20.0187,1.24179,491.979,6679.46,0.304241
125.249,19.5606,6.40313,498.926,20.00,524.164,0.741020,20.0198,1.36994,498.926,7082.69,0.340354
133.256,21.9065,6.08291,505.938,20.00,566.880,0.801408,20.0139,1.18126,505.938,7535.42,0.381173
141.242,24.5322,5.75742,512.950,20.00,578.399,0.817693,20.0125,0.961072,512.950,7987.05,0.426859
149.395,27.4445,5.44354,519.897,20.00,741.451,1.04820,20.0217,0.984401,519.897,8448.10,0.477533
157.803,30.7023,5.13979,526.844,20.00,755.458,1.06800,20.0153,0.801438,526.844,8923.55,0.534218
166.757,34.3838,4.84987,533.856,20.00,781.703,1.10511,20.0142,0.661201,533.856,9429.88,0.598277
176.840,38.5054,4.59261,540.869,20.00,866.353,1.22478,20.0143,0.584321,540.869,10000.1,0.669992
186.630,43.0764,4.33253,547.815,20.00,973.388,1.37609,20.0094,0.524573,547.815,10553.7,0.749529
196.668,48.1896,4.08114,554.762,20.00,970.376,1.37184,20.0165,0.417863,554.762,11121.3,0.838497
207.881,53.9102,3.85606,561.709,20.00,1066.99,1.50842,20.0116,0.367129,561.709,11755.4,0.938035
219.240,60.3747,3.63133,568.721,20.00,1145.67,1.61966,20.0144,0.314305,568.721,12397.8,1.05052
231.156,67.6118,3.41887,575.734,20.00,1229.79,1.73858,20.0107,0.269021,575.734,13071.6,1.17644
243.226,75.6377,3.21567,582.681,20.00,1386.67,1.96037,20.0175,0.242381,582.681,13754.1,1.31609
255.542,84.6165,3.02000,589.627,20.00,1421.58,2.00971,20.0116,0.198546,589.627,14450.6,1.47232
268.166,94.5589,2.83597,596.509,20.00,1571.32,2.22140,20.0152,0.175735,596.509,15164.4,1.64532

