PVKinSU8_01_dia,PVKinSU8_02_dia,PVKinSU8_06_dia,PVKinSU8_05_dia,PVKinSU8_04_dia,PVKinSU8_10_gap,PVKinSU8_10_gap_x2,PVKinCHL_07_dia,PVKinCHL_05_dia,PVKinCHL_02_dia,PVKinCHL_06_dia,PVKinCHL_03_dia,PVKinCHL_08_09_10_gap,PSinTHF_07_dia,PSinTHF_05_dia,PSinTHF_06_dia,PSinTHF_04_dia,PSinTHF_03_dia,PSinTHF_08_09_gap,PSBinTHFDMF_06_dia,PSBinTHFDMF_00_dia,PSBinTHFDMF_02_dia,PSBinTHFDMF_03_dia,PSBinTHFDMF_04_dia,PSBinTHFDMF_08_10_gap,PEOinSU8_00_dia,PEOinSU8_05_dia,PEOinSU8_04_dia,PEOinSU8_02_dia,PEOinSU8_06_dia,PEOinSU8_08_gap,PEOinSU8_08_gap_x5
2124.614583,2278.168889,2376.822,2503.66087,3130.546207,25.56327044,45.58012579,976.22675,2113.474426,2476.66,2889.542593,3397.059,54.8196129,1829.710426,2507.638511,2716.808852,4856.594138,5304.27925,68.25088235,1838.751373,1919.691039,1924.56625,1947.185867,2150.792549,57.10272727,1960.803148,2391.293333,3165.327174,3156.640435,4033.289783,18.00365079,42.71412698
2116.61,2476.42,2650.59,2548.18,3237.77,25.62,51.24,1268.16,2070.1,2864.17,3253.09,3630.52,53.23,1860.05,2733.44,2978.27,5013.22,4928.47,51.72,2136.98,2355.86,1686.91,1929.21,2139.53,57.52,1747.57,2580.91,3192.89,2953.11,4186.05,8.73,43.65
1827.55,2403.96,2554.32,2524.49,3022.44,25.65,51.3,1222.2,1974.46,2670.89,2964.73,3608.65,54,2028.98,2589.5,2833,4819.58,5001.44,51.03,2000.58,2331.83,1614.63,1885.83,1968.56,56.33,1701.8,2634.94,3153.45,3020.11,4212.69,9.15,45.75
1754.97,2403.96,2651.58,2477,2997.99,26.12,52.24,1202.13,2044.57,2670.89,2994.16,3609.69,53.44,1932.97,2465.34,2786.15,4958.69,5145.82,51.03,1965.89,2548.16,1759.03,1989.52,2260.13,57.71,1968.42,2631.79,3123.52,3067.55,4142.05,9.15,45.75
1875.61,2212.05,2436.71,2333.71,3069.54,25.17,50.34,1077.61,1980.65,2500.46,3137.06,3751.23,50.44,1932.36,2537.05,2857.11,4696.45,5174.71,51.12,1853.07,2475.93,1903.61,2008.68,2195.39,57.66,1893.36,2630.55,3110.23,3092.08,4193.46,9.15,45.75
1923.07,2283.65,2463.61,2669.24,3142.31,24.76,49.52,1128.46,2004.08,2549,2873.93,3826.95,52.03,1788.9,2487.8,2905.53,4744.62,5104.84,50.69,1937.63,2285.65,2193.29,1877.81,2382.86,57.5,1967.37,2583.2,3187.77,3069.07,4209.88,9.31,46.55
2092.58,2212.05,2314.38,2502.88,3021.68,36.4,36.4,1078.94,1918.56,2476.79,2896.47,3967.51,79.71,1884.05,2463.89,2978.27,4750.82,5113.12,52.07,1649.33,2069.52,2170.81,1759.2,2240.72,56.3,1893.36,2533.34,3401,3118.2,4160.87,5.75,28.75
2091.34,2115.92,2435.64,2528.15,3045.94,35.78,35.78,1011.88,2232.93,2772.19,3182.99,3705.75,78.72,1763.94,2634.25,2979.06,4778.15,5303.94,50.34,1947.19,2262.78,2194.88,1796.27,2297.69,56.67,1918.86,2676.51,3067.92,3166.47,3966.61,8.94,44.7
2165.59,2140.63,2487.65,2720.16,3333.42,36.55,36.55,959.62,2140.08,2746.57,2941.33,3822.8,79.14,1835.74,2512.31,2978.57,4844.21,5352.12,52.07,2084.16,1978.3,2048.19,1830.21,2580.36,57.71,1893.83,2628.75,2975.33,3093.22,3822.74,8.31,41.55
2092.58,2115.92,2487.65,2502.88,3117.87,35.04,35.04,1053.72,2185.4,2584.23,2971.77,3799.98,79.6,1908.82,2513.25,2811.29,4869.68,5091.05,51.13,2254.4,2021.5,2155.51,1758.87,2537.75,56.73,2176.63,2337.79,3110.23,3030.91,3775.13,11.17,55.85
2043.83,2115.38,2484.84,2501.84,3213.79,34.87,69.74,964.38,2166.49,2531.72,2836.62,3753.77,80.01,1860.05,2585.47,2882.24,4865.26,5038.98,51.39,2258.9,1952.43,1925.44,1758.87,2356.51,56.1,2261.97,2439.04,3129.39,3175.3,3756.51,8.94,44.7
2120.29,2240.22,2387.48,2452.98,3213.43,27.19,54.38,869.51,2085.26,2463.44,2927.68,3728.75,34.87,1884.67,2537.05,2785.42,4921.97,5106.27,50.09,2185.74,1949.47,1983.08,1668.22,2072.3,55.31,2410.75,2482.23,3173.46,3096.33,4138.04,10.21,51.05
2024.37,2296.26,2433.85,2573.9,3093.62,26.34,52.68,909.09,2154.48,2485.34,2609.53,3608.65,34.45,2082.34,2463.89,2596.31,4824.22,5187.32,51.47,2156.59,1974.79,1721.66,1696.52,2293.6,55.49,2213.53,2436.13,3074.47,3170.06,3774.11,30.57,30.57
2019.22,2333.71,2531.95,2524.15,3069.64,27.6,55.2,910.35,2247.52,2458.05,2774.85,3447.66,34.09,1790.04,2512.19,2713.56,4747.66,5259.53,52.77,1840.97,1757.42,2027.67,1769.56,1907.3,55.34,1995.61,2433.58,3142.88,2902.1,3698.62,24.24,24.24
2091.48,2235.57,2410.11,2644.33,3166.92,32.42,64.84,837.66,2140.08,2384.69,2626.61,3321.57,34.68,1939.74,2513.25,2862.13,4558.44,5205.85,54.1,2013.17,1780.29,1823.22,1843.01,2190.04,55.89,2115.13,2554.74,3214.74,2898.88,3771.29,10.6,53
2213.62,2067.44,2386.63,2644.33,3022.44,33.21,66.42,1124.4,2138.71,2332.11,2675.13,3222.59,34.88,1837.17,2512.66,2984.47,4774.88,5405.97,52.14,1877.82,1661.42,1987.76,1730.24,2087.38,55.05,2118.47,2433.21,3040.99,3070.97,3698.62,10.58,52.9
1876.38,2213.62,2507.87,2788.87,2999.14,31.31,62.62,981.15,1980.8,2160.73,2988.82,3344.46,80.73,1811.59,2512.66,2813.79,5042.75,5239.69,54.07,2000.58,1688.84,1976.78,1890.29,2040.94,55.92,2088.65,2457.54,3355.66,3046.85,3795.93,9.77,48.85
2021.51,2331.72,2409.63,2884.71,2974.01,50.96,50.96,1004.78,2067.98,2209.93,2680,3342.12,81.1,1908.36,2464.49,2666.16,4951.03,5410.29,53.39,2123.36,1923.66,1859.32,1909.55,1799.76,55.12,1995.61,2336.27,3415.97,3141.5,3796.87,41.93,41.93
2069.54,2333.71,2319.39,2645.97,2998.47,51.55,51.55,1004.78,1863.02,2403.03,2700.51,3391.55,80.73,1932.51,2392.23,2784.58,4799.31,5249.48,54.75,2182.02,2019.35,1820.19,1876.58,1901.14,55.11,2089.64,2336.27,3395.59,3381.64,3917.35,11.22,56.1
