Index,Name,Center,Length,Angle,Start,End
1,L1,"(63.92, 65.73)",69.50,91.47,"(64.81, 100.47)","(63.03, 30.99)"
2,L2,"(54.58, 65.86)",70.48,90.98,"(53.98, 30.63)","(55.18, 101.09)"
3,L3,"(46.31, 65.65)",70.05,90.30,"(46.49, 100.68)","(46.12, 30.63)"
4,L4,"(75.00, 65.96)",67.86,91.19,"(74.29, 32.04)","(75.70, 99.89)"
5,L5,"(85.18, 66.44)",68.52,92.01,"(86.38, 100.68)","(83.97, 32.20)"
6,L6,"(67.17, 65.94)",55.00,178.09,"(39.68, 65.02)","(94.65, 66.85)"
7,L7,"(67.06, 47.72)",55.19,178.75,"(94.65, 48.32)","(39.47, 47.12)"
8,L8,"(66.54, 39.06)",55.02,177.49,"(39.06, 37.85)","(94.03, 40.26)"
9,L9,"(67.46, 56.67)",55.56,178.97,"(95.23, 57.17)","(39.68, 56.17)"
10,L10,"(67.35, 85.57)",58.17,179.23,"(38.27, 85.18)","(96.43, 85.96)"
11,L11,"(67.85, 92.14)",58.43,179.79,"(97.06, 92.25)","(38.64, 92.04)"
12,L12,"(67.25, 76.41)",57.24,178.58,"(38.64, 75.70)","(95.86, 77.12)"
13,L13,"(142.66, 66.57)",67.13,92.59,"(144.18, 100.10)","(141.14, 33.03)"
14,L14,"(119.91, 66.65)",67.36,93.61,"(117.79, 33.03)","(122.04, 100.26)"
15,L15,"(109.84, 66.44)",67.77,93.54,"(111.93, 100.26)","(107.74, 32.62)"
16,L16,"(131.59, 66.54)",66.44,94.02,"(129.26, 33.40)","(133.92, 99.68)"
17,L17,"(162.90, 67.25)",64.45,89.67,"(162.71, 99.47)","(163.08, 35.02)"
18,L18,"(153.21, 66.85)",66.08,91.04,"(152.61, 33.82)","(153.81, 99.89)"
19,L19,"(173.97, 67.46)",65.29,90.74,"(174.39, 100.10)","(173.55, 34.81)"
20,L20,"(141.77, 66.04)",83.35,179.46,"(100.10, 65.65)","(183.45, 66.44)"
21,L21,"(141.25, 49.03)",84.41,179.04,"(183.45, 49.74)","(99.05, 48.32)"
22,L22,"(140.54, 39.68)",85.43,178.10,"(97.85, 38.27)","(183.24, 41.10)"
23,L23,"(141.56, 56.78)",83.36,178.88,"(183.24, 57.59)","(99.89, 55.97)"
24,L24,"(141.96, 84.66)",82.18,178.17,"(183.03, 85.96)","(100.88, 83.35)"
25,L25,"(141.64, 75.21)",82.80,178.44,"(100.26, 74.08)","(183.03, 76.33)"
26,L26,"(142.66, 91.83)",81.57,179.41,"(183.45, 92.25)","(101.88, 91.41)"
27,L27,"(143.87, 112.56)",82.75,1.67,"(102.51, 113.76)","(185.23, 111.36)"
28,L28,"(143.58, 121.22)",80.17,1.16,"(183.65, 120.41)","(103.50, 122.04)"
29,L29,"(144.68, 118.29)",25.62,92.23,"(145.18, 131.09)","(144.18, 105.49)"
30,L30,"(123.74, 118.00)",23.37,92.44,"(123.24, 106.33)","(124.23, 129.68)"
31,L31,"(115.60, 117.90)",23.98,91.00,"(115.81, 129.89)","(115.39, 105.91)"
32,L32,"(108.34, 118.29)",23.21,91.94,"(107.95, 106.70)","(108.74, 129.89)"
33,L33,"(130.18, 119.21)",23.37,92.44,"(130.67, 130.88)","(129.68, 107.53)"
34,L34,"(137.51, 117.87)",24.79,92.78,"(136.90, 105.49)","(138.11, 130.25)"
35,L35,"(164.10, 118.08)",24.82,93.75,"(164.91, 130.46)","(163.29, 105.70)"
36,L36,"(152.43, 118.61)",24.22,94.84,"(151.41, 106.54)","(153.45, 130.67)"
37,L37,"(158.37, 118.00)",24.29,95.19,"(159.47, 130.10)","(157.27, 105.91)"
38,L38,"(172.16, 117.61)",25.06,94.67,"(171.14, 105.13)","(173.18, 130.10)"
39,L39,"(179.81, 118.29)",25.26,94.64,"(180.83, 130.88)","(178.79, 105.70)"
40,L40,"(67.74, 119.00)",23.77,90.50,"(67.85, 130.88)","(67.64, 107.11)"
41,L41,"(51.75, 118.11)",23.57,88.09,"(52.14, 106.33)","(51.36, 129.89)"
42,L42,"(44.11, 118.32)",23.57,88.09,"(43.71, 130.10)","(44.50, 106.54)"
43,L43,"(60.21, 118.00)",22.95,87.91,"(60.62, 106.54)","(59.79, 129.47)"
44,L44,"(79.32, 119.10)",22.30,90.00,"(79.32, 130.25)","(79.32, 107.95)"
45,L45,"(89.18, 118.29)",24.37,92.83,"(88.58, 106.12)","(89.79, 130.46)"
46,L46,"(67.67, 112.25)",59.63,179.80,"(37.85, 112.14)","(97.48, 112.35)"
47,L47,"(68.56, 122.14)",59.42,0.20,"(98.27, 122.04)","(38.85, 122.24)"
48,L48,"(19.42, 118.68)",23.99,88.50,"(19.11, 130.67)","(19.74, 106.70)"
49,L49,"(28.69, 118.50)",23.19,90.52,"(28.58, 106.91)","(28.79, 130.10)"
50,L50,"(8.56, 119.31)",24.00,87.62,"(8.06, 131.30)","(9.06, 107.32)"
51,L51,"(8.38, 64.84)",72.93,89.84,"(8.48, 28.38)","(8.27, 101.30)"
52,L52,"(19.32, 65.65)",72.88,90.33,"(19.53, 102.09)","(19.11, 29.21)"
53,L53,"(28.27, 66.44)",71.31,90.17,"(28.17, 30.78)","(28.38, 102.09)"
54,L54,"(66.65, 4.35)",55.18,0.22,"(94.24, 4.24)","(39.06, 4.45)"
55,L55,"(66.44, 9.45)",54.35,179.17,"(39.26, 9.06)","(93.61, 9.84)"
56,L56,"(66.54, 17.51)",54.99,178.31,"(94.03, 18.32)","(39.06, 16.70)"
57,L57,"(140.86, 19.34)",85.61,178.91,"(183.65, 20.16)","(98.06, 18.53)"
58,L58,"(140.54, 12.80)",84.98,179.05,"(98.06, 12.09)","(183.03, 13.51)"
59,L59,"(140.44, 5.34)",84.77,179.29,"(182.82, 5.86)","(98.06, 4.82)"
60,L60,"(192.61, 67.85)",64.81,89.81,"(192.50, 100.26)","(192.71, 35.44)"
61,L61,"(200.85, 68.56)",63.40,89.48,"(201.14, 36.86)","(200.56, 100.26)"
62,L62,"(208.10, 68.56)",63.40,90.57,"(208.42, 100.26)","(207.79, 36.86)"
63,L63,"(201.45, 118.19)",24.99,92.40,"(201.98, 130.67)","(200.93, 105.70)"
64,L64,"(193.89, 117.90)",25.58,92.70,"(193.29, 105.13)","(194.49, 130.67)"
65,L65,"(208.29, 118.11)",23.58,92.42,"(208.78, 129.89)","(207.79, 106.33)"
66,L66,"(145.28, 153.34)",79.58,0.45,"(105.49, 153.66)","(185.07, 153.03)"
67,L67,"(144.36, 144.57)",79.73,0.26,"(184.23, 144.39)","(104.50, 144.76)"
68,L68,"(145.18, 162.69)",78.55,1.18,"(105.91, 163.50)","(184.44, 161.88)"
69,L69,"(69.47, 153.13)",61.99,179.42,"(38.48, 152.82)","(100.47, 153.45)"
70,L70,"(68.98, 143.68)",61.42,179.07,"(99.68, 144.18)","(38.27, 143.19)"
71,L71,"(69.47, 163.00)",62.41,179.09,"(38.27, 162.50)","(100.68, 163.50)"
