Meas. Pts.,Shear Rate [1/s],Shear Stress [Pa],Viscosity [Pa·s],Speed [1/min],Torque [µNm],Status
1.000000,0.009940,14.300000,1440.000000,0.006740,58.700000,Dy_auto
2.000000,0.012600,16.400000,1310.000000,0.008530,67.600000,Dy_auto
3.000000,0.015800,16.100000,1020.000000,0.010700,66.300000,Dy_auto
4.000000,0.019900,16.600000,832.000000,0.013500,68.300000,Dy_auto
5.000000,0.025100,17.200000,687.000000,0.017000,70.900000,Dy_auto
6.000000,0.031600,17.700000,561.000000,0.021400,72.900000,Dy_auto
7.000000,0.039800,18.700000,471.000000,0.027000,77.000000,Dy_auto
8.000000,0.050100,19.300000,385.000000,0.034000,79.400000,Dy_auto
9.000000,0.063100,20.400000,323.000000,0.042700,83.800000,Dy_auto
10.000000,0.079400,20.700000,261.000000,0.053800,85.100000,Dy_auto
11.000000,0.100000,21.900000,219.000000,0.067800,90.200000,Dy_auto
12.000000,0.126000,22.500000,179.000000,0.085300,92.400000,Dy_auto
13.000000,0.158000,23.500000,148.000000,0.107000,96.600000,Dy_auto
14.000000,0.200000,23.300000,116.000000,0.135000,95.600000,Dy_auto
15.000000,0.251000,23.100000,91.800000,0.170000,94.800000,Dy_auto
16.000000,0.316000,19.900000,62.900000,0.214000,81.800000,Dy_auto
17.000000,0.398000,18.700000,47.000000,0.270000,77.000000,Dy_auto
18.000000,0.501000,18.000000,35.900000,0.340000,74.000000,Dy_auto
19.000000,0.631000,18.900000,29.900000,0.428000,77.600000,Dy_auto
20.000000,0.795000,19.000000,24.000000,0.539000,78.300000,Dy_auto
21.000000,1.000000,16.500000,16.500000,0.678000,67.700000,Dy_auto
22.000000,1.260000,18.200000,14.500000,0.853000,75.000000,Dy_auto
23.000000,1.580000,18.100000,11.400000,1.070000,74.400000,Dy_auto
24.000000,2.000000,15.800000,7.890000,1.350000,64.800000,Dy_auto
25.000000,2.510000,16.900000,6.720000,1.700000,69.400000,Dy_auto
26.000000,3.160000,16.500000,5.200000,2.140000,67.700000,Dy_auto
27.000000,3.980000,14.900000,3.740000,2.700000,61.200000,Dy_auto
28.000000,5.010000,15.600000,3.110000,3.400000,64.100000,Dy_auto
29.000000,6.310000,13.400000,2.130000,4.280000,55.100000,Dy_auto
30.000000,7.940000,13.400000,1.680000,5.380000,55.000000,Dy_auto
31.000000,10.000000,14.500000,1.450000,6.780000,59.500000,Dy_auto
32.000000,12.600000,18.900000,1.500000,8.530000,77.600000,Dy_auto
33.000000,15.800000,21.000000,1.330000,10.700000,86.500000,Dy_auto
34.000000,20.000000,21.900000,1.100000,13.500000,90.000000,Dy_auto
35.000000,25.100000,19.900000,0.791000,17.000000,81.700000,Dy_auto
36.000000,31.600000,21.800000,0.689000,21.400000,89.600000,Dy_auto
37.000000,39.800000,23.300000,0.585000,27.000000,95.800000,Dy_auto
38.000000,50.100000,24.300000,0.486000,34.000000,100.000000,Dy_auto
39.000000,63.100000,25.900000,0.410000,42.800000,106.000000,Dy_auto
40.000000,79.400000,26.900000,0.338000,53.800000,110.000000,Dy_auto
41.000000,100.000000,28.700000,0.287000,67.800000,118.000000,Dy_auto
