Filename,esp_2
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_2
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
1.40459e-3,1.00001,3.84325e-3,5.01200,20.18,-32.2007,2.95922e-4
1.33024e-3,0.999979,3.78843e-3,9.98800,20.73,-32.3184,1.32894e-4
1.34720e-3,0.999985,3.73116e-3,14.9640,21.38,-31.4446,1.02663e-4
1.37303e-3,0.999973,3.68079e-3,19.9360,22.08,-31.7583,7.99033e-5
1.25683e-3,0.999968,3.62734e-3,24.9040,22.82,-30.7216,5.87616e-5
1.29304e-3,1.00002,3.59079e-3,29.8920,23.52,-30.4935,4.74411e-5
1.26729e-3,1.00007,3.57062e-3,34.8560,24.25,-30.2812,3.89572e-5
1.31879e-3,0.999956,3.57181e-3,39.8320,25.06,-29.5558,3.33114e-5
1.23843e-3,0.999956,3.59564e-3,44.8080,25.76,-29.4616,2.95690e-5
1.26124e-3,1.00002,3.68132e-3,49.7840,26.47,-29.0626,2.68986e-5
1.33500e-3,0.999968,3.81027e-3,54.7560,27.13,-29.3873,2.49114e-5
1.39484e-3,0.999968,3.99533e-3,59.7600,27.82,-28.4997,2.41444e-5
1.50272e-3,0.999893,4.21238e-3,64.7040,28.47,-28.6241,2.37076e-5
1.68510e-3,1.00001,4.47998e-3,69.6840,29.14,-27.9594,2.34290e-5
1.74492e-3,0.999956,4.79493e-3,74.6560,29.89,-27.9349,2.32412e-5
1.82549e-3,1.00000,5.06713e-3,79.6320,30.53,-28.0858,2.31692e-5
1.90052e-3,1.00004,5.34848e-3,84.6160,31.19,-27.7916,2.30629e-5
2.03909e-3,0.999985,5.63435e-3,89.5840,31.84,-27.8259,2.28385e-5
2.22898e-3,1.00000,5.91697e-3,94.5560,32.49,-27.1337,2.27041e-5
2.21126e-3,1.00009,6.19978e-3,99.5400,33.15,-26.7283,2.27310e-5
2.32067e-3,1.00002,6.51923e-3,104.512,33.88,-26.6101,2.26937e-5
2.46863e-3,0.999864,6.75923e-3,109.492,34.53,-26.3958,2.25324e-5
2.58885e-3,0.999910,6.99473e-3,114.456,35.17,-27.1315,2.25426e-5
2.71028e-3,0.999973,7.22768e-3,119.436,35.84,-26.6716,2.17193e-5
2.76970e-3,0.999973,7.45581e-3,124.412,36.50,-25.4598,2.17419e-5
2.34607e-3,1.00171,7.67227e-3,129.384,37.13,-25.8818,2.16832e-5
3.03940e-3,0.999991,8.00902e-3,134.356,37.80,-25.1626,2.15697e-5
3.10354e-3,0.999881,8.34896e-3,139.336,38.53,-24.6699,2.15916e-5
3.20174e-3,0.999973,8.61889e-3,144.308,39.16,-25.0198,2.21356e-5
3.30865e-3,0.999933,8.88990e-3,149.280,39.84,-24.5979,2.17319e-5
3.26206e-3,1.00011,9.08634e-3,154.256,40.48,-24.3433,2.14292e-5
3.30512e-3,1.00003,9.18662e-3,159.232,41.11,-24.4139,2.10090e-5
3.41446e-3,0.999996,9.28754e-3,164.204,41.79,-24.0567,2.04408e-5
3.39108e-3,1.00000,9.36638e-3,169.184,42.51,-23.6407,1.99368e-5
3.37129e-3,0.999985,9.41685e-3,174.160,43.17,-23.2691,1.96275e-5
3.36484e-3,0.999778,9.46212e-3,179.128,43.82,-22.6651,1.91841e-5
3.52519e-3,0.999973,9.49380e-3,184.104,44.45,-22.6649,1.86758e-5
3.49985e-3,1.00000,9.47890e-3,189.092,45.12,-22.3747,1.82009e-5
3.37840e-3,1.00004,9.43184e-3,194.064,45.79,-21.8426,1.77271e-5
3.39028e-3,1.00001,9.38573e-3,199.032,46.42,-21.6265,1.71056e-5
3.34908e-3,0.999973,9.32042e-3,204.016,47.16,-21.3853,1.64398e-5
3.30521e-3,0.999979,9.26356e-3,208.984,47.81,-20.7489,1.59989e-5
3.31567e-3,1.00007,9.23171e-3,213.964,48.45,-20.8804,1.56093e-5
3.31872e-3,0.999950,9.23421e-3,218.932,49.11,-20.5892,1.52191e-5
3.35164e-3,1.00007,9.25917e-3,223.908,49.77,-20.6839,1.49063e-5
3.31426e-3,0.999996,9.27885e-3,228.884,50.41,-20.6330,1.47004e-5
3.32857e-3,1.00003,9.31900e-3,233.852,51.15,-19.5246,1.44735e-5
