Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Prabu, G.T.V., Dhurai, B.","8435767500; 6506815112","A Novel Profiled Multi-Pin Electrospinning System for Nanofiber Production and Encapsulation of Nanoparticles into Nanofibers",2020,"Scientific Reports",10,"1", 4302,,,,,10.1038/s41598-020-60752-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081629590&partnerID=40&md5=a58cedf4d3084ff77d50771c1ef13bbe",Article,Final,Open Access,Scopus,2-s2.0-85081629590
"Nagiah, N., Murdock, C.J., Bhattacharjee, M., Nair, L., Laurencin, C.T.","57189854966; 57213833886; 55255709600; 57203998256; 7006072296","Development of Tripolymeric Triaxial Electrospun Fibrous Matrices for Dual Drug Delivery Applications",2020,"Scientific Reports",10,"1", 609,,,,,10.1038/s41598-020-57412-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078000272&partnerID=40&md5=5cb85e1febd53f56f1c7d8d0bec7d1b7",Article,Final,Open Access,Scopus,2-s2.0-85078000272
"Kim, Y., Wu, X., Oh, J.H.","56531222400; 57214996890; 7402155486","Fabrication of triboelectric nanogenerators based on electrospun polyimide nanofibers membrane",2020,"Scientific Reports",10,"1", 2742,,,,,10.1038/s41598-020-59546-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079600205&partnerID=40&md5=7fe8fb95017e2439923ec06b150a7a92",Article,Final,Open Access,Scopus,2-s2.0-85079600205
"Al Kayal, T., Losi, P., Pierozzi, S., Soldani, G.","37076550900; 16316684600; 57215857051; 7005206730","A New Method for Fibrin-Based Electrospun/Sprayed Scaffold Fabrication",2020,"Scientific Reports",10,"1", 5111,,,,1,10.1038/s41598-020-61933-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082124024&partnerID=40&md5=2701a161df6891e5bb5858bf4a344eb0",Article,Final,Open Access,Scopus,2-s2.0-85082124024
"George, D., Garcia, A., Pham, Q., Perez, M.R., Deng, J., Nguyen, M.T., Zhou, T., Martinez-Chapa, S.O., Won, Y., Liu, C., Lo, R.C., Ragan, R., Madou, M.","57205970953; 57211347502; 57195577288; 57213196875; 56978518600; 57213189312; 57213188967; 23091622600; 36085855400; 57214760926; 8766567500; 7006310430; 7005485160","Fabrication of patterned graphitized carbon wires using low voltage near-field electrospinning, pyrolysis, electrodeposition, and chemical vapor deposition",2020,"Microsystems and Nanoengineering",6,"1", 7,,,,,10.1038/s41378-019-0117-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077714590&partnerID=40&md5=e0d6a91610e01af4577562616168e9b8",Article,Final,Open Access,Scopus,2-s2.0-85077714590
"Sfouq Aleanizy, F., Yahya Alqahtani, F., Alkahtani, H.M., Alquadeib, B., Eltayeb, E.K., Aldarwesh, A., Abdelhady, H.G., Alsarra, I.A.","57215593063; 57215581575; 54880800100; 36173995500; 57215580628; 56507339300; 6508306375; 6602556772","Colored Polymeric Nanofiber Loaded with Minoxidil Sulphate as Beauty Coverage and Restoring Hair Loss",2020,"Scientific Reports",10,"1", 4084,,,,,10.1038/s41598-020-60863-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081220697&partnerID=40&md5=6aab562e3f1e27f4813750ea0a305671",Article,Final,Open Access,Scopus,2-s2.0-85081220697
"Xue, Y.L., Huang, J., Lau, C.H., Cao, B., Li, P.","57205443723; 57215845569; 35096299300; 26641780700; 55147513500","Tailoring the molecular structure of crosslinked polymers for pervaporation desalination",2020,"Nature Communications",11,"1", 1461,,,,,10.1038/s41467-020-15038-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082075068&partnerID=40&md5=35658153b2ed17af00167bd26bc365d7",Article,Final,Open Access,Scopus,2-s2.0-85082075068
"Seok Jo, H., An, S., Kwon, H.-J., Yarin, A.L., Yoon, S.S.","57205515312; 55548981500; 57204503554; 7006353617; 55279275100","Transparent Body-Attachable Multifunctional Pressure, Thermal, and Proximity Sensor and Heater",2020,"Scientific Reports",10,"1", 2701,,,,,10.1038/s41598-020-59450-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079361270&partnerID=40&md5=32e598b19a5e87b16f2324e7c4537a0d",Article,Final,Open Access,Scopus,2-s2.0-85079361270
"Gurtubay, I.G., Iturbe-Beristain, A., Eiguren, A.","36794857400; 57214097562; 6603016331","Magnetic oscillations induced by phonons in non-magnetic materials",2020,"Communications Physics",3,"1", 22,,,,,10.1038/s42005-020-0289-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078211443&partnerID=40&md5=ecbc0a14d8462734b78172676d74fe82",Article,Final,Open Access,Scopus,2-s2.0-85078211443
"Kumar, N., Kumar, S., Yadav, K., Kumar, A., Singh, P.K., Srivastava, N., Singh, R.P.","57199419127; 55811766500; 57210809982; 57214420311; 57216064841; 57213494441; 55728378900","Study on thermodynamic, electronic and magnetic properties of RE2Cu2Cd(RE=Dy-Tm) intermetallics: first-principle calculation",2020,"Bulletin of Materials Science",43,"1", 81,,,,,10.1007/s12034-020-2038-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079758332&partnerID=40&md5=85ffa6db4600024a2bf1fb91cebda1af",Article,Final,,Scopus,2-s2.0-85079758332
