#WaveA,#IntensityA,#WaveB,#IntensityB,#WaveB00,#IntensityB00,#WaveB01,#IntensityB01,#WaveB02,#IntensityB02,#WaveB03,#IntensityB03,#WaveB04,#IntensityB04,#WaveB05,#IntensityB05,#WaveB06,#IntensityB06,#WaveB07,#IntensityB07,#WaveB08,#IntensityB08,#WaveB09,#IntensityB09,#WaveB10,#IntensityB10,#WaveB11,#IntensityB11,#WaveB12,#IntensityB12,#WaveB13,#IntensityB13,#WaveB14,#IntensityB14,#WaveB15,#IntensityB15,#WaveB16,#IntensityB16,#WaveB17,#IntensityB17,#WaveB18,#IntensityB18,#WaveB19,#IntensityB19,#WaveB20,#IntensityB20,#WaveB21,#IntensityB21,#WaveB22,#IntensityB22,#WaveB23,#IntensityB23,#WaveB24,#IntensityB24,#WaveB25,#IntensityB25,#WaveB26,#IntensityB26,#WaveB27,#IntensityB27,#WaveB28,#IntensityB28,#WaveB29,#IntensityB29,#WaveB30,#IntensityB30,#WaveB31,#IntensityB31,#WaveB32,#IntensityB32,#WaveB33,#IntensityB33,#WaveB34,#IntensityB34
1905.679688,52.941963,1905.679688,63.971539,1905.679688,66.177452,1905.679688,52.941963,1905.679688,97.060265,1905.679688,63.971539,1905.679688,57.353794,1905.679688,48.530132,1905.679688,59.559708,1905.679688,52.941963,1905.679688,68.383369,1905.679688,66.177452,1905.679688,57.353794,1905.679688,52.941963,1905.679688,66.177452,1905.679688,39.70647,1905.679688,50.736046,1905.679688,66.177452,1905.679688,55.147877,1905.679688,70.589287,1905.679688,44.118301,1905.679688,75.001114,1905.679688,35.294643,1905.679688,46.324219,1905.679688,70.589287,1905.679688,79.412941,1905.679688,59.559708,1905.679688,52.941963,1905.679688,68.383369,1905.679688,363.975983,1905.679688,443.388947,1905.679688,52.941963,1905.679688,55.147877,1905.679688,52.941963,1905.679688,52.941963,1905.679688,240.444748,1905.679688,200.738281
1904.546875,41.912388,1904.546875,48.530132,1904.546875,52.941963,1904.546875,52.941963,1904.546875,79.412941,1904.546875,52.941963,1904.546875,63.971539,1904.546875,50.736046,1904.546875,39.70647,1904.546875,52.941963,1904.546875,52.941963,1904.546875,57.353794,1904.546875,61.765621,1904.546875,70.589287,1904.546875,57.353794,1904.546875,68.383369,1904.546875,55.147877,1904.546875,66.177452,1904.546875,59.559708,1904.546875,61.765621,1904.546875,41.912388,1904.546875,57.353794,1904.546875,37.500557,1904.546875,48.530132,1904.546875,52.941963,1904.546875,66.177452,1904.546875,50.736046,1904.546875,37.500557,1904.546875,59.559708,1904.546875,401.476563,1904.546875,419.123871,1904.546875,50.736046,1904.546875,39.70647,1904.546875,46.324219,1904.546875,61.765621,1904.546875,253.680237,1904.546875,180.88504
1903.414063,66.161491,1903.414063,55.134575,1903.414063,48.518425,1903.414063,59.545338,1903.414063,68.366875,1903.414063,59.545338,1903.414063,48.518425,1903.414063,59.545338,1903.414063,50.723808,1903.414063,52.929192,1903.414063,61.750721,1903.414063,57.339954,1903.414063,66.161491,1903.414063,41.902275,1903.414063,50.723808,1903.414063,55.134575,1903.414063,39.696892,1903.414063,39.696892,1903.414063,61.750721,1903.414063,57.339954,1903.414063,48.518425,1903.414063,57.339954,1903.414063,57.339954,1903.414063,46.313042,1903.414063,55.134575,1903.414063,81.599167,1903.414063,63.956104,1903.414063,35.286125,1903.414063,48.518425,1903.414063,410.201233,1903.414063,441.076599,1903.414063,39.696892,1903.414063,33.080746,1903.414063,55.134575,1903.414063,55.134575,1903.414063,216.127533,1903.414063,196.279083
1902.279297,37.482479,1902.279297,55.121288,1902.279297,66.145546,1902.279297,50.711586,1902.279297,57.326141,1902.279297,61.735844,1902.279297,57.326141,1902.279297,52.916439,1902.279297,35.277626,1902.279297,66.145546,1902.279297,52.916439,1902.279297,61.735844,1902.279297,68.350403,1902.279297,52.916439,1902.279297,55.121288,1902.279297,50.711586,1902.279297,33.072773,1902.279297,52.916439,1902.279297,52.916439,1902.279297,63.940697,1902.279297,57.326141,1902.279297,39.687328,1902.279297,41.892181,1902.279297,57.326141,1902.279297,44.097031,1902.279297,83.784363,1902.279297,72.760101,1902.279297,33.072773,1902.279297,57.326141,1902.279297,385.84903,1902.279297,451.994568,1902.279297,48.506737,1902.279297,55.121288,1902.279297,41.892181,1902.279297,35.277626,1902.279297,233.714264,1902.279297,189.617233
1901.144531,44.086422,1901.144531,48.495064,1901.144531,46.290745,1901.144531,68.333954,1901.144531,77.151237,1901.144531,30.860497,1901.144531,44.086422,1901.144531,52.903706,1901.144531,30.860497,1901.144531,48.495064,1901.144531,52.903706,1901.144531,52.903706,1901.144531,72.742599,1901.144531,52.903706,1901.144531,55.108028,1901.144531,46.290745,1901.144531,37.473457,1901.144531,52.903706,1901.144531,39.67778,1901.144531,39.67778,1901.144531,61.720993,1901.144531,61.720993,1901.144531,48.495064,1901.144531,61.720993,1901.144531,55.108028,1901.144531,96.990128,1901.144531,46.290745,1901.144531,50.699387,1901.144531,61.720993,1901.144531,398.982117,1901.144531,434.251251,1901.144531,48.495064,1901.144531,48.495064,1901.144531,44.086422,1901.144531,57.312347,1901.144531,253.496933,1901.144531,207.206192
1900.011719,57.29858,1900.011719,52.890995,1900.011719,52.890995,1900.011719,70.521324,1900.011719,79.336494,1900.011719,61.706161,1900.011719,37.464455,1900.011719,52.890995,1900.011719,52.890995,1900.011719,55.094788,1900.011719,50.687202,1900.011719,63.909954,1900.011719,52.890995,1900.011719,63.909954,1900.011719,59.502369,1900.011719,57.29858,1900.011719,59.502369,1900.011719,44.075829,1900.011719,55.094788,1900.011719,50.687202,1900.011719,44.075829,1900.011719,48.483414,1900.011719,48.483414,1900.011719,44.075829,1900.011719,50.687202,1900.011719,77.132698,1900.011719,50.687202,1900.011719,48.483414,1900.011719,74.928909,1900.011719,416.516602,1900.011719,442.962097,1900.011719,44.075829,1900.011719,44.075829,1900.011719,61.706161,1900.011719,55.094788,1900.011719,249.028442,1900.011719,176.303314
1898.876953,59.488091,1898.876953,39.65873,1898.876953,46.268517,1898.876953,63.894619,1898.876953,83.723984,1898.876953,46.268517,1898.876953,52.878304,1898.876953,52.878304,1898.876953,46.268517,1898.876953,57.284828,1898.876953,48.471779,1898.876953,61.691357,1898.876953,61.691357,1898.876953,57.284828,1898.876953,50.675041,1898.876953,48.471779,1898.876953,39.65873,1898.876953,41.861992,1898.876953,57.284828,1898.876953,70.504402,1898.876953,59.488091,1898.876953,50.675041,1898.876953,48.471779,1898.876953,61.691357,1898.876953,57.284828,1898.876953,79.317459,1898.876953,57.284828,1898.876953,39.65873,1898.876953,74.910934,1898.876953,412.010132,1898.876953,429.63623,1898.876953,63.894619,1898.876953,50.675041,1898.876953,48.471779,1898.876953,50.675041,1898.876953,255.578476,1898.876953,215.919739
1897.742188,55.068367,1897.742188,70.487511,1897.742188,68.284775,1897.742188,59.473839,1897.742188,96.920326,1897.742188,70.487511,1897.742188,44.054695,1897.742188,52.865635,1897.742188,48.460163,1897.742188,66.082039,1897.742188,44.054695,1897.742188,48.460163,1897.742188,72.690247,1897.742188,57.271103,1897.742188,66.082039,1897.742188,48.460163,1897.742188,57.271103,1897.742188,57.271103,1897.742188,35.243755,1897.742188,59.473839,1897.742188,57.271103,1897.742188,41.851959,1897.742188,39.649223,1897.742188,44.054695,1897.742188,61.676571,1897.742188,85.906654,1897.742188,66.082039,1897.742188,48.460163,1897.742188,52.865635,1897.742188,398.694977,1897.742188,422.925079,1897.742188,50.662899,1897.742188,44.054695,1897.742188,30.838285,1897.742188,48.460163,1897.742188,233.489883,1897.742188,198.246124
1896.605469,59.459606,1896.605469,63.864021,1896.605469,48.448566,1896.605469,61.661812,1896.605469,83.683891,1896.605469,57.257397,1896.605469,44.044151,1896.605469,48.448566,1896.605469,44.044151,1896.605469,48.448566,1896.605469,30.830906,1896.605469,66.066231,1896.605469,68.268433,1896.605469,59.459606,1896.605469,74.875061,1896.605469,66.066231,1896.605469,35.235321,1896.605469,61.661812,1896.605469,57.257397,1896.605469,48.448566,1896.605469,61.661812,1896.605469,37.437531,1896.605469,37.437531,1896.605469,48.448566,1896.605469,57.257397,1896.605469,83.683891,1896.605469,52.852982,1896.605469,48.448566,1896.605469,70.470642,1896.605469,409.610626,1896.605469,425.026062,1896.605469,66.066231,1896.605469,44.044151,1896.605469,48.448566,1896.605469,44.044151,1896.605469,246.647247,1896.605469,176.176605
1895.470703,50.638668,1895.470703,39.630264,1895.470703,70.453804,1895.470703,66.050438,1895.470703,57.243713,1895.470703,61.647076,1895.470703,39.630264,1895.470703,57.243713,1895.470703,48.436989,1895.470703,63.848759,1895.470703,63.848759,1895.470703,61.647076,1895.470703,63.848759,1895.470703,57.243713,1895.470703,35.226902,1895.470703,63.848759,1895.470703,39.630264,1895.470703,50.638668,1895.470703,66.050438,1895.470703,61.647076,1895.470703,50.638668,1895.470703,46.235306,1895.470703,33.025219,1895.470703,39.630264,1895.470703,57.243713,1895.470703,70.453804,1895.470703,57.243713,1895.470703,48.436989,1895.470703,66.050438,1895.470703,361.075745,1895.470703,446.941315,1895.470703,61.647076,1895.470703,48.436989,1895.470703,57.243713,1895.470703,59.445396,1895.470703,228.974854,1895.470703,189.344589
