Filename,peo_su8_01_075_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,29/01/2020
Sample name,PEO_SU8_01_075_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
153.329,4.88711e-3,3942.80,22.2167,20.01,9106.99,12.8747,20.0039,3.81303e8,22.2167,8670.54,1.00032e-4
167.396,5.46198e-3,4052.92,25.9523,20.02,8918.16,12.6077,20.0082,2.98933e8,25.9523,9466.03,1.15797e-4
186.608,6.20302e-3,3986.30,33.2923,20.01,8489.44,12.0017,20.0094,2.20634e8,33.2923,10552.4,1.46466e-4
195.919,7.08535e-3,3737.97,40.6324,20.00,8080.49,11.4235,20.0096,1.60959e8,40.6324,11079.0,1.70295e-4
200.817,8.09318e-3,3505.11,47.9724,20.01,7681.02,10.8588,20.0083,1.17268e8,47.9724,11355.9,1.90473e-4
202.550,9.24437e-3,3256.70,55.3124,20.00,7279.53,10.2912,20.0056,8.51822e7,55.3124,11454.0,2.11189e-4
203.450,0.0105593,2964.73,62.7180,20.00,6995.60,9.88979,20.0138,6.27413e7,62.7180,11504.8,2.35047e-4
201.831,0.0120613,2633.61,70.1236,20.00,6705.47,9.47963,20.0049,4.60938e7,70.1236,11413.3,2.59888e-4
198.718,0.0137769,2346.65,77.4636,20.00,6509.58,9.20270,20.0143,3.42965e7,77.4636,11237.2,2.85812e-4
194.484,0.0157365,2050.79,84.8036,20.00,6310.68,8.92152,20.0098,2.54834e7,84.8036,10997.8,3.12845e-4
189.709,0.0179749,1759.59,92.1436,20.00,6142.44,8.68367,20.0061,1.90111e7,92.1436,10727.8,3.45185e-4
184.362,0.0205317,1498.99,99.4837,20.00,6039.49,8.53813,20.0160,1.43268e7,99.4837,10425.4,3.77294e-4
178.559,0.0234522,1260.15,106.889,20.00,5911.71,8.35748,20.0156,1.07485e7,106.889,10097.3,4.11298e-4
172.892,0.0267881,1070.24,114.295,20.00,5807.80,8.21059,20.0101,8093360,114.295,9776.83,4.51160e-4
167.662,0.0305984,908.016,121.635,20.00,5723.64,8.09161,20.0146,6113270,121.635,9481.07,4.91410e-4
162.578,0.0349508,771.958,128.975,20.00,5636.13,7.96790,20.0164,4613880,128.975,9193.58,5.39003e-4
158.190,0.0399223,663.022,136.315,20.00,5598.37,7.91451,20.0186,3512620,136.315,8945.42,5.86912e-4
154.007,0.0456009,561.378,143.655,20.00,5523.72,7.80898,20.0167,2656350,143.655,8708.88,6.42928e-4
149.440,0.0520872,476.774,151.061,20.00,5451.10,7.70632,20.0160,2009190,151.061,8450.66,7.03125e-4
146.020,0.0594962,409.493,158.466,20.00,5422.67,7.66612,20.0241,1531910,158.466,8257.24,7.70149e-4
142.267,0.0679591,348.135,165.806,20.00,5360.31,7.57797,20.0204,1160630,165.806,8045.02,8.42431e-4
139.228,0.0776257,302.693,173.146,20.00,5343.84,7.55467,20.0174,886834,173.146,7873.13,9.21552e-4
136.656,0.0886673,260.776,180.486,20.00,5335.71,7.54318,20.0276,678680,180.486,7727.69,1.00663e-3
133.025,0.101279,223.063,187.826,20.00,5271.04,7.45176,20.0172,513870,187.826,7522.37,1.10380e-3
130.503,0.115686,192.566,195.232,20.00,5250.02,7.42203,20.0156,392285,195.232,7379.76,1.20826e-3
128.073,0.132141,167.431,202.637,20.00,5205.93,7.35970,20.0266,298142,202.637,7242.35,1.32298e-3
125.767,0.150937,147.521,209.977,20.00,5185.15,7.33033,20.0195,227599,209.977,7111.95,1.45003e-3
123.078,0.172406,127.222,217.317,20.00,5148.77,7.27890,20.0296,173219,217.317,6959.90,1.58630e-3
121.105,0.196930,110.616,224.657,20.00,5100.57,7.21076,20.0314,131521,224.657,6848.35,1.73645e-3
119.475,0.224941,97.0650,231.997,20.00,5094.50,7.20218,20.0278,100684,231.997,6756.14,1.90085e-3
118.262,0.256937,85.1743,239.403,20.00,5094.19,7.20175,20.0278,77165.0,239.403,6687.56,2.08375e-3
116.480,0.293485,74.5877,246.809,20.01,5067.72,7.16432,20.0151,58835.8,246.809,6586.81,2.28367e-3
114.847,0.335230,65.3170,254.149,20.00,5031.37,7.11294,20.0220,44771.3,254.149,6494.46,2.50085e-3
113.774,0.382914,57.3155,261.489,20.00,5002.00,7.07141,20.0266,34114.6,261.489,6433.78,2.73624e-3
112.847,0.437380,50.6549,268.829,20.00,4994.10,7.06024,20.0207,26105.9,268.829,6381.35,2.99759e-3
111.972,0.499594,45.0434,276.169,20.00,4944.70,6.99041,20.0191,19811.0,276.169,6331.89,3.28157e-3
110.901,0.570657,39.8496,283.574,20.00,4923.67,6.96067,20.0210,15119.5,283.574,6271.29,3.59767e-3
109.514,0.651829,35.5076,290.980,20.00,4894.41,6.91931,20.0292,11519.5,290.980,6192.88,3.94176e-3
108.995,0.744546,31.7357,298.320,20.00,4883.37,6.90370,20.0202,8809.21,298.320,6163.54,4.31495e-3
108.684,0.850451,27.7628,305.660,20.00,4884.11,6.90475,20.0190,6752.85,305.660,6145.95,4.72567e-3
108.879,0.971421,24.2130,313.000,20.00,4915.60,6.94926,20.0234,5209.09,313.000,6156.97,5.17419e-3
108.872,1.10960,22.2457,320.340,20.00,4905.48,6.93497,20.0299,3984.29,320.340,6156.55,5.66488e-3
108.477,1.26743,19.8218,327.746,20.00,4922.62,6.95919,20.0302,3064.43,327.746,6134.23,6.21078e-3
107.968,1.44771,17.8432,335.151,20.00,4911.92,6.94407,20.0241,2343.63,335.151,6105.42,6.80468e-3
107.817,1.65363,15.8828,342.491,20.00,4899.15,6.92602,20.0278,1791.61,342.491,6096.90,7.45170e-3
107.959,1.88885,14.0658,349.831,20.00,4883.04,6.90324,20.0273,1368.66,349.831,6104.95,8.16088e-3
106.976,2.15752,12.1551,357.171,20.00,4850.12,6.85670,20.0222,1041.94,357.171,6049.37,8.93513e-3
107.127,2.46441,10.6009,364.511,20.00,4916.24,6.95017,20.0180,809.481,364.511,6057.88,9.78273e-3
108.668,2.81495,9.12357,371.917,20.00,4995.46,7.06216,20.0203,630.424,371.917,6145.02,0.0107202
110.298,3.21536,7.74858,379.322,20.00,5075.18,7.17487,20.0286,490.900,379.322,6237.22,0.0117481
111.356,3.67272,6.48079,386.662,20.00,5111.58,7.22633,20.0262,378.949,386.662,6297.03,0.0128677
110.932,4.19513,5.62337,394.002,20.00,5016.98,7.09260,20.0217,285.070,394.002,6273.05,0.0140908
109.205,4.79185,5.23551,401.342,20.00,4872.37,6.88815,20.0109,212.194,401.342,6175.38,0.0154306
107.993,5.47345,4.79053,408.683,20.00,4865.04,6.87779,20.0291,162.392,408.683,6106.87,0.0168938
110.858,6.25201,4.48294,416.088,20.00,5010.41,7.08330,20.0260,128.184,416.088,6268.86,0.0185108
113.062,7.14130,3.80344,423.494,20.00,5146.07,7.27509,20.0278,100.907,423.494,6393.49,0.0202898
112.480,8.15709,3.09149,430.834,20.01,5118.26,7.23577,20.0265,76.9221,430.834,6360.57,0.0222176
114.636,9.31737,2.74622,438.174,20.00,5153.77,7.28597,20.0262,59.3661,438.174,6482.49,0.0243256
116.527,10.6427,2.61488,445.514,20.00,5186.36,7.33205,20.0289,45.7889,445.514,6589.44,0.0266372
118.105,12.0833,2.22715,452.854,20.00,5189.27,7.33616,20.0253,35.5417,452.854,6678.66,0.0291701
118.348,13.7188,1.89963,460.259,20.00,5221.41,7.38160,20.0252,27.7431,460.259,6692.42,0.0319722
116.424,15.6702,1.77042,467.665,20.00,5108.43,7.22188,20.0250,20.8036,467.665,6583.60,0.0350360
115.641,17.8992,1.46421,475.005,20.00,4991.85,7.05706,20.0214,15.5810,475.005,6539.32,0.0383655
114.294,20.4452,1.31537,482.345,20.00,4918.41,6.95324,20.0241,11.7664,482.345,6463.16,0.0420080
112.062,23.3533,1.14485,489.685,20.00,4818.22,6.81160,20.0289,8.83465,489.685,6336.96,0.0460043
109.998,26.6751,1.01387,497.025,20.00,4782.74,6.76144,20.0289,6.72146,497.025,6220.22,0.0503700
108.438,30.4695,0.871688,504.431,20.00,4734.83,6.69371,20.0191,5.10006,504.431,6132.04,0.0552043
103.106,34.8035,0.795162,511.836,20.00,4580.86,6.47604,20.0210,3.78183,511.836,5830.49,0.0604981
100.477,39.7540,0.677397,519.176,20.00,4509.58,6.37527,20.0162,2.85348,519.176,5681.84,0.0662451
97.3253,45.4087,0.596846,526.516,20.00,4411.12,6.23607,20.0292,2.13930,526.516,5503.62,0.0725348
102.327,51.8677,0.536722,533.856,20.00,4675.13,6.60930,20.0276,1.73780,533.856,5786.48,0.0794160
104.272,59.2454,0.470491,541.196,20.00,4779.39,6.75670,20.0213,1.36164,541.196,5896.45,0.0869668
107.343,67.6726,0.406166,548.602,20.00,4836.85,6.83793,20.0204,1.05618,548.602,6070.08,0.0953058
