Filename,peo_su8_all_075
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,29/01/2020
Sample name,PEO_SU8_01_075_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
,4.28000e-3,4816.47,,,,,,,,,
17683.9,4.89000e-3,3942.80,1.00000,1.00,707.355,1.00000,1000000,2.95815e7,1.00000,1000000,1.00000
17683.9,4.95000e-3,4957.39,1.00000,1.00,707.355,1.00000,1000000,2.88687e7,1.00000,1000000,1.00000
17683.9,5.46000e-3,4052.92,1.00000,1.00,707.355,1.00000,1000000,2.37275e7,1.00000,1000000,1.00000
17683.9,5.71000e-3,4957.39,1.00000,1.00,707.355,1.00000,1000000,2.16953e7,1.00000,1000000,1.00000
17683.9,6.20000e-3,3986.30,1.00000,1.00,707.355,1.00000,1000000,1.84015e7,1.00000,1000000,1.00000
17683.9,6.66000e-3,4788.27,1.00000,1.00,707.355,1.00000,1000000,1.59474e7,1.00000,1000000,1.00000
17683.9,7.09000e-3,3737.97,1.00000,1.00,707.355,1.00000,1000000,1.40717e7,1.00000,1000000,1.00000
17683.9,7.33000e-3,4277.49,1.00000,1.00,707.355,1.00000,1000000,1.31653e7,1.00000,1000000,1.00000
17683.9,7.76000e-3,4260.29,1.00000,1.00,707.355,1.00000,1000000,1.17467e7,1.00000,1000000,1.00000
17683.9,7.85000e-3,4277.49,1.00000,1.00,707.355,1.00000,1000000,1.14788e7,1.00000,1000000,1.00000
17683.9,8.09000e-3,3505.11,1.00000,1.00,707.355,1.00000,1000000,1.08079e7,1.00000,1000000,1.00000
17683.9,8.26000e-3,4009.95,1.00000,1.00,707.355,1.00000,1000000,1.03676e7,1.00000,1000000,1.00000
17683.9,9.03000e-3,3782.41,1.00000,1.00,707.355,1.00000,1000000,8674850,1.00000,1000000,1.00000
17683.9,9.24000e-3,3535.86,1.00000,1.00,707.355,1.00000,1000000,8285020,1.00000,1000000,1.00000
17683.9,9.24000e-3,3256.70,1.00000,1.00,707.355,1.00000,1000000,8285020,1.00000,1000000,1.00000
17683.9,0.0103188,3149.99,1.00000,1.00,707.355,1.00000,1000000,6643230,1.00000,1000000,1.00000
17683.9,0.0105185,3347.36,1.00000,1.00,707.355,1.00000,1000000,6393370,1.00000,1000000,1.00000
17683.9,0.0105593,2964.73,1.00000,1.00,707.355,1.00000,1000000,6344060,1.00000,1000000,1.00000
17683.9,0.0115349,2811.11,1.00000,1.00,707.355,1.00000,1000000,5316310,1.00000,1000000,1.00000
17683.9,0.0120613,2633.61,1.00000,1.00,707.355,1.00000,1000000,4862390,1.00000,1000000,1.00000
17683.9,0.0122469,2959.17,1.00000,1.00,707.355,1.00000,1000000,4716120,1.00000,1000000,1.00000
17683.9,0.0129147,2521.87,1.00000,1.00,707.355,1.00000,1000000,4241010,1.00000,1000000,1.00000
17683.9,0.0137769,2346.65,1.00000,1.00,707.355,1.00000,1000000,3726790,1.00000,1000000,1.00000
17683.9,0.0142594,2596.45,1.00000,1.00,707.355,1.00000,1000000,3478850,1.00000,1000000,1.00000
17683.9,0.0144756,2269.01,1.00000,1.00,707.355,1.00000,1000000,3375700,1.00000,1000000,1.00000
17683.9,0.0157365,2050.79,1.00000,1.00,707.355,1.00000,1000000,2856420,1.00000,1000000,1.00000
17683.9,0.0161707,2052.53,1.00000,1.00,707.355,1.00000,1000000,2705080,1.00000,1000000,1.00000
17683.9,0.0166026,2268.44,1.00000,1.00,707.355,1.00000,1000000,2566170,1.00000,1000000,1.00000
17683.9,0.0179749,1759.59,1.00000,1.00,707.355,1.00000,1000000,2189300,1.00000,1000000,1.00000
17683.9,0.0181069,1855.56,1.00000,1.00,707.355,1.00000,1000000,2157490,1.00000,1000000,1.00000
17683.9,0.0193308,1952.35,1.00000,1.00,707.355,1.00000,1000000,1892940,1.00000,1000000,1.00000
17683.9,0.0202734,1679.16,1.00000,1.00,707.355,1.00000,1000000,1721010,1.00000,1000000,1.00000
17683.9,0.0205317,1498.99,1.00000,1.00,707.355,1.00000,1000000,1677980,1.00000,1000000,1.00000
17683.9,0.0225074,1662.39,1.00000,1.00,707.355,1.00000,1000000,1396330,1.00000,1000000,1.00000
17683.9,0.0227075,1520.51,1.00000,1.00,707.355,1.00000,1000000,1371830,1.00000,1000000,1.00000
17683.9,0.0234522,1260.15,1.00000,1.00,707.355,1.00000,1000000,1286090,1.00000,1000000,1.00000
17683.9,0.0254097,1378.94,1.00000,1.00,707.355,1.00000,1000000,1095570,1.00000,1000000,1.00000
17683.9,0.0262059,1455.50,1.00000,1.00,707.355,1.00000,1000000,1030010,1.00000,1000000,1.00000
17683.9,0.0267881,1070.24,1.00000,1.00,707.355,1.00000,1000000,985720,1.00000,1000000,1.00000
17683.9,0.0284196,1251.24,1.00000,1.00,707.355,1.00000,1000000,875793,1.00000,1000000,1.00000
17683.9,0.0305121,1255.37,1.00000,1.00,707.355,1.00000,1000000,759790,1.00000,1000000,1.00000
17683.9,0.0305984,908.016,1.00000,1.00,707.355,1.00000,1000000,755510,1.00000,1000000,1.00000
17683.9,0.0317920,1134.99,1.00000,1.00,707.355,1.00000,1000000,699845,1.00000,1000000,1.00000
17683.9,0.0349508,771.958,1.00000,1.00,707.355,1.00000,1000000,579060,1.00000,1000000,1.00000
17683.9,0.0355260,1067.78,1.00000,1.00,707.355,1.00000,1000000,560460,1.00000,1000000,1.00000
17683.9,0.0356005,1028.89,1.00000,1.00,707.355,1.00000,1000000,558117,1.00000,1000000,1.00000
17683.9,0.0398498,932.700,1.00000,1.00,707.355,1.00000,1000000,445436,1.00000,1000000,1.00000
17683.9,0.0399223,663.022,1.00000,1.00,707.355,1.00000,1000000,443820,1.00000,1000000,1.00000
17683.9,0.0413639,918.012,1.00000,1.00,707.355,1.00000,1000000,413423,1.00000,1000000,1.00000
17683.9,0.0445950,844.972,1.00000,1.00,707.355,1.00000,1000000,355685,1.00000,1000000,1.00000
17683.9,0.0456009,561.378,1.00000,1.00,707.355,1.00000,1000000,340166,1.00000,1000000,1.00000
17683.9,0.0481610,776.660,1.00000,1.00,707.355,1.00000,1000000,304963,1.00000,1000000,1.00000
17683.9,0.0499020,765.099,1.00000,1.00,707.355,1.00000,1000000,284055,1.00000,1000000,1.00000
17683.9,0.0520872,476.774,1.00000,1.00,707.355,1.00000,1000000,260721,1.00000,1000000,1.00000
17683.9,0.0558830,692.245,1.00000,1.00,707.355,1.00000,1000000,226505,1.00000,1000000,1.00000
17683.9,0.0560750,662.021,1.00000,1.00,707.355,1.00000,1000000,224957,1.00000,1000000,1.00000
17683.9,0.0594962,409.493,1.00000,1.00,707.355,1.00000,1000000,199829,1.00000,1000000,1.00000
17683.9,0.0624923,626.528,1.00000,1.00,707.355,1.00000,1000000,181128,1.00000,1000000,1.00000
17683.9,0.0652895,576.531,1.00000,1.00,707.355,1.00000,1000000,165940,1.00000,1000000,1.00000
17683.9,0.0679591,348.135,1.00000,1.00,707.355,1.00000,1000000,153159,1.00000,1000000,1.00000
17683.9,0.0699297,566.307,1.00000,1.00,707.355,1.00000,1000000,144649,1.00000,1000000,1.00000
17683.9,0.0760182,491.433,1.00000,1.00,707.355,1.00000,1000000,122406,1.00000,1000000,1.00000
17683.9,0.0776257,302.693,1.00000,1.00,707.355,1.00000,1000000,117389,1.00000,1000000,1.00000
17683.9,0.0782476,511.990,1.00000,1.00,707.355,1.00000,1000000,115530,1.00000,1000000,1.00000
17683.9,0.0875746,462.453,1.00000,1.00,707.355,1.00000,1000000,92231.9,1.00000,1000000,1.00000
17683.9,0.0885099,429.810,1.00000,1.00,707.355,1.00000,1000000,90293.0,1.00000,1000000,1.00000
17683.9,0.0886673,260.776,1.00000,1.00,707.355,1.00000,1000000,89972.7,1.00000,1000000,1.00000
17683.9,0.0980813,417.346,1.00000,1.00,707.355,1.00000,1000000,73530.1,1.00000,1000000,1.00000
17683.9,0.101279,223.063,1.00000,1.00,707.355,1.00000,1000000,68960.2,1.00000,1000000,1.00000
17683.9,0.103054,370.316,1.00000,1.00,707.355,1.00000,1000000,66605.2,1.00000,1000000,1.00000
17683.9,0.109860,376.525,1.00000,1.00,707.355,1.00000,1000000,58608.2,1.00000,1000000,1.00000
17683.9,0.115686,192.566,1.00000,1.00,707.355,1.00000,1000000,52853.8,1.00000,1000000,1.00000
17683.9,0.119989,319.400,1.00000,1.00,707.355,1.00000,1000000,49130.9,1.00000,1000000,1.00000
17683.9,0.122907,339.682,1.00000,1.00,707.355,1.00000,1000000,46825.7,1.00000,1000000,1.00000
17683.9,0.132141,167.431,1.00000,1.00,707.355,1.00000,1000000,40510.0,1.00000,1000000,1.00000
17683.9,0.137503,306.055,1.00000,1.00,707.355,1.00000,1000000,37412.2,1.00000,1000000,1.00000
17683.9,0.139706,276.371,1.00000,1.00,707.355,1.00000,1000000,36241.6,1.00000,1000000,1.00000
17683.9,0.150937,147.521,1.00000,1.00,707.355,1.00000,1000000,31048.9,1.00000,1000000,1.00000
17683.9,0.154081,275.570,1.00000,1.00,707.355,1.00000,1000000,29794.7,1.00000,1000000,1.00000
17683.9,0.162663,240.682,1.00000,1.00,707.355,1.00000,1000000,26733.8,1.00000,1000000,1.00000
17683.9,0.172406,127.222,1.00000,1.00,707.355,1.00000,1000000,23797.6,1.00000,1000000,1.00000
17683.9,0.172471,248.292,1.00000,1.00,707.355,1.00000,1000000,23779.6,1.00000,1000000,1.00000
17683.9,0.189392,213.227,1.00000,1.00,707.355,1.00000,1000000,19720.3,1.00000,1000000,1.00000
17683.9,0.192999,223.850,1.00000,1.00,707.355,1.00000,1000000,18990.1,1.00000,1000000,1.00000
17683.9,0.196930,110.616,1.00000,1.00,707.355,1.00000,1000000,18239.5,1.00000,1000000,1.00000
17683.9,0.215919,202.161,1.00000,1.00,707.355,1.00000,1000000,15172.5,1.00000,1000000,1.00000
17683.9,0.220514,185.692,1.00000,1.00,707.355,1.00000,1000000,14546.7,1.00000,1000000,1.00000
17683.9,0.224941,97.0650,1.00000,1.00,707.355,1.00000,1000000,13979.8,1.00000,1000000,1.00000
17683.9,0.241835,182.725,1.00000,1.00,707.355,1.00000,1000000,12094.8,1.00000,1000000,1.00000
17683.9,0.256750,162.931,1.00000,1.00,707.355,1.00000,1000000,10730.4,1.00000,1000000,1.00000
17683.9,0.256937,85.1743,1.00000,1.00,707.355,1.00000,1000000,10714.8,1.00000,1000000,1.00000
17683.9,0.270808,165.200,1.00000,1.00,707.355,1.00000,1000000,9645.27,1.00000,1000000,1.00000
17683.9,0.293485,74.5877,1.00000,1.00,707.355,1.00000,1000000,8212.32,1.00000,1000000,1.00000
17683.9,0.298941,142.806,1.00000,1.00,707.355,1.00000,1000000,7915.29,1.00000,1000000,1.00000
17683.9,0.302980,149.382,1.00000,1.00,707.355,1.00000,1000000,7705.66,1.00000,1000000,1.00000
17683.9,0.335230,65.3170,1.00000,1.00,707.355,1.00000,1000000,6294.36,1.00000,1000000,1.00000
17683.9,0.338976,135.046,1.00000,1.00,707.355,1.00000,1000000,6156.02,1.00000,1000000,1.00000
17683.9,0.348064,125.167,1.00000,1.00,707.355,1.00000,1000000,5838.74,1.00000,1000000,1.00000
17683.9,0.379237,121.999,1.00000,1.00,707.355,1.00000,1000000,4918.31,1.00000,1000000,1.00000
17683.9,0.382914,57.3155,1.00000,1.00,707.355,1.00000,1000000,4824.31,1.00000,1000000,1.00000
17683.9,0.405260,110.297,1.00000,1.00,707.355,1.00000,1000000,4306.95,1.00000,1000000,1.00000
17683.9,0.424733,109.968,1.00000,1.00,707.355,1.00000,1000000,3921.08,1.00000,1000000,1.00000
17683.9,0.437380,50.6549,1.00000,1.00,707.355,1.00000,1000000,3697.60,1.00000,1000000,1.00000
17683.9,0.471854,97.2969,1.00000,1.00,707.355,1.00000,1000000,3177.04,1.00000,1000000,1.00000
,0.475616,98.9499,,,,,,,,,
17683.9,0.499594,45.0434,1.00000,1.00,707.355,1.00000,1000000,2834.02,1.00000,1000000,1.00000
17683.9,0.532122,88.8700,1.00000,1.00,707.355,1.00000,1000000,2498.13,1.00000,1000000,1.00000
17683.9,0.549392,84.7325,1.00000,1.00,707.355,1.00000,1000000,2343.54,1.00000,1000000,1.00000
17683.9,0.570657,39.8496,1.00000,1.00,707.355,1.00000,1000000,2172.14,1.00000,1000000,1.00000
17683.9,0.595331,79.6178,1.00000,1.00,707.355,1.00000,1000000,1995.82,1.00000,1000000,1.00000
