Filename,psb_thfdmf_00_7
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,11/12/2019
Sample name,OSKT 7_PSB_THFDMF
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
4.60235e-3,6.25490e-3,0.608718,3.70346,19.99,-24.1626,-0.0341590,20.0129,-617593,3.70346,0.260257,1.08835e-4
3.00640e-3,7.34919e-3,0.448587,10.4465,19.99,-24.5624,-0.0347243,20.0179,-454771,10.4465,0.170008,1.27876e-4
2.67321e-3,8.25098e-3,0.377524,17.5637,19.99,-24.9950,-0.0353359,20.0234,-367149,17.5637,0.151166,1.43567e-4
2.48441e-3,9.21471e-3,0.330339,24.5760,19.99,-24.7497,-0.0349891,20.0318,-291478,24.5760,0.140490,1.60336e-4
2.64968e-3,0.0103004,0.294041,31.5228,20.00,-25.8489,-0.0365431,20.0320,-243634,31.5228,0.149836,1.79226e-4
2.67694e-3,0.0115419,0.264144,38.4697,20.00,-26.9119,-0.0380458,20.0369,-202018,38.4697,0.151378,2.00829e-4
2.91714e-3,0.0129074,0.227361,45.4820,20.00,-27.8425,-0.0393614,20.0260,-167120,45.4820,0.164961,2.24589e-4
3.09846e-3,0.0144760,0.202009,52.4944,20.00,-28.8852,-0.0408355,20.0351,-137840,52.4944,0.175214,2.51882e-4
3.19139e-3,0.0161877,0.186555,59.4412,20.00,-29.2977,-0.0414187,20.0251,-111805,59.4412,0.180469,2.81666e-4
3.29764e-3,0.0181073,0.177161,66.3880,20.00,-29.9143,-0.0422903,20.0318,-91237.1,66.3880,0.186477,3.15066e-4
3.41413e-3,0.0202844,0.168317,73.4004,20.00,-29.4866,-0.0416857,20.0285,-71663.7,73.4004,0.193065,3.52949e-4
3.03073e-3,0.0227558,0.161656,80.4127,20.00,-29.4727,-0.0416661,20.0202,-56916.3,80.4127,0.171384,3.95950e-4
2.87959e-3,0.0253905,0.157488,87.3595,20.00,-29.6670,-0.0419407,20.0221,-46018.3,87.3595,0.162837,4.41794e-4
3.81296e-3,0.0284024,0.154778,94.3063,20.00,-30.2245,-0.0427289,20.0144,-37467.1,94.3063,0.215618,4.94200e-4
4.83728e-3,0.0317987,0.157107,101.253,20.00,-31.6708,-0.0447735,20.0123,-31321.3,101.253,0.273542,5.53296e-4
5.24203e-3,0.0356156,0.162923,108.266,20.00,-35.3094,-0.0499175,20.0200,-27836.2,108.266,0.296430,6.19710e-4
5.99116e-3,0.0398599,0.170931,115.278,20.00,-37.2558,-0.0526691,20.0324,-23448.8,115.278,0.338792,6.93562e-4
7.45828e-3,0.0446034,0.181957,122.225,20.00,-38.2211,-0.0540338,20.0270,-19211.8,122.225,0.421756,7.76097e-4
8.83001e-3,0.0498870,0.193437,129.171,20.00,-30.9784,-0.0437947,20.0314,-12447.6,129.171,0.499325,8.68031e-4
0.0130043,0.0558586,0.200621,136.184,20.00,-24.8562,-0.0351397,20.0315,-7966.27,136.184,0.735376,9.71938e-4
0.0169406,0.0625076,0.203208,143.196,19.99,-25.8629,-0.0365629,20.0316,-6619.29,143.196,0.957970,1.08763e-3
0.0199468,0.0699617,0.204673,150.143,20.00,-27.1016,-0.0383140,20.0280,-5536.99,150.143,1.12796,1.21733e-3
0.0207190,0.0782966,0.204505,157.090,20.00,-26.6168,-0.0376287,20.0354,-4341.81,157.090,1.17163,1.36236e-3
0.0195778,0.0876111,0.201269,164.037,20.00,-27.5655,-0.0389699,20.0268,-3591.27,164.037,1.10710,1.52443e-3
0.0196194,0.0981135,0.195608,171.049,20.00,-27.8296,-0.0393432,20.0282,-2891.01,171.049,1.10945,1.70717e-3
0.0192635,0.109877,0.183690,178.061,20.00,-28.3497,-0.0400785,20.0259,-2348.20,178.061,1.08933,1.91186e-3
0.0195673,0.122926,0.168385,185.008,20.00,-28.2685,-0.0399637,20.0275,-1870.74,185.008,1.10650,2.13891e-3
0.0204742,0.137545,0.151847,191.955,20.00,-27.7874,-0.0392835,20.0270,-1468.79,191.955,1.15779,2.39327e-3
0.0215683,0.154033,0.136452,198.967,20.00,-28.3253,-0.0400439,20.0153,-1193.84,198.967,1.21966,2.68017e-3
0.0223569,0.172554,0.123581,205.980,20.00,-28.6661,-0.0405257,20.0167,-962.760,205.980,1.26425,3.00243e-3
0.0226076,0.193012,0.112154,212.926,20.00,-27.6763,-0.0391264,20.0211,-742.915,212.926,1.27843,3.35840e-3
0.0223783,0.215942,0.102086,219.873,20.00,-29.3535,-0.0414975,20.0225,-629.485,219.873,1.26546,3.75738e-3
0.0220313,0.241867,0.0930788,226.886,20.00,-29.1981,-0.0412778,20.0215,-499.113,226.886,1.24584,4.20848e-3
0.0221987,0.270918,0.0849211,233.898,20.01,-28.7089,-0.0405862,20.0278,-391.146,233.898,1.25530,4.71397e-3
0.0229267,0.303026,0.0775981,240.845,20.00,-29.4997,-0.0417043,20.0187,-321.261,240.845,1.29648,5.27264e-3
0.0231687,0.338909,0.0710730,247.792,20.00,-30.4898,-0.0431039,20.0194,-265.454,247.792,1.31016,5.89700e-3
0.0235453,0.379216,0.0653965,254.738,19.99,-30.5041,-0.0431241,20.0245,-212.122,254.738,1.33145,6.59834e-3
0.0246327,0.424743,0.0606918,261.751,20.00,-30.9061,-0.0436925,20.0130,-171.313,261.751,1.39294,7.39052e-3
0.0259726,0.475818,0.0569135,268.763,20.00,-31.5866,-0.0446545,20.0179,-139.515,268.763,1.46872,8.27922e-3
0.0274437,0.532133,0.0539017,275.710,20.00,-31.9963,-0.0452337,20.0270,-112.995,275.710,1.55191,9.25910e-3
0.0291796,0.595215,0.0514958,282.657,20.00,-32.9528,-0.0465859,20.0293,-93.0131,282.657,1.65007,0.0103567
0.0311924,0.666675,0.0495823,289.669,20.00,-33.3035,-0.0470818,20.0261,-74.9311,289.669,1.76389,0.0116001
0.0341975,0.746600,0.0479724,296.681,20.00,-33.7976,-0.0477802,20.0212,-60.6331,296.681,1.93382,0.0129908
0.0377197,0.835304,0.0464686,303.628,20.00,-34.2466,-0.0484151,20.0345,-49.0828,303.628,2.13300,0.0145343
0.0419232,0.934331,0.0449047,310.575,20.00,-34.8908,-0.0493258,20.0298,-39.9678,310.575,2.37070,0.0162573
0.0477884,1.04647,0.0431435,317.587,20.00,-35.1860,-0.0497430,20.0302,-32.1303,317.587,2.70237,0.0182086
0.0529511,1.17200,0.0411093,324.600,20.00,-35.5681,-0.0502832,20.0272,-25.8945,324.600,2.99431,0.0203927
0.0566823,1.31106,0.0392107,331.547,20.00,-35.8970,-0.0507482,20.0254,-20.8839,331.547,3.20531,0.0228124
0.0598590,1.46662,0.0370769,338.493,20.00,-36.5879,-0.0517249,20.0250,-17.0099,338.493,3.38495,0.0255192
0.0613891,1.64086,0.0349221,345.440,20.00,-37.1656,-0.0525417,20.0268,-13.8038,345.440,3.47147,0.0285509
0.0611328,1.83757,0.0327282,352.453,20.00,-36.8743,-0.0521297,20.0311,-10.9203,352.453,3.45698,0.0319737
0.0594432,2.05796,0.0304160,359.465,20.00,-38.0379,-0.0537749,20.0287,-8.98141,359.465,3.36143,0.0358084
0.0639036,2.30204,0.0279029,366.412,20.00,-37.9109,-0.0535952,20.0324,-7.15382,366.412,3.61366,0.0400554
0.0635841,2.57547,0.0255801,373.359,20.00,-38.5688,-0.0545254,20.0285,-5.81464,373.359,3.59559,0.0448131
0.0671985,2.88424,0.0231988,380.371,20.00,-37.2646,-0.0526815,20.0288,-4.47954,380.371,3.79998,0.0501857
0.0712175,3.22988,0.0211570,387.383,20.00,-38.2478,-0.0540715,20.0155,-3.66634,387.383,4.02725,0.0561999
