Filename,psb_thfdmf_01_5
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,19/12/2019
Sample name,PSB_THFDMF_01_5
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-6.71748,0.815951,-8.23271,0.595811,19.99,262.461,0.371046,20.0391,394.219,0.595811,-379.865,0.0141975
8.89766,7.90849e-3,1341.79,12.3863,19.99,266.507,0.376765,20.0278,4261090,12.3863,503.151,1.37608e-4
11.7301,7.61628e-3,1378.01,18.5467,19.99,276.578,0.391002,20.0206,4767950,18.5467,663.323,1.32523e-4
11.4401,8.27973e-3,1300.30,25.9523,19.99,261.621,0.369858,20.0282,3816280,25.9523,646.925,1.44067e-4
11.3218,9.08896e-3,1229.38,33.2923,20.00,253.235,0.358002,20.0227,3065450,33.2923,640.234,1.58148e-4
11.0419,9.98431e-3,1078.66,40.6324,19.99,242.971,0.343492,20.0294,2437350,40.6324,624.403,1.73727e-4
10.3661,0.0108951,954.993,47.9724,20.00,234.912,0.332099,20.0145,1979000,47.9724,586.189,1.89574e-4
9.83292,0.0119467,834.553,55.3124,20.00,231.007,0.326578,20.0242,1618550,55.3124,556.039,2.07873e-4
9.53871,0.0130803,726.992,62.7180,20.00,222.307,0.314279,20.0277,1299320,62.7180,539.401,2.27597e-4
9.16991,0.0143372,636.362,70.1236,20.00,217.874,0.308011,20.0283,1059920,70.1236,518.546,2.49467e-4
8.71866,0.0156980,558.234,77.4636,20.00,212.332,0.300178,20.0247,861644,77.4636,493.029,2.73144e-4
8.43915,0.0171846,489.431,84.8036,20.00,204.303,0.288827,20.0237,691826,84.8036,477.222,2.99011e-4
8.04111,0.0187861,427.955,92.1436,20.00,203.235,0.287317,20.0255,575871,92.1436,454.714,3.26878e-4
7.75997,0.0206116,370.039,99.4837,20.00,194.322,0.274717,20.0269,457401,99.4837,438.816,3.58642e-4
7.28340,0.0226040,321.418,106.889,20.00,188.624,0.266661,20.0215,369170,106.889,411.866,3.93309e-4
6.73048,0.0247289,280.622,114.295,20.00,183.761,0.259786,20.0342,300500,114.295,380.600,4.30281e-4
6.64062,0.0271013,244.375,121.635,20.00,179.241,0.253396,20.0198,244037,121.635,375.518,4.71562e-4
6.36075,0.0297015,212.289,128.975,20.00,176.523,0.249554,20.0273,200099,128.975,359.692,5.16806e-4
6.15212,0.0325132,181.795,136.315,20.00,172.744,0.244211,20.0306,163412,136.315,347.894,5.65728e-4
5.69839,0.0357141,152.357,143.655,20.00,165.051,0.233335,20.0310,129401,143.655,322.236,6.21425e-4
4.85337,0.0390575,129.150,151.061,20.00,158.027,0.223405,20.0273,103591,151.061,274.452,6.79598e-4
4.44612,0.0427738,108.707,158.466,19.99,152.221,0.215197,20.0234,83199.0,158.466,251.422,7.44263e-4
4.31093,0.0469177,92.1494,165.806,20.00,149.980,0.212030,20.0220,68133.4,165.806,243.777,8.16367e-4
4.08986,0.0513028,79.6189,173.146,20.00,147.992,0.209219,20.0195,56228.5,173.146,231.276,8.92667e-4
3.98254,0.0562116,68.9920,180.486,20.00,141.825,0.200500,20.0191,44884.9,180.486,225.207,9.78080e-4
3.64207,0.0614122,59.6308,187.826,20.00,140.854,0.199128,20.0216,37347.4,187.826,205.954,1.06857e-3
3.43538,0.0673842,50.3320,195.232,19.99,135.735,0.191891,20.0195,29893.5,195.232,194.266,1.17248e-3
3.21082,0.0738861,42.5442,202.637,20.00,131.056,0.185276,20.0211,24006.7,202.637,181.568,1.28562e-3
2.80298,0.0808926,36.2353,209.977,20.00,124.508,0.176019,20.0206,19027.4,209.977,158.505,1.40753e-3
2.73553,0.0886446,30.6907,217.317,20.00,119.306,0.168665,20.0200,15183.0,217.317,154.691,1.54241e-3
2.55756,0.0970547,26.0912,224.657,20.00,115.225,0.162895,20.0246,12232.4,224.657,144.627,1.68875e-3
2.36922,0.106311,22.7349,231.997,20.00,111.458,0.157569,20.0273,9861.80,231.997,133.976,1.84980e-3
2.23984,0.116492,19.8436,239.403,20.00,108.787,0.153794,20.0308,8016.43,239.403,126.660,2.02696e-3
2.21807,0.127785,17.4648,246.809,20.00,108.690,0.153657,20.0330,6656.30,246.809,125.429,2.22345e-3
2.19137,0.139875,15.5555,254.149,20.00,107.131,0.151453,20.0353,5475.63,254.149,123.919,2.43383e-3
2.14858,0.153245,13.7265,261.489,20.00,107.455,0.151911,20.0278,4575.67,261.489,121.500,2.66646e-3
2.08459,0.167885,11.9936,268.829,20.00,105.554,0.149224,20.0263,3744.99,268.829,117.881,2.92120e-3
1.89170,0.183810,10.2736,276.169,20.00,102.984,0.145590,20.0223,3048.09,276.169,106.973,3.19830e-3
1.78281,0.201604,8.69288,283.574,20.00,100.849,0.142571,20.0238,2481.25,283.574,100.816,3.50791e-3
1.58466,0.220926,7.46943,290.980,20.00,95.4635,0.134958,20.0244,1955.89,290.980,89.6104,3.84410e-3
1.48620,0.241907,6.42986,298.320,20.00,90.4241,0.127834,20.0306,1545.21,298.320,84.0424,4.20918e-3
1.54360,0.264958,5.48520,305.660,20.00,92.0954,0.130197,20.0317,1311.85,305.660,87.2885,4.61025e-3
1.40431,0.290351,4.75284,313.000,20.00,91.1032,0.128794,20.0181,1080.65,313.000,79.4117,5.05210e-3
1.26947,0.317891,4.10518,320.340,20.00,88.3354,0.124881,20.0228,874.137,320.340,71.7871,5.53129e-3
1.22458,0.348432,3.43173,327.746,20.00,87.7730,0.124086,20.0247,722.978,327.746,69.2485,6.06270e-3
1.12058,0.382001,2.88334,335.151,20.00,79.9193,0.112983,20.0294,547.675,335.151,63.3675,6.64680e-3
0.998566,0.418314,2.50805,342.491,20.00,74.9051,0.105895,20.0217,428.062,342.491,56.4676,7.27865e-3
0.934399,0.458199,2.18155,349.831,20.00,71.9890,0.101772,20.0341,342.893,349.831,52.8390,7.97264e-3
0.993246,0.501717,1.85380,357.171,20.00,75.9281,0.107341,20.0231,301.638,357.171,56.1667,8.72985e-3
0.960990,0.549659,1.58092,364.511,20.00,74.3980,0.105178,20.0292,246.249,364.511,54.3427,9.56404e-3
0.780805,0.602479,1.37400,371.917,20.00,63.5647,0.0898625,20.0265,175.119,371.917,44.1535,0.0104831
0.710341,0.660284,1.16487,379.322,20.00,59.9601,0.0847667,20.0247,137.531,379.322,40.1688,0.0114889
0.734542,0.723315,0.984184,386.662,20.00,61.8069,0.0873774,20.0264,118.136,386.662,41.5374,0.0125857
0.688531,0.792071,0.875908,394.002,20.00,58.5325,0.0827483,20.0241,93.2972,394.002,38.9355,0.0137820
0.652138,0.867456,0.771083,401.342,20.00,57.6931,0.0815618,20.0248,76.6707,401.342,36.8775,0.0150937
0.686035,0.950281,0.669800,408.683,20.00,57.2963,0.0810008,20.0261,63.4488,408.683,38.7944,0.0165348
0.591330,1.04146,0.576761,416.088,20.00,52.7878,0.0746269,20.0258,48.6686,416.088,33.4389,0.0181213
0.572985,1.14167,0.493052,423.494,20.00,52.4349,0.0741281,20.0225,40.2289,423.494,32.4015,0.0198651
0.515798,1.25026,0.423505,430.834,20.00,48.7362,0.0688992,20.0288,31.1782,430.834,29.1677,0.0217545
0.472586,1.36938,0.374623,438.174,20.00,46.4829,0.0657137,20.0322,24.7883,438.174,26.7241,0.0238271
0.504070,1.49991,0.339022,445.514,20.00,46.3758,0.0655622,20.0334,20.6140,445.514,28.5045,0.0260983
0.504652,1.64242,0.317878,452.854,20.00,46.7647,0.0661120,20.0266,17.3361,452.854,28.5374,0.0285780
0.548335,1.80048,0.312688,460.259,20.00,48.7442,0.0689104,20.0272,15.0364,460.259,31.0076,0.0313283
0.589460,1.97355,0.308982,467.665,20.00,49.2058,0.0695630,20.0272,12.6334,467.665,33.3332,0.0343397
0.687875,2.16150,0.317197,475.005,20.00,53.4160,0.0755151,20.0299,11.4330,475.005,38.8984,0.0376100
0.749338,2.36736,0.327373,482.345,20.00,54.9258,0.0776495,20.0227,9.80048,482.345,42.3741,0.0411920
0.908358,2.59282,0.344177,489.685,20.00,60.9969,0.0862323,20.0191,9.07322,489.685,51.3664,0.0451150
1.01281,2.83927,0.363958,497.025,20.00,67.1375,0.0949133,20.0259,8.32822,497.025,57.2730,0.0494031
1.19470,3.11290,0.387424,504.431,20.00,74.6892,0.105589,20.0176,7.70775,504.431,67.5590,0.0541643
1.43826,3.41146,0.393668,511.836,20.00,87.4432,0.123620,20.0296,7.51357,511.836,81.3319,0.0593592
1.61277,3.73728,0.385652,519.176,20.00,93.9550,0.132826,20.0132,6.72680,519.176,91.1998,0.0650285
1.55253,4.09218,0.345923,526.516,20.00,92.4552,0.130705,20.0246,5.52105,526.516,87.7935,0.0712038
1.44449,4.48230,0.272596,533.856,20.00,77.2020,0.109142,20.0261,3.84261,533.856,81.6841,0.0779919
1.09230,4.90960,0.198564,541.196,20.00,67.2121,0.0950188,20.0292,2.78840,541.196,61.7682,0.0854269
0.687926,5.38073,0.149385,548.602,20.00,49.1323,0.0694592,20.0221,1.69701,548.602,38.9013,0.0936245
0.519368,5.89797,0.123080,556.007,20.00,40.2959,0.0569671,20.0225,1.15839,556.007,29.3695,0.102624
0.594862,6.45958,0.116643,563.347,20.00,41.6626,0.0588991,20.0322,0.998476,563.347,33.6387,0.112397
0.869657,7.07465,0.126448,570.688,20.00,52.7188,0.0745294,20.0228,1.05331,570.688,49.1780,0.123099
1.31154,7.74805,0.135676,578.028,20.00,72.9988,0.103200,20.0308,1.21599,578.028,74.1659,0.134816
1.62693,8.48807,0.125795,585.368,20.00,85.4520,0.120805,20.0196,1.18606,585.368,92.0008,0.147692
1.16603,9.30218,0.111024,592.773,20.00,64.0384,0.0905322,20.0292,0.740067,592.773,65.9376,0.161858
0.640649,10.1959,0.101834,600.179,20.00,40.4196,0.0571418,20.0205,0.388813,600.179,36.2278,0.177408
0.737097,11.1664,0.0913151,607.519,20.00,42.5963,0.0602192,20.0247,0.341621,607.519,41.6819,0.194295
1.34966,12.2307,0.0759539,614.859,20.00,69.1756,0.0977947,20.0252,0.462433,614.859,76.3215,0.212814
1.48235,13.3969,0.0761608,622.199,20.00,72.6905,0.102764,20.0228,0.405010,622.199,83.8250,0.233106
0.732263,14.6704,0.0810410,629.539,20.00,40.1649,0.0567818,20.0232,0.186622,629.539,41.4085,0.255264
1.02405,16.0806,0.0667698,636.944,20.00,50.1703,0.0709266,20.0217,0.194017,636.944,57.9089,0.279803
1.58310,17.6276,0.0604830,644.350,20.00,72.5380,0.102548,20.0295,0.233441,644.350,89.5220,0.306720
0.810829,19.3044,0.0602061,651.690,20.00,38.9232,0.0550264,20.0252,0.104447,651.690,45.8513,0.335896
1.42638,21.1423,0.0580775,659.030,20.00,61.9864,0.0876312,20.0238,0.138674,659.030,80.6598,0.367874
1.13102,23.1595,0.0500446,666.370,20.00,48.4968,0.0685608,20.0250,0.0904178,666.370,63.9575,0.402975
