Filename,pvk_dcm_00_4
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,4_PVK_CHL
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
1.36190,8.01728e-3,169.871,5.96381,20.00,6.95405,9.83106e-3,20.0264,108189,5.96381,77.0136,1.39500e-4
1.74302,6.81285e-3,258.132,12.7140,20.00,-16.9611,-0.0239782,20.0305,-365423,12.7140,98.5655,1.18543e-4
2.26860,7.50373e-3,293.936,21.1682,20.00,0.928978,1.31331e-3,20.0325,16498.8,21.1682,128.286,1.30565e-4
2.77733,8.24118e-3,319.554,29.6223,20.00,-1.12610,-1.59198e-3,20.0318,-16580.4,29.6223,157.054,1.43396e-4
3.18231,9.02204e-3,340.356,38.0109,20.00,-10.2612,-0.0145064,20.0316,-126063,38.0109,179.955,1.56983e-4
3.54128,9.87952e-3,349.412,46.3995,20.00,-10.2693,-0.0145178,20.0349,-105213,46.3995,200.254,1.71903e-4
3.83314,0.0108209,348.062,54.7881,20.00,4.53284,6.40815e-3,20.0330,38711.9,54.7881,216.759,1.88283e-4
4.09227,0.0118585,340.494,63.1767,20.00,-11.5069,-0.0162675,20.0309,-81827.2,63.1767,231.412,2.06338e-4
4.29375,0.0129953,328.697,71.6309,20.00,12.6802,0.0179262,20.0317,75084.6,71.6309,242.806,2.26118e-4
4.50181,0.0142445,314.596,80.0850,20.00,13.2840,0.0187798,20.0289,65468.7,80.0850,254.571,2.47854e-4
4.68789,0.0155899,299.770,88.4736,20.00,31.5581,0.0446143,20.0305,129845,88.4736,265.094,2.71264e-4
4.86401,0.0170670,285.128,96.8622,20.00,33.0277,0.0466918,20.0314,113387,96.8622,275.053,2.96966e-4
5.05659,0.0186870,270.846,105.251,20.00,29.3435,0.0414835,20.0333,84029.9,105.251,285.943,3.25153e-4
5.25950,0.0204650,257.084,113.639,20.00,10.4439,0.0147648,20.0326,24936.9,113.639,297.418,3.56090e-4
5.47982,0.0224222,243.978,122.094,20.00,26.4081,0.0373336,20.0329,52526.8,122.094,309.877,3.90146e-4
5.69044,0.0245651,231.381,130.548,20.00,10.9638,0.0154997,20.0316,18168.6,130.548,321.787,4.27433e-4
5.90712,0.0268973,219.247,138.936,20.00,9.43304,0.0133356,20.0311,13038.7,138.936,334.040,4.68013e-4
6.11927,0.0294537,207.310,147.325,20.00,-0.676104,-9.55820e-4,20.0272,-779.351,147.325,346.037,5.12494e-4
6.32638,0.0322493,195.602,155.714,20.00,10.0288,0.0141779,20.0281,9642.96,155.714,357.748,5.61136e-4
6.52203,0.0353099,184.116,164.102,20.00,-1.14009,-1.61177e-3,20.0339,-914.425,164.102,368.812,6.14391e-4
6.69775,0.0386870,172.809,172.556,20.00,1.62432,2.29633e-3,20.0360,1085.28,172.556,378.749,6.73152e-4
6.87143,0.0423872,161.782,181.010,20.00,16.4437,0.0232467,20.0281,9152.29,181.010,388.570,7.37535e-4
7.03305,0.0464088,151.187,189.399,20.00,-4.70516,-6.65176e-3,20.0213,-2184.61,189.399,397.710,8.07512e-4
7.17933,0.0508116,141.091,197.788,20.00,2.11424,2.98893e-3,20.0245,818.894,197.788,405.981,8.84121e-4
7.31638,0.0556312,131.502,206.176,20.00,-8.95138,-0.0126547,20.0219,-2892.36,206.176,413.731,9.67982e-4
7.45743,0.0608147,122.569,214.565,20.00,-21.6772,-0.0306455,20.0223,-5861.21,214.565,421.708,1.05817e-3
7.60257,0.0666532,113.887,223.019,20.00,-20.7896,-0.0293907,20.0254,-4679.55,223.019,429.915,1.15976e-3
7.73652,0.0730311,105.802,231.473,20.00,-41.2255,-0.0582811,20.0255,-7729.46,231.473,437.490,1.27074e-3
7.85566,0.0799760,98.3276,239.862,20.00,-44.3907,-0.0627558,20.0276,-6940.20,239.862,444.227,1.39158e-3
7.99019,0.0875605,91.3336,248.250,20.00,-41.3769,-0.0584953,20.0303,-5396.87,248.250,451.835,1.52355e-3
8.14412,0.0958840,84.6984,256.639,20.00,-45.0061,-0.0636259,20.0320,-4895.30,256.639,460.539,1.66838e-3
8.27259,0.105059,78.4478,265.093,20.00,-27.2645,-0.0385443,20.0139,-2470.20,265.093,467.804,1.82802e-3
8.35658,0.115112,72.6686,273.547,20.00,-38.8591,-0.0549358,20.0253,-2932.59,273.547,472.553,2.00295e-3
8.45268,0.126044,67.4217,281.936,20.00,-48.8785,-0.0691004,20.0267,-3076.63,281.936,477.988,2.19316e-3
8.60401,0.138004,62.6494,290.325,20.00,-64.3974,-0.0910397,20.0299,-3381.29,290.325,486.545,2.40127e-3
8.81420,0.151117,58.4067,298.713,20.00,-69.0802,-0.0976599,20.0327,-3025.02,298.713,498.431,2.62942e-3
