Filename,esp_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.0109345,0.0702815,-0.155581,1.20281,24.89,22.0388,,0.0311567,20.0211,4461.76,1.20281,-0.618330,1.22290e-3
6.86753e-4,6.95648e-3,0.0987214,3.53898,24.89,22.2898,-0.0278015,0.0315115,20.0263,460605,3.53898,0.0388350,1.21042e-4
1.21759e-3,7.70709e-3,0.160457,5.83274,24.88,22.4642,-0.154145,0.0317580,20.0310,378190,5.83274,0.0688529,1.34103e-4
1.76554e-3,8.45838e-3,0.200103,8.06096,24.89,21.7696,0.160344,0.0307761,20.0335,304282,8.06096,0.0998387,1.47176e-4
2.33984e-3,9.29055e-3,0.238134,10.3547,24.89,22.1323,0.0950557,0.0312888,20.0271,256415,10.3547,0.132315,1.61655e-4
2.94799e-3,0.0102113,0.279127,12.6485,24.90,21.9020,0.0670776,0.0309632,20.0260,210051,12.6485,0.166705,1.77676e-4
3.54935e-3,0.0111643,0.311371,14.8767,24.91,21.7311,0.0498028,0.0307216,20.0303,174348,14.8767,0.200711,1.94258e-4
4.23417e-3,0.0122486,0.333227,17.1705,24.91,22.0335,0.0415832,0.0311491,20.0358,146863,17.1705,0.239437,2.13125e-4
4.95573e-3,0.0134489,0.348931,19.4642,24.92,21.5666,0.0364080,0.0304891,20.0319,119237,19.4642,0.280240,2.34010e-4
5.16891e-3,0.0146980,0.350481,21.6924,24.92,22.2433,0.0321410,0.0314457,20.0237,102964,21.6924,0.292295,2.55744e-4
5.82734e-3,0.0160988,0.342331,23.9862,24.93,20.9209,0.0281844,0.0295762,20.0336,80722.3,23.9862,0.329528,2.80118e-4
5.77770e-3,0.0177364,0.326669,26.2800,24.94,21.8918,0.0245229,0.0309489,20.0306,69590.5,26.2800,0.326721,3.08613e-4
5.92174e-3,0.0193308,0.310796,28.5082,24.95,21.5242,0.0217543,0.0304292,20.0356,57600.7,28.5082,0.334867,3.36355e-4
6.29128e-3,0.0212934,0.290131,30.8020,24.93,22.2432,0.0190089,0.0314456,20.0269,49057.7,30.8020,0.355764,3.70504e-4
6.25963e-3,0.0232525,0.278344,33.0957,24.95,20.7055,0.0172846,0.0292717,20.0248,38295.5,33.0957,0.353974,4.04592e-4
6.64583e-3,0.0254440,0.268099,35.3239,24.94,22.1991,0.0159142,0.0313833,20.0303,34289.8,35.3239,0.375813,4.42725e-4
7.31541e-3,0.0278234,0.255420,37.6177,24.95,22.1194,0.0145350,0.0312706,20.0280,28572.8,37.6177,0.413676,4.84127e-4
7.75473e-3,0.0306732,0.245194,39.9115,24.95,21.0252,0.0134245,0.0297237,20.0365,22347.2,39.9115,0.438520,5.33712e-4
7.72623e-3,0.0333291,0.235350,42.1397,24.96,22.5194,0.0125193,0.0318361,20.0283,20272.7,42.1397,0.436908,5.79925e-4
8.15600e-3,0.0365956,0.220825,44.4334,24.96,21.4148,0.0114167,0.0302745,20.0334,15990.3,44.4334,0.461211,6.36761e-4
8.35607e-3,0.0401841,0.204731,46.7272,24.97,21.5526,0.0103030,0.0304693,20.0230,13347.3,46.7272,0.472525,6.99202e-4
8.45303e-3,0.0438910,0.186679,48.9554,24.97,21.3114,9.20702e-3,0.0301283,20.0267,11062.7,48.9554,0.478007,7.63703e-4
8.44014e-3,0.0480484,0.167101,51.2492,24.96,21.1125,8.07579e-3,0.0298470,20.0349,9144.95,51.2492,0.477279,8.36040e-4
7.58590e-3,0.0529285,0.149524,53.5429,24.97,20.9442,7.08536e-3,0.0296092,20.0358,7476.28,53.5429,0.428973,9.20954e-4
7.35617e-3,0.0575081,0.137480,55.7712,24.97,21.9747,6.41550e-3,0.0310660,20.0250,6644.54,55.7712,0.415982,1.00064e-3
7.86132e-3,0.0630696,0.125873,58.0649,24.96,21.3782,5.78862e-3,0.0302228,20.0211,5374.43,58.0649,0.444547,1.09741e-3
