Filename,esp_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
6.57356e-3,1.00012,6.57279e-3,6.13200,20.30,18.9533,6.31642e-4,0.0267946,20.0434,18.9489,349.651,0.371726,0.0174020
7.94378e-3,1.00002,7.37471e-3,12.2400,21.10,18.7620,5.15338e-4,0.0265241,19.9894,18.7612,355.759,0.449210,0.0174003
7.14756e-3,1.00011,7.33250e-3,18.3320,22.00,18.7507,4.20053e-4,0.0265082,20.0151,18.7465,361.850,0.404185,0.0174019
6.97500e-3,0.999669,7.30783e-3,24.4240,22.91,18.8201,3.47832e-4,0.0266063,20.0321,18.8326,367.943,0.394427,0.0173942
7.64140e-3,1.00005,7.29598e-3,30.5360,23.80,18.6195,2.93836e-4,0.0263227,20.0215,18.6175,374.055,0.432111,0.0174009
7.02312e-3,0.999979,7.29331e-3,36.6280,24.66,18.5625,2.53001e-4,0.0262421,20.0241,18.5633,380.147,0.397148,0.0173996
6.95620e-3,0.999939,7.31091e-3,42.7240,25.52,19.1369,2.20676e-4,0.0270542,20.0279,19.1393,386.242,0.393364,0.0173989
6.89813e-3,0.999973,7.33856e-3,48.8400,26.36,18.9299,1.95236e-4,0.0267615,20.0254,18.9309,392.359,0.390080,0.0173995
7.35006e-3,1.00003,7.37186e-3,54.9360,27.18,19.3046,1.74670e-4,0.0272912,20.0208,19.3036,398.454,0.415636,0.0174004
6.93364e-3,0.999991,7.41008e-3,61.0320,27.98,19.3568,1.57809e-4,0.0273651,20.0209,19.3572,404.551,0.392088,0.0173998
7.25271e-3,1.00005,7.44237e-3,67.1280,28.82,19.4737,1.42715e-4,0.0275303,20.0283,19.4716,410.647,0.410131,0.0174009
7.62030e-3,1.00012,7.46935e-3,73.2400,29.61,19.5900,1.30578e-4,0.0276947,20.0368,19.5854,416.759,0.430918,0.0174020
7.02839e-3,1.00009,7.49617e-3,79.3360,30.44,19.8278,1.19496e-4,0.0280309,20.0584,19.8243,422.854,0.397446,0.0174015
7.44412e-3,1.00021,7.52030e-3,85.4360,31.27,19.6061,1.06398e-4,0.0277174,20.0234,19.5976,428.954,0.420955,0.0174037
7.53045e-3,0.999927,7.50882e-3,91.5360,32.07,20.1838,9.62531e-5,0.0285342,20.0152,20.1867,435.055,0.425837,0.0173987
7.60145e-3,0.999887,7.51718e-3,97.6320,32.91,19.9950,8.77712e-5,0.0282673,20.0088,19.9995,441.151,0.429852,0.0173980
7.74991e-3,1.00001,7.53295e-3,103.736,33.70,19.4223,8.12360e-5,0.0274576,20.0407,19.4220,447.255,0.438247,0.0174001
7.32622e-3,0.999881,7.56108e-3,109.836,34.53,19.9333,7.56693e-5,0.0281800,20.0386,19.9380,453.354,0.414288,0.0173979
8.06023e-3,0.999864,7.59558e-3,115.924,35.32,19.7917,7.12030e-5,0.0279799,20.0253,19.7971,459.443,0.455795,0.0173976
9.39522e-3,1.00088,7.62830e-3,122.028,36.15,19.9075,6.72359e-5,0.0281435,20.0085,19.8726,465.547,0.531287,0.0174152
7.50564e-3,1.00012,7.66918e-3,128.140,36.95,19.8890,6.39134e-5,0.0281174,20.0213,19.8843,471.659,0.424434,0.0174020
7.47365e-3,1.00016,7.71335e-3,134.240,37.77,20.1710,6.09103e-5,0.0285161,20.0111,20.1647,477.759,0.422625,0.0174027
7.67475e-3,1.00019,7.75937e-3,140.340,38.59,19.9553,5.82601e-5,0.0282112,20.0135,19.9479,483.858,0.433997,0.0174032
8.62261e-3,1.00326,7.81068e-3,146.432,39.41,19.3801,5.59607e-5,0.0273979,20.0310,19.2545,489.951,0.487597,0.0174566
7.36825e-3,0.999979,7.87671e-3,152.540,40.25,19.1971,5.38753e-5,0.0271393,20.0268,19.1979,496.059,0.416665,0.0173996
7.44661e-3,0.999973,7.94975e-3,158.636,41.04,19.4823,5.21906e-5,0.0275424,20.0038,19.4833,502.155,0.421096,0.0173995
7.65093e-3,0.999881,8.41564e-3,164.728,41.85,18.9553,5.30342e-5,0.0267974,20.0602,18.9598,508.246,0.432650,0.0173979
7.57991e-3,0.999904,8.53391e-3,170.832,42.70,18.5606,5.17084e-5,0.0262395,20.0331,18.5642,514.351,0.428634,0.0173983
7.80788e-3,0.999824,9.12801e-3,176.928,43.49,18.2717,5.32727e-5,0.0258310,20.0417,18.2781,520.446,0.441525,0.0173969
7.85194e-3,0.999841,0.0106073,183.036,44.31,18.5387,5.96915e-5,0.0262084,20.0611,18.5445,526.555,0.444017,0.0173972
7.90310e-3,0.999996,0.0125993,189.132,45.11,18.2029,6.85596e-5,0.0257337,20.0139,18.2030,532.651,0.446910,0.0173999
8.02447e-3,1.00009,0.0152964,195.236,45.95,18.2966,8.04584e-5,0.0258662,20.0009,18.2932,538.755,0.453773,0.0174016
8.30875e-3,1.00009,0.0186409,201.340,46.74,17.8016,9.49586e-5,0.0251664,20.0268,17.7984,544.859,0.469849,0.0174015
7.76437e-3,1.00024,0.0192212,207.440,47.57,17.7089,9.49757e-5,0.0250354,20.0195,17.7005,550.958,0.439065,0.0174041
8.28746e-3,0.999812,0.0197961,213.544,48.37,17.0107,9.53105e-5,0.0240483,20.0426,17.0171,557.063,0.468645,0.0173967
8.45115e-3,1.00001,0.0205709,219.644,49.19,18.0299,9.62814e-5,0.0254892,20.0270,18.0294,563.162,0.477901,0.0174002
8.99194e-3,1.00012,0.0219672,225.744,49.98,17.4611,9.99607e-5,0.0246850,20.0297,17.4570,569.263,0.508482,0.0174020
9.22517e-3,0.999979,0.0237995,231.836,50.81,17.3384,1.05289e-4,0.0245116,20.0316,17.3391,575.354,0.521671,0.0173996
0.0309247,0.998433,0.0266182,237.940,51.63,21.9059,1.14588e-4,0.0309687,20.0534,21.9747,581.458,1.74875,0.0173727
0.0101589,0.999525,0.0310284,244.036,52.43,16.6523,1.30124e-4,0.0235417,20.0183,16.6682,587.555,0.574471,0.0173917
0.0405831,0.998106,0.0341559,250.136,53.26,23.8725,1.39627e-4,0.0337490,20.0071,23.9632,593.654,2.29492,0.0173670
0.325992,1.00172,0.0373341,256.232,54.07,54.9916,1.48885e-4,0.0777426,20.0214,54.8029,599.750,18.4344,0.0174299
0.597499,0.999979,0.0401237,262.332,54.87,87.2445,1.56148e-4,0.123339,20.0268,87.2481,605.851,33.7878,0.0173996
0.942699,1.00258,0.0434814,268.428,55.69,123.349,1.65129e-4,0.174380,20.0025,122.715,611.947,53.3084,0.0174448
1.21049,1.00031,0.0472869,274.528,56.52,164.964,1.75529e-4,0.233212,20.0336,164.863,618.047,68.4517,0.0174053
0.0138141,0.999307,0.0527950,280.640,57.32,15.2637,1.91558e-4,0.0215786,20.0351,15.2849,624.159,0.781169,0.0173879
0.0166087,1.00023,0.0578997,286.736,58.14,16.4302,2.05657e-4,0.0232276,20.0376,16.4227,630.255,0.939200,0.0174039
0.0227203,1.00047,0.0663716,292.836,58.94,18.9592,2.30806e-4,0.0268029,20.0356,18.9415,636.354,1.28480,0.0174081
0.0440154,1.00136,0.0733757,298.928,59.77,22.2908,2.50553e-4,0.0315129,20.0521,22.2301,642.447,2.48901,0.0174237
0.0524612,0.998715,0.0815983,305.028,60.58,25.1965,2.73396e-4,0.0356207,20.0526,25.2614,648.547,2.96661,0.0173776
0.123948,0.986485,0.0915372,311.136,61.39,34.0090,3.00575e-4,0.0480791,20.0454,34.9473,654.654,7.00909,0.0171648
0.369759,1.00847,0.0988161,317.232,62.22,51.7048,3.18294e-4,0.0730959,19.9860,50.8396,660.750,20.9094,0.0175474
0.0796910,1.01693,0.112746,323.328,63.02,20.8210,3.55037e-4,0.0294350,20.0056,20.1334,666.846,4.50642,0.0176946
0.0738373,0.995123,0.122862,329.428,63.86,20.6773,3.78483e-4,0.0292318,20.0181,20.8804,672.947,4.17540,0.0173151
0.0410912,0.991249,0.124105,335.536,64.67,14.3182,3.74551e-4,0.0202419,20.0138,14.5721,679.055,2.32365,0.0172477
0.0610941,0.998537,0.123149,341.632,65.48,27.6633,3.64294e-4,0.0391080,20.0233,27.7444,685.151,3.45479,0.0173745
0.0723663,0.999738,0.120525,347.728,66.27,11.8935,3.49598e-4,0.0168141,20.0326,11.8998,691.247,4.09222,0.0173954
0.129952,0.990939,0.115818,353.844,67.10,31.4322,3.35616e-4,0.0444362,20.0501,32.0096,697.362,7.34863,0.0172423
0.0818405,1.01720,0.136283,359.936,67.91,7.09937,3.84353e-4,0.0100365,20.0554,6.86127,703.455,4.62797,0.0176993
0.260936,1.00789,0.165926,366.028,68.73,44.5789,4.58742e-4,0.0630219,20.0098,43.8834,709.547,14.7556,0.0175373
0.0942866,1.00492,0.214846,372.144,69.54,4.66983,5.82943e-4,6.60181e-3,20.0236,4.62420,715.663,5.33178,0.0174856
0.0988647,0.998255,0.271306,378.228,70.35,7.46026,7.24222e-4,0.0105467,20.0528,7.48637,721.747,5.59067,0.0173696
0.150205,1.00450,0.352261,384.340,71.18,20.8051,9.24922e-4,0.0294125,20.0593,20.6192,727.859,8.49389,0.0174782
0.257479,1.00165,0.441980,390.428,71.97,43.6561,1.14336e-3,0.0617174,20.0395,43.5128,733.947,14.5601,0.0174286
0.324807,0.999249,0.539355,396.536,72.78,38.5492,1.37298e-3,0.0544977,20.0291,38.6072,740.055,18.3674,0.0173869
0.318738,0.999537,0.710225,402.640,73.61,37.7157,1.77861e-3,0.0533193,20.0235,37.7507,746.159,18.0242,0.0173919
0.453639,0.994904,0.933356,408.732,74.39,70.2668,2.30366e-3,0.0993373,20.0479,70.9884,752.250,25.6527,0.0173113
0.416855,1.00304,1.29320,414.828,75.26,63.4258,3.14302e-3,0.0896661,20.0277,63.0416,758.346,23.5726,0.0174529
0.634041,0.997962,1.71686,420.936,76.03,115.249,4.11828e-3,0.162929,19.9922,115.720,764.455,35.8542,0.0173645
0.422581,0.999525,2.34086,427.032,76.87,71.0234,5.52812e-3,0.100407,20.0376,71.0909,770.551,23.8964,0.0173917
0.966254,0.998169,3.07392,433.148,77.68,176.326,7.15887e-3,0.249275,20.0184,176.974,776.667,54.6404,0.0173681
2.41367,1.00277,4.14481,439.236,78.49,432.071,9.50556e-3,0.610826,20.0173,429.685,782.755,136.490,0.0174482
12.5337,1.00039,5.39596,445.332,79.32,1721.83,0.0121949,2.43418,20.0314,1720.48,788.851,708.765,0.0174068
15.9413,0.997881,7.25616,451.440,80.13,1825.19,0.0161150,2.58030,20.0018,1832.95,794.958,901.458,0.0173631
31.9990,0.999387,9.82573,457.536,80.97,3500.86,0.0214784,4.94923,20.0255,3505.16,801.055,1809.50,0.0173893
44.6647,0.999060,12.8836,463.640,81.76,5040.42,0.0277888,7.12573,20.0381,5049.92,807.159,2525.73,0.0173836
52.6355,0.999042,16.8959,469.728,82.57,5937.42,0.0359381,8.39383,20.0179,5948.81,813.247,2976.47,0.0173833
70.4156,0.997111,21.8507,475.832,83.37,6688.09,0.0459926,9.45507,20.0289,6726.90,819.351,3981.91,0.0173497
92.7123,0.998042,28.4730,481.940,84.21,8162.10,0.0592775,11.5389,20.0283,8194.15,825.458,5242.76,0.0173659
97.5717,0.998698,36.5971,488.036,85.00,8911.83,0.0753645,12.5988,20.0121,8935.09,831.555,5517.55,0.0173773
107.201,0.999249,47.3969,494.128,85.81,10144.7,0.0965852,14.3417,20.0257,10159.9,837.646,6062.07,0.0173869
117.336,1.00077,60.9264,500.232,86.63,11286.3,0.122936,15.9556,19.9856,11268.9,843.750,6635.21,0.0174134
126.210,0.996991,78.7678,506.328,87.43,11237.4,0.154423,15.8865,20.0256,11305.3,849.846,7136.99,0.0173476
140.346,0.998778,97.4047,512.440,88.25,12500.1,0.190330,17.6716,20.0124,12530.7,855.958,7936.39,0.0173787
155.879,0.997778,117.421,518.536,89.07,13752.8,0.226600,19.4426,20.0408,13814.1,862.055,8814.74,0.0173613
170.623,0.998738,132.661,524.640,89.89,14755.1,0.253057,20.8595,20.0033,14792.4,868.159,9648.52,0.0173780
193.375,0.995312,150.697,530.740,90.69,15542.9,0.282487,21.9732,20.0378,15689.6,874.258,10935.1,0.0173184
187.638,1.00701,166.491,536.832,91.51,16121.3,0.309033,22.7910,20.0188,15897.6,880.350,10610.7,0.0175220
182.300,1.00092,180.802,542.940,92.29,17483.2,0.333004,24.7163,20.0621,17451.0,886.458,10308.8,0.0174160
