Filename,esp_0dot5
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_dot5
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
6.88262e-3,6.49396e-3,0.0473294,1.17604,25.09,25.6671,
2.46273e-4,7.10298e-3,0.0926116,3.53898,25.08,25.5602,0.0104375
4.84664e-4,7.68124e-3,0.117748,5.83274,25.05,23.8624,0.0119963
7.11240e-4,8.46043e-3,0.140984,8.06096,25.04,23.6659,0.0120244
9.57863e-4,9.32177e-3,0.166064,10.3547,25.03,21.9801,0.0117298
1.18083e-3,0.0102503,0.186230,12.6485,25.02,21.9112,0.0114839
1.35527e-3,0.0111823,0.202117,14.8767,25.01,21.2317,0.0112171
1.64314e-3,0.0122653,0.219360,17.1705,25.00,20.7124,0.0109331
1.94151e-3,0.0134559,0.236777,19.4642,24.99,19.9655,0.0107301
2.27972e-3,0.0147038,0.251427,21.6924,24.99,19.3708,0.0106855
2.63682e-3,0.0161236,0.264085,23.9862,24.98,18.3095,0.0105995
3.04036e-3,0.0176706,0.274369,26.2800,24.98,18.3170,0.0105036
3.40633e-3,0.0193290,0.280424,28.5082,24.97,17.7702,0.0103565
3.83065e-3,0.0211918,0.283502,30.8020,24.97,17.2119,0.0101753
4.24094e-3,0.0232372,0.285053,33.0957,24.97,17.1864,9.93031e-3
4.66977e-3,0.0254094,0.285053,35.3239,24.97,15.8658,9.68280e-3
5.07995e-3,0.0278648,0.283502,37.6177,24.97,15.6068,9.38665e-3
5.54316e-3,0.0305309,0.277380,39.9115,24.97,14.4817,9.07566e-3
5.95624e-3,0.0333735,0.272875,42.1397,24.97,13.6532,8.75625e-3
6.39896e-3,0.0365998,0.266983,44.4334,24.98,13.2994,8.43802e-3
6.86100e-3,0.0401076,0.262647,46.7272,24.97,13.4378,8.11586e-3
7.36598e-3,0.0438432,0.255577,48.9554,24.98,12.3530,7.82706e-3
7.86610e-3,0.0480476,0.248697,51.2492,24.98,11.7266,7.55186e-3
8.46232e-3,0.0526667,0.243327,53.5429,24.98,11.5045,7.28961e-3
9.07243e-3,0.0575004,0.236777,55.7712,24.98,11.0293,7.03321e-3
9.68214e-3,0.0630175,0.227902,58.0649,24.98,10.8192,6.77417e-3
0.0102467,0.0690600,0.221767,60.3587,24.98,10.4255,6.51743e-3
0.0108621,0.0757276,0.213455,62.6524,24.99,9.29835,6.25854e-3
0.0115613,0.0830245,0.205454,64.9462,24.99,8.44820,5.99360e-3
0.0122316,0.0907854,0.196677,67.1744,24.97,7.73283,5.74369e-3
0.0128194,0.0995023,0.187250,69.4682,24.98,7.26560,5.48908e-3
0.0134758,0.109081,0.178274,71.7620,24.99,6.94919,5.22479e-3
0.0141019,0.119231,0.167887,73.9902,24.98,7.11967,4.96307e-3
0.0146847,0.130690,0.158970,76.2839,24.99,6.10756,4.70120e-3
0.0152321,0.143249,0.149707,78.5777,24.99,5.08622,4.43856e-3
0.0158044,0.156640,0.140217,80.8059,24.99,5.04083,4.18203e-3
0.0163136,0.171716,0.131328,83.0997,24.98,4.49739,3.92661e-3
0.0167533,0.188126,0.122333,85.3934,24.99,3.89943,3.68244e-3
0.0172356,0.205745,0.115205,87.6217,24.99,2.24074,3.45626e-3
0.0177106,0.225508,0.107902,89.9154,24.99,2.21369,3.24467e-3
0.0183236,0.247205,0.101615,92.2092,25.00,2.03582,3.05045e-3
0.0190506,0.270092,0.0956944,94.4374,24.98,2.28979,2.87604e-3
0.0196782,0.296100,0.0896281,96.7312,25.00,2.06483,2.71144e-3
0.0203136,0.324620,0.0834894,99.0249,24.99,0.694427,2.54810e-3
0.0210540,0.354879,0.0781968,101.253,24.99,0.864899,2.39224e-3
0.0214343,0.388797,0.0720503,103.547,24.99,0.206873,2.23201e-3
0.0219440,0.426313,0.0660257,105.841,25.00,-0.188726,2.06973e-3
0.0221126,0.465866,0.0608359,108.069,24.99,0.455227,1.92029e-3
0.0222128,0.510674,0.0554455,110.363,24.99,-0.0442229,1.77419e-3
0.0227485,0.559648,0.0491725,112.656,25.00,-1.46520,1.62747e-3
0.0229349,0.612411,0.0424352,114.885,24.99,-1.48266,1.45926e-3
0.0226436,0.670735,0.0348658,117.178,25.00,-1.39220,1.26840e-3
0.0202098,0.734873,0.0278754,119.472,24.99,-2.06804,1.05965e-3
0.0174407,0.803844,0.0208738,121.700,24.98,-2.61327,8.55181e-4
0.0147252,0.880845,0.0155457,123.994,25.00,-3.86463,6.61794e-4
0.0122258,0.965464,0.0116410,126.288,24.98,-3.26675,5.01170e-4
0.0100482,1.05484,8.95819e-3,128.516,24.99,-4.14387,3.86415e-4
8.05682e-3,1.15736,7.24073e-3,130.810,25.00,-4.82449,3.03289e-4
7.22943e-3,1.26756,6.04736e-3,133.104,24.99,-5.88382,2.47337e-4
7.14293e-3,1.38523,5.33398e-3,135.332,24.99,-6.11763,2.10485e-4
6.95865e-3,1.51936,4.83490e-3,137.626,25.00,-6.35236,1.87407e-4
6.95257e-3,1.66456,4.38252e-3,139.919,24.99,-6.72460,1.69750e-4
7.19545e-3,1.81977,4.08236e-3,142.148,25.00,-6.60777,1.56289e-4
6.97003e-3,1.99421,3.84449e-3,144.441,24.99,-7.43859,1.46014e-4
7.39251e-3,2.18643,3.62049e-3,146.735,24.99,-7.33998,1.38188e-4
7.83814e-3,2.38932,3.42819e-3,148.963,25.00,-8.06790,1.30816e-4
8.34931e-3,2.61880,3.26387e-3,151.257,24.98,-7.16276,1.24553e-4
8.58960e-3,2.87059,3.07370e-3,153.551,25.00,-6.95792,1.18226e-4
8.60753e-3,3.13798,2.91044e-3,155.779,24.99,-7.16649,1.12251e-4
9.00692e-3,3.43922,2.78611e-3,158.073,25.00,-6.23108,1.06847e-4
9.48193e-3,3.76938,2.71111e-3,160.367,24.99,-7.34299,1.02914e-4
0.0103077,4.12044,2.60949e-3,162.595,24.99,-6.88777,9.98426e-5
0.0112287,4.51584,2.55314e-3,164.889,24.99,-7.26320,9.65438e-5
0.0116453,4.95021,2.48441e-3,167.182,25.00,-6.88808,9.40473e-5
0.0120015,5.41061,2.40438e-3,169.411,25.00,-6.90570,9.22741e-5
0.0131257,5.93043,2.31425e-3,171.704,24.99,-7.55207,8.91471e-5
0.0147366,6.49966,2.25195e-3,173.998,25.00,-6.04604,8.64788e-5
0.0148975,7.10533,2.15575e-3,176.226,24.99,-6.89777,8.37725e-5
0.0157681,7.78719,2.05242e-3,178.520,24.99,-5.21695,8.09453e-5
0.0160940,8.53538,1.99717e-3,180.814,24.99,-6.22080,7.75097e-5
0.0174623,9.35473,1.95404e-3,183.108,24.99,-6.20005,7.55187e-5
0.0187497,10.2529,1.94341e-3,185.401,25.00,-6.97157,7.41186e-5
0.0206517,11.2075,1.92231e-3,187.630,25.00,-6.18747,7.33332e-5
0.0226506,12.2842,1.91185e-3,189.923,25.00,-5.84927,7.27233e-5
0.0240571,13.4630,1.90144e-3,192.217,25.00,-5.60462,7.24185e-5
