Filename,esp_0dot5
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_dot5
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
4.13502e-3,1.00000,0.0160079,6.13200,20.25,-22.5709,5.75308e-4
3.20669e-3,1.00009,0.0137033,12.2360,20.95,-13.2362,3.20257e-4
2.81957e-3,1.00010,0.0121548,18.3320,21.83,-1.02925,1.91871e-4
2.62659e-3,1.00005,0.0107648,24.4400,22.70,8.31836,1.19020e-4
2.58519e-3,1.00005,0.0101820,30.5440,23.62,10.6091,8.69188e-5
2.29188e-3,1.00007,0.0101312,36.6400,24.52,11.3950,7.11844e-5
2.45665e-3,1.00001,0.0100191,42.7320,25.41,9.47608,5.97022e-5
2.74466e-3,1.00003,9.92861e-3,48.8440,26.29,8.36943,5.14933e-5
2.48319e-3,1.00006,0.0104061,54.9360,27.14,7.23540,4.79561e-5
2.46703e-3,0.999881,0.0106338,61.0240,27.98,8.06993,4.39398e-5
2.90074e-3,1.00007,0.0104740,67.1240,28.82,6.94816,3.92467e-5
2.73918e-3,0.999973,0.0105366,73.2360,29.63,5.59679,3.62477e-5
2.54151e-3,0.999996,0.0108215,79.3320,30.44,3.04905,3.43096e-5
2.56273e-3,1.00000,0.0103866,85.4320,31.27,0.757563,3.05292e-5
2.81803e-3,1.00008,0.0101882,91.5280,32.09,-0.755618,2.79599e-5
2.36566e-3,0.999985,0.0102923,97.6400,32.90,-2.76766,2.64516e-5
2.48574e-3,0.999887,0.0101954,103.732,33.73,-4.66671,2.46357e-5
2.67350e-3,1.00006,9.53047e-3,109.828,34.54,-6.52131,2.17602e-5
2.44697e-3,1.00010,8.92807e-3,115.932,35.34,-8.86486,1.93034e-5
2.01083e-3,0.999927,8.50418e-3,122.032,36.16,-11.0975,1.74542e-5
1.69719e-3,1.00002,8.28905e-3,128.136,36.98,-13.1971,1.62068e-5
1.96555e-3,0.999927,8.00325e-3,134.228,37.77,-17.6182,1.49492e-5
2.34357e-3,0.999675,8.23043e-3,140.324,38.61,-30.6184,1.46912e-5
2.05793e-3,0.999847,8.50477e-3,146.436,39.40,-38.2475,1.45676e-5
2.29931e-3,0.999904,0.0100285,152.532,40.25,-26.3657,1.64631e-5
2.00620e-3,1.00000,9.99398e-3,158.624,41.04,-30.1142,1.58007e-5
4.41400e-3,0.999261,0.0105087,164.728,41.87,-38.1124,1.59744e-5
2.35012e-3,1.00023,0.0108031,170.828,42.67,-31.5992,1.58443e-5
2.62588e-3,0.999881,0.0125543,176.936,43.48,-39.1010,1.77816e-5
2.64570e-3,0.999973,0.0119839,183.028,44.30,-32.1563,1.64017e-5
4.25121e-3,0.999715,0.0135480,189.132,45.12,-38.0329,1.79357e-5
3.52364e-3,0.999870,0.0148103,195.228,45.95,-32.5782,1.89912e-5
4.29114e-3,1.00012,0.0165972,201.336,46.73,-34.5201,2.06521e-5
4.08457e-3,1.00023,0.0176360,207.444,47.57,-33.7381,2.12834e-5
4.73442e-3,0.999950,0.0193410,213.540,48.38,-36.2143,2.26768e-5
5.71175e-3,1.00001,0.0210134,219.636,49.18,-34.8359,2.39575e-5
5.58954e-3,0.999962,0.0240986,225.728,50.01,-37.0886,2.67188e-5
6.58219e-3,0.999841,0.0268401,231.836,50.82,-42.0501,2.89840e-5
8.00532e-3,0.999899,0.0303231,237.924,51.63,-39.4007,3.19097e-5
8.14357e-3,0.999835,0.0346430,244.036,52.46,-43.4417,3.55322e-5
0.0105678,0.999192,0.0390681,250.128,53.28,-53.6740,3.90915e-5
0.0107524,0.999703,0.0442651,256.236,54.08,-45.0460,4.32651e-5
0.0119672,0.999675,0.0492938,262.336,54.89,-48.1345,4.70734e-5
0.0151105,1.00045,0.0523237,268.436,55.70,-67.7586,4.88102e-5
0.0139717,1.00007,0.0567057,274.532,56.53,-40.5815,5.17119e-5
0.0142004,1.00007,0.0624825,280.620,57.32,-29.8166,5.57834e-5
0.0160088,1.00000,0.0684125,286.732,58.14,-22.9700,5.97285e-5
0.0196061,0.999606,0.0745154,292.824,58.97,-33.8275,6.36920e-5
0.0236609,0.999749,0.0847239,298.932,59.76,-22.9505,7.09809e-5
0.0212668,1.00004,0.0994190,305.024,60.59,3.14821,8.15527e-5
0.0273403,1.00008,0.114613,311.132,61.39,-5.81679,9.22348e-5
0.0351207,0.999537,0.130078,317.224,62.22,4.55068,1.02654e-4
0.0406733,1.00001,0.153274,323.324,63.04,8.00330,1.18591e-4
0.0440444,1.00001,0.171566,329.424,63.83,14.1345,1.30389e-4
