Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-2.18969e-3,6.28995e-3,-0.348125,1.17604,24.93,76.7822,-0.323739,0.108548,23.0085,1940730,1.17604,-0.123824,1.09445e-4
8.56008e-4,6.95194e-3,,3.53898,24.92,76.2743,,0.107830,23.0087,1578210,3.53898,0.0484061,1.20964e-4
1.33522e-3,7.71994e-3,,5.83274,24.93,76.9372,,0.108767,23.0142,1290950,5.83274,0.0755052,1.34327e-4
1.16784e-3,8.54232e-3,,8.06096,24.92,76.0789,,0.107554,23.0136,1042590,8.06096,0.0660397,1.48636e-4
1.82917e-3,9.50924e-3,,10.3547,24.93,75.3806,,0.106567,23.0174,833618,10.3547,0.103437,1.65461e-4
1.69136e-3,0.0102902,,12.6485,24.93,75.3662,,0.106547,23.0057,711758,12.6485,0.0956444,1.79048e-4
1.59046e-4,0.0113061,0.0133420,14.8767,24.93,75.3399,1.19752e-3,0.106509,23.0136,589382,14.8767,8.99386e-3,1.96726e-4
1.49339e-4,0.0123005,0.0135327,17.1705,24.94,76.7221,1.10886e-3,0.108463,23.0082,507075,17.1705,8.44492e-3,2.14029e-4
1.91648e-4,0.0134915,0.0145514,19.4642,24.94,75.8319,1.09543e-3,0.107205,23.0041,416609,19.4642,0.0108374,2.34752e-4
2.16324e-4,0.0146716,0.0146986,21.6924,24.95,75.4054,1.02957e-3,0.106602,23.0124,350305,21.6924,0.0122329,2.55286e-4
2.94075e-4,0.0161746,0.0159345,23.9862,24.95,76.0586,1.04296e-3,0.107525,23.0165,290722,23.9862,0.0166296,2.81438e-4
2.67793e-4,0.0177038,0.0167036,26.2800,24.96,75.7561,1.03577e-3,0.107098,23.0159,241705,26.2800,0.0151433,3.08045e-4
3.44212e-4,0.0193789,0.0185958,28.5082,24.96,76.3446,1.10100e-3,0.107930,23.0129,203291,28.5082,0.0194647,3.37193e-4
