Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0262029,1.00651,,5.00000,20.19,78.4973,,0.110973,22.9855,77.4855,356.461,1.48174,0.0175132
0.0524601,0.998675,0.0681333,9.98400,20.72,80.5826,6.17423e-3,0.113921,23.0388,80.7967,361.445,2.96655,0.0173769
0.0547999,0.999899,0.0612069,14.9520,21.36,85.1210,4.66721e-3,0.120337,23.0522,85.1383,366.413,3.09886,0.0173982
0.115991,1.00557,0.0537896,19.9360,22.08,100.033,3.44065e-3,0.141418,22.9925,98.9285,371.397,6.55915,0.0174968
0.0483810,0.999881,0.0477178,24.9080,22.80,93.3978,2.60136e-3,0.132038,22.9880,93.4199,376.369,2.73588,0.0173979
1.42603,1.20354,0.0431332,29.8840,23.54,95.8608,2.01572e-3,0.135520,23.0334,66.1786,381.345,80.6403,0.0209416
0.0265923,1.00004,0.0403718,34.8520,24.26,97.1807,1.64020e-3,0.137386,23.0236,97.1725,386.313,1.50376,0.0174007
0.0193918,1.00015,0.0392164,39.8280,25.07,98.4575,1.36915e-3,0.139191,23.0176,98.4276,391.289,1.09658,0.0174026
0.0178070,1.00002,0.0401169,44.8080,25.76,103.485,1.24459e-3,0.146298,23.0243,103.481,396.269,1.00696,0.0174003
0.0165871,0.996738,0.0427815,49.7800,26.46,103.531,1.18012e-3,0.146363,23.0353,104.209,401.241,0.937978,0.0173432
0.0171224,1.00001,0.0472781,54.7560,27.14,105.047,1.17267e-3,0.148506,23.0467,105.045,406.217,0.968249,0.0174001
0.0169586,1.00012,0.0535303,59.7280,27.82,105.407,1.14806e-3,0.149015,23.0366,105.381,411.189,0.958989,0.0174021
0.0167506,0.999985,0.0596332,64.6960,28.50,103.212,1.13300e-3,0.145912,23.0288,103.215,416.157,0.947224,0.0173997
0.0174469,0.999904,0.0665662,69.6840,29.22,104.103,1.12706e-3,0.147172,23.0114,104.123,421.145,0.986600,0.0173983
0.0178126,1.00001,0.0733293,74.6480,29.89,105.953,1.12765e-3,0.149788,23.0305,105.952,426.109,1.00728,0.0174001
0.0190006,0.999680,0.0801832,79.6280,30.53,106.546,1.13353e-3,0.150626,22.9992,106.614,431.089,1.07446,0.0173944
0.0243408,0.999652,0.0881061,84.6080,31.19,106.946,1.15291e-3,0.151192,22.9854,107.021,436.069,1.37644,0.0173939
0.0302506,0.998152,0.0970614,89.5760,31.83,108.614,1.18542e-3,0.153550,22.9948,109.017,441.037,1.71063,0.0173678
0.215084,0.998347,0.109099,94.5520,32.50,132.963,1.24856e-3,0.187972,23.0294,133.404,446.013,12.1627,0.0173712
0.568942,0.983881,0.123145,99.5400,33.14,159.980,1.32889e-3,0.226166,23.0210,165.264,451.001,32.1729,0.0171195
1.25766,1.00362,0.143912,104.512,33.88,205.671,1.46020e-3,0.290761,23.0335,204.192,455.973,71.1190,0.0174629
1.08944,0.999083,0.164180,109.484,34.52,171.326,1.58353e-3,0.242206,23.0372,171.640,460.945,61.6061,0.0173840
0.411348,0.998922,0.187832,114.460,35.17,170.127,1.72539e-3,0.240512,23.0331,170.495,465.921,23.2612,0.0173812
0.464011,1.01565,0.213977,119.428,35.83,167.688,1.87536e-3,0.237063,23.0214,162.561,470.889,26.2392,0.0176722
0.223473,1.00913,0.241178,124.408,36.49,141.715,2.02216e-3,0.200345,23.0350,139.163,475.869,12.6371,0.0175588
0.510718,1.00046,0.267520,129.384,37.13,193.893,2.15281e-3,0.274110,23.0254,193.716,480.845,28.8804,0.0174079
0.351154,0.998663,0.292998,134.352,37.80,168.827,2.26339e-3,0.238674,23.0331,169.280,485.813,19.8573,0.0173767
0.581794,1.00009,0.315302,139.328,38.52,223.055,2.33555e-3,0.315336,23.0358,223.013,490.789,32.8997,0.0174016
0.458752,0.996514,0.332257,144.312,39.18,194.147,2.37080e-3,0.274469,23.0305,195.508,495.773,25.9418,0.0173393
0.276960,1.00002,0.344437,149.276,39.84,157.662,2.37124e-3,0.222889,23.0100,157.656,500.737,15.6617,0.0174003
0.813386,0.997318,0.353323,154.260,40.48,289.185,2.35218e-3,0.408825,23.0349,290.742,505.721,45.9959,0.0173533
1.00668,0.999686,0.358876,159.228,41.13,339.128,2.31309e-3,0.479431,23.0060,339.341,510.689,56.9266,0.0173945
0.182273,0.979209,0.363191,164.200,41.78,151.277,2.26745e-3,0.213863,23.0148,157.769,515.661,10.3073,0.0170382
0.250471,0.996611,0.367103,169.176,42.52,216.192,2.21313e-3,0.305634,23.0477,217.665,520.637,14.1638,0.0173410
0.258508,1.00177,0.373799,174.160,43.17,221.534,2.18722e-3,0.313187,23.0400,220.751,525.621,14.6183,0.0174308
0.440424,1.00155,0.382803,179.132,43.82,328.105,2.17695e-3,0.463847,23.0309,327.091,530.593,24.9054,0.0174269
0.368417,0.998324,0.394890,184.100,44.45,324.448,2.18542e-3,0.458678,23.0014,325.539,535.561,20.8335,0.0173708
0.0442744,0.996922,0.410796,189.084,45.12,118.952,2.21063e-3,0.168164,23.0110,119.687,540.545,2.50366,0.0173464
0.116892,0.999973,0.430313,194.056,45.78,162.457,2.25436e-3,0.229668,23.0061,162.466,545.517,6.61010,0.0173995
0.174755,0.995887,0.453570,199.020,46.43,183.599,2.31602e-3,0.259557,23.0170,185.119,550.481,9.88215,0.0173284
0.652030,0.999347,0.485108,204.008,47.15,400.290,2.41053e-3,0.565896,23.0173,400.813,555.469,36.8714,0.0173886
0.601530,0.999450,0.520370,208.972,47.81,452.827,2.52265e-3,0.640169,23.0289,453.325,560.433,34.0157,0.0173904
