Filename,esp_4
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_4
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
7.40954e-4,7.07284e-3,0.0290372,3.48115,25.05,43.5978,0.0395538
7.82484e-4,7.81037e-3,0.0279829,5.83274,25.03,43.1967,0.0242054
8.24458e-4,8.54360e-3,0.0268476,8.06096,25.03,41.1945,0.0170481
8.57390e-4,9.37318e-3,0.0256063,10.3547,25.01,41.9641,0.0121192
8.83266e-4,0.0102803,0.0244586,12.6485,24.99,41.3464,9.39830e-3
8.99618e-4,0.0112287,0.0232245,14.8767,25.00,41.8340,7.67373e-3
9.26223e-4,0.0123057,0.0221507,17.1705,24.99,41.3763,6.38378e-3
9.51513e-4,0.0134887,0.0210954,19.4642,24.98,42.0621,5.42992e-3
9.68650e-4,0.0147499,0.0200606,21.6924,24.97,41.4633,4.70482e-3
1.00221e-3,0.0161628,0.0189360,23.9862,24.98,40.9480,4.10487e-3
1.01377e-3,0.0177249,0.0179806,26.2800,24.97,41.8677,3.60167e-3
1.03353e-3,0.0193693,0.0170733,28.5082,24.97,40.5917,3.20455e-3
1.04524e-3,0.0212390,0.0161879,30.8020,24.96,40.7052,2.83956e-3
1.07362e-3,0.0232656,0.0153030,33.0957,24.97,40.6288,2.54102e-3
1.07733e-3,0.0254396,0.0145094,35.3239,24.97,40.4723,2.29268e-3
1.10675e-3,0.0278997,0.0139207,37.6177,24.96,39.2723,2.07081e-3
1.13867e-3,0.0305679,0.0131988,39.9115,24.97,39.2268,1.87964e-3
1.15583e-3,0.0333896,0.0124773,42.1397,24.98,39.1700,1.72085e-3
1.18889e-3,0.0366019,0.0119004,44.4334,24.97,39.0332,1.57080e-3
1.21074e-3,0.0401143,0.0112388,46.7272,24.97,39.0062,1.42674e-3
1.23184e-3,0.0438614,0.0106665,48.9554,24.98,38.7506,1.30773e-3
1.22139e-3,0.0480733,0.0101734,51.2492,24.98,38.5457,1.19944e-3
1.26848e-3,0.0527266,9.70300e-3,53.5429,24.98,38.8409,1.10058e-3
1.31581e-3,0.0575495,9.29555e-3,55.7712,24.98,38.1795,1.01528e-3
1.33739e-3,0.0629925,8.91840e-3,58.0649,24.98,38.0972,9.44312e-4
1.35881e-3,0.0691370,8.46840e-3,60.3587,24.98,37.8768,8.78581e-4
1.41306e-3,0.0757530,8.17303e-3,62.6524,24.98,37.2971,8.21602e-4
1.47979e-3,0.0830130,7.87629e-3,64.9462,24.98,37.6526,7.65706e-4
1.55313e-3,0.0907857,7.59033e-3,67.1744,24.98,37.3734,7.22436e-4
1.54456e-3,0.0995604,7.19670e-3,69.4682,24.99,36.8814,6.79390e-4
1.65216e-3,0.109133,7.01797e-3,71.7620,24.98,37.5089,6.43499e-4
1.69851e-3,0.119291,6.76317e-3,73.9902,24.98,36.4805,6.01019e-4
1.83589e-3,0.130501,6.52728e-3,76.2839,24.99,36.9122,5.70974e-4
1.77613e-3,0.143447,6.32762e-3,78.5777,24.99,36.7980,5.44067e-4
1.92173e-3,0.156662,6.17048e-3,80.8059,24.99,36.2731,5.15257e-4
2.11373e-3,0.171534,5.97290e-3,83.0997,24.99,36.0525,4.91539e-4
2.06718e-3,0.188114,5.75605e-3,85.3934,24.98,36.5393,4.72839e-4
2.32501e-3,0.205690,5.55528e-3,87.6217,24.99,36.9170,4.49915e-4
2.35045e-3,0.225446,5.37475e-3,89.9154,24.99,35.5754,4.25261e-4
2.38690e-3,0.247517,5.24386e-3,92.2092,24.98,35.8278,4.06728e-4
2.55315e-3,0.269824,5.07595e-3,94.4374,25.00,36.9078,3.87987e-4
2.65911e-3,0.296072,4.95722e-3,96.7312,24.99,36.2214,3.73447e-4
