Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference,,
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,Scanning Tip,7,100,0.1,NA,0.5,800,120,61,NA,Chang 2008,,
MEH-PPV,380000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,Si,0.5,1300,500,100,100,Camillo 2013,,
MEH-PPV,380000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,SiO2,0.5,1300,500,100,100,Camillo 2013,,
PEO,300000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,Si,0.5,1300,500,100,100,Camillo 2013,,
PEO,300000,toluene,28.53,2.38,110.6,0.8623,3.8,typical,0.08,260,50,SiO2,0.5,1300,500,100,100,Camillo 2013,,
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,1,210,1,C/Si,1,200,40,50.7,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,2,210,1,C/Si,1,300,40,188.2,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,3,210,1,C/Si,1,400,40,366.5,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,NA,210,1,C/Si,1,400,20,422.5,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,NA,210,1,C/Si,1,400,40,365.3,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,NA,210,1,C/Si,1,400,60,204.7,NA,Madou2011,,TRUE
PEO,4000000,Water,72.8,80.1,99.974,1,2.3393,LV NFES,NA,210,1,C/Si,1,400,80,185.2,NA,Madou2011,,TRUE
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,6,NA,NA,NA,7.5,900,400,275,5,Huang 2015,,
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si,2.5,3500,133,289.26,50,Min 2013,,
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,SiO2,2.5,3500,133,289.26,50,Min 2013,,
PEO,200000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,Suspension,14,250,10.8,Si,5.25,1600,150,300,300,Nagle 2019,,
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,0.5,1000,200,300,25,Sun 2006,,
PEO,200000,Water,72.8,80.1,99.974,1,2.3393,Suspension,14,250,10.8,Si,5.25,1600,150,300,300,Nagle 2019,,
PLGA,NA,Dimethylcarbonate DMC,28.3,3.087,90.5,1.0636,7.4,TPES,NA,NA,NA,PTFE,NA,NA,NA,304.7,NA,Coppola 2014,,
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,8,400,NA,Si,0.5,1100,200,740,20,Fuh 2011,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,NA,NA,2.4,1600,60,1540,NA,Fattahi 2017,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2,1600,60,1860,NA,Fattahi 2017,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,50,NA,2,1600,60,1860,NA,Fattahi 2017,,
PVDF,440000,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Helix EHD,18,260,24,PDMS,30,2250,6.667,2250,NA,Duang 2017,,
Gelatin,NA,AceticAcid,26.5555,6.17,117.971,1.051,1.52,NFES,11,NA,NA,PDMS,1.25,1000,NA,2500,40,Xue 2014,,
Gelatin,NA,Ethylacetate,23.17,6.02,77.1,0.902,10,NFES,11,NA,NA,PDMS,1.25,1000,NA,2500,40,Xue 2014,,
PEO,30000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,Blow EDW,8,210,30,Si,2,2000,10.5,3730,5.13,Jiang 2018,,
PEO,30000,Water,72.8,80.1,99.974,1,2.3393,Blow EDW,8,210,30,Si,2,2000,10.5,3730,5.13,Jiang 2018,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,NA,NA,1.6,1600,60,3810,NA,Fattahi 2017,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,150,NA,2,1600,60,3960,NA,Fattahi 2017,,
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,26,NA,50,NA,2,1600,60,4730,NA,Fattahi 2017,,
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,NFES,16,40,NA,Si,1,1700,360,5150,NA,Zheng 2010,,
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,NFES,18,40,NA,Si,1,1700,360,5150,NA,Zheng 2010,,
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,16,40,NA,Si,1,1700,360,5150,NA,Zheng 2010,,
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,18,40,NA,Si,1,1700,360,5150,NA,Zheng 2010,,
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,120,NA,2,2200,NA,5470,4000,Wang 2015,,
PEO,300000,Ethanol,21.8433,24.5,78.24,0.7893,5.8,EDW,14,210,50,PET,2,3000,700,25000,70,Zheng 2014,,
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,EDW,14,210,50,PET,2,3000,700,25000,70,Zheng 2014,,
POSS-PCL-PCU,2000,Butanol,24.1947,17.4849,117.7,0.8098,0.58,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007,,
POSS-PCL-PCU,2000,Dimethylacetamide DMAC,34,23,165,0.9366,0.33,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007,,
POSS-PCU,2000,Butanol,24.1947,17.4849,117.7,0.8098,0.58,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007,,
POSS-PCU,2000,Dimethylacetamide DMAC,34,23,165,0.9366,0.33,EHD jetting,20,750,60,NA,1.25,9000,10,27500,250,Gupta 2007,,
PVDF,534000,Nmethylpyrrolidone Acetone,NA,NA,NA,NA,NA,NFES,12,NA,80,Si,5,1200,30,42258.81,263.14,Lei 2015,,
PCL,45028,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,70,311,NA,NA,NA,NA,200,59960,NA,Parajuli 2017,,
PVDF,534000,NMethylpyrrolidone Acetone,NA,NA,NA,NA,NA,NFES,12,NA,80,Si,5,1200,30,63262.15,NA,Lei 2015,,
PCL,45027,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,60,311,NA,NA,NA,NA,NA,65890,NA,Parajuli 2017,,
PCL,45026,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,50,311,NA,NA,NA,NA,NA,69250,NA,Parajuli 2017,,
PCL,45025,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,45,311,NA,NA,NA,NA,NA,71220,NA,Parajuli 2017,,
PCL,45023,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,71680,NA,Parajuli 2017,,
PCL,45022,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,79270,NA,Parajuli 2017,,
PCL,45021,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,86760,NA,Parajuli 2017,,
PCL,45014,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,NA,89680,NA,Parajuli 2017,,
PCL,45020,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,92820,NA,Parajuli 2017,,
PCL,45011,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,NA,104920,NA,Parajuli 2017,,
PCL,45013,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,NA,109300,NA,Parajuli 2017,,
PCL,45024,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,25,311,NA,NA,NA,NA,NA,110800,NA,Parajuli 2017,,
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,3,2,NA,Si,30,450,5,115000,NA,Song 2015,,
PCL,45012,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,NA,123080,NA,Parajuli 2017,,
PCL,45018,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,124510,NA,Parajuli 2017,,
PCL,45009,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,14,NA,NA,129850,NA,Parajuli 2017,,
PCL,45008,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,12,NA,NA,130780,NA,Parajuli 2017,,
PCL,45017,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,131370,NA,Parajuli 2017,,
PCL,45019,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,131840,NA,Parajuli 2017,,
PCL,45016,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,132160,NA,Parajuli 2017,,
PCL,45015,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,NA,136040,NA,Parajuli 2017,,
