Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
1.28E-08,6.38E-03,2.01198,3.26241,19.97,-2.60E-05
4.30E-10,7.34E-03,0.0585615,10.5791,19.97,-2.67E-05
4.76E-10,8.23E-03,0.0578841,17.5637,19.98,-2.77E-05
4.73E-10,9.22E-03,0.0512652,24.576,19.98,-2.78E-05
5.47E-10,0.0103108,0.0530257,31.5228,19.99,-2.85E-05
5.87E-10,0.0115446,0.0508404,38.4697,19.99,-2.94E-05
5.94E-10,0.0129247,0.0459928,45.482,19.99,-2.89E-05
5.54E-10,0.0144824,0.0382741,52.4944,20,-2.97E-05
5.30E-10,0.0161879,0.0327134,59.4412,20,-3.14E-05
5.82E-10,0.0181127,0.0321498,66.388,20,-3.19E-05
6.70E-10,0.0202822,0.0330319,73.4004,20,-3.19E-05
6.87E-10,0.0226999,0.030263,80.4127,20,-3.27E-05
9.32E-10,0.0254067,0.0366933,87.3595,20,-3.24E-05
1.07E-09,0.0284159,0.0378143,94.3063,20,-3.41E-05
1.26E-09,0.0318042,0.0394627,101.253,20,-3.44E-05
1.30E-09,0.0356194,0.0364853,108.266,20,-3.48E-05
1.39E-09,0.0398939,0.0347833,115.278,20,-3.51E-05
1.44E-09,0.0446259,0.0322219,122.225,20,-3.62E-05
1.54E-09,0.0499135,0.0308637,129.171,20,-3.67E-05
1.65E-09,0.0559075,0.029555,136.184,20,-3.58E-05
1.84E-09,0.0625318,0.0293702,143.196,20,-3.62E-05
1.99E-09,0.0699551,0.0283971,150.143,20,-3.63E-05
2.05E-09,0.0783035,0.0261961,157.09,20,-3.72E-05
2.14E-09,0.087581,0.0244797,164.037,20,-3.74E-05
2.31E-09,0.0980919,0.0235054,171.049,20,-3.74E-05
2.71E-09,0.109874,0.0247033,178.061,20,-3.86E-05
3.11E-09,0.122946,0.025313,185.008,20,-3.83E-05
3.56E-09,0.137518,0.025879,191.955,20,-3.85E-05
4.16E-09,0.154036,0.0270142,198.967,20,-3.84E-05
5.09E-09,0.17249,0.0295277,205.98,20,-3.90E-05
7.19E-09,0.192966,0.0372728,212.926,20,-3.91E-05
1.07E-08,0.215909,0.0497214,219.873,20,-3.95E-05
1.38E-08,0.241782,0.0572419,226.886,20,-3.97E-05
1.67E-08,0.270846,0.0615733,233.898,20,-3.84E-05
1.69E-08,0.302997,0.0557071,240.845,20,-3.82E-05
1.60E-08,0.339143,0.0471264,247.792,20,-3.86E-05
1.44E-08,0.379274,0.0378623,254.738,20,-3.92E-05
1.40E-08,0.424709,0.0330367,261.751,20,-3.99E-05
1.72E-08,0.475503,0.0362157,268.763,20,-3.98E-05
1.94E-08,0.532053,0.0364607,275.71,20,-3.90E-05
2.18E-08,0.595417,0.0366418,282.657,20,-3.95E-05
1.69E-08,0.66689,0.0253052,289.669,20,-3.96E-05
1.62E-08,0.746556,0.0216553,296.681,20,-3.98E-05
1.50E-08,0.835236,0.0179127,303.628,20,-3.96E-05
1.62E-08,0.934613,0.0173447,310.575,20,-3.98E-05
1.55E-08,1.04647,0.0148421,317.587,20,-3.95E-05
1.64E-08,1.1719,0.0139681,324.6,20,-3.91E-05
1.83E-08,1.31099,0.0139828,331.547,20,-3.94E-05
1.68E-08,1.46669,0.0114486,338.493,20,-4.02E-05
1.31E-08,1.64117,8.01E-03,345.44,20,-4.02E-05
5.97E-09,1.83777,3.25E-03,352.453,20,-4.04E-05
2.39E-09,2.05777,1.16E-03,359.465,20,-4.23E-05
6.04E-09,2.30199,2.63E-03,366.412,20,-4.08E-05
1.15E-08,2.57523,4.47E-03,373.359,20,-4.13E-05
2.28E-08,2.88418,7.89E-03,380.371,20,-4.12E-05
2.31E-08,3.23023,7.16E-03,387.383,20,-4.10E-05
2.22E-08,3.61321,6.16E-03,394.33,20,-4.04E-05
1.93E-08,4.04245,4.77E-03,401.277,20,-3.95E-05
2.35E-08,4.52223,5.20E-03,408.224,20,-4.01E-05
2.53E-08,5.06447,4.99E-03,415.236,20,-3.97E-05
2.51E-08,5.67144,4.43E-03,422.248,20,-4.05E-05
