Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
-1.46E-08,5.77E-03,-2.52847,3.58844,19.99,-1.68E-05
2.00E-09,7.32E-03,0.27248,10.5513,19.99,-1.55E-05
2.25E-09,8.23E-03,0.273915,17.5637,19.99,-1.62E-05
2.82E-09,9.18E-03,0.306556,24.576,19.99,-1.62E-05
3.42E-09,0.0103003,0.332234,31.5228,20,-1.65E-05
4.05E-09,0.0115124,0.351743,38.4697,19.99,-1.70E-05
4.65E-09,0.0129011,0.360629,45.482,19.99,-1.68E-05
5.14E-09,0.0144764,0.354926,52.4944,20,-1.84E-05
4.90E-09,0.0161904,0.302461,59.4412,20,-1.82E-05
5.41E-09,0.0180766,0.299033,66.388,20,-1.92E-05
5.85E-09,0.0203297,0.287916,73.4004,20,-1.98E-05
5.45E-09,0.0227171,0.239917,80.4127,20,-1.95E-05
5.61E-09,0.0254137,0.220878,87.3595,20,-2.02E-05
5.74E-09,0.0284391,0.201709,94.3063,20,-2.09E-05
6.36E-09,0.0317818,0.20018,101.253,20,-2.14E-05
6.72E-09,0.0356252,0.188683,108.266,20,-2.18E-05
6.76E-09,0.0398905,0.169385,115.278,20,-2.20E-05
6.80E-09,0.0446067,0.152516,122.225,20,-2.27E-05
7.35E-09,0.0499286,0.147134,129.171,20,-2.25E-05
7.77E-09,0.055905,0.138966,136.184,20,-2.27E-05
7.97E-09,0.0625179,0.127407,143.196,20,-2.21E-05
7.68E-09,0.0699818,0.109731,150.143,20,-2.17E-05
7.87E-09,0.0782906,0.100542,157.09,20,-2.30E-05
8.49E-09,0.0875819,0.096915,164.037,19.99,-2.21E-05
8.77E-09,0.0981262,0.0893311,171.049,20,-2.22E-05
8.59E-09,0.109871,0.0782055,178.061,20,-2.21E-05
8.48E-09,0.122947,0.0689794,185.008,20,-2.20E-05
8.57E-09,0.137555,0.0623029,191.955,20,-2.19E-05
8.37E-09,0.154054,0.054357,198.967,20,-2.27E-05
8.52E-09,0.172527,0.0493905,205.98,20,-2.34E-05
8.82E-09,0.193028,0.045685,212.926,20,-2.37E-05
8.70E-09,0.215926,0.0403019,219.873,20,-2.34E-05
8.88E-09,0.241874,0.0367022,226.886,20,-2.32E-05
8.94E-09,0.270898,0.0329973,233.898,20,-2.34E-05
9.32E-09,0.303026,0.0307438,240.845,20,-2.37E-05
1.05E-08,0.338905,0.0309542,247.792,20,-2.31E-05
1.16E-08,0.37926,0.0305502,254.738,20,-2.38E-05
1.33E-08,0.424721,0.031275,261.751,20,-2.37E-05
1.45E-08,0.475704,0.0304889,268.763,20,-2.40E-05
1.57E-08,0.532115,0.029525,275.71,20,-2.37E-05
1.84E-08,0.595261,0.0308901,282.657,20,-2.37E-05
2.32E-08,0.666667,0.0347566,289.669,20,-2.42E-05
2.88E-08,0.746561,0.0385984,296.681,20,-2.39E-05
3.45E-08,0.835271,0.0413408,303.628,20,-2.42E-05
3.43E-08,0.934504,0.0367194,310.575,20,-2.47E-05
3.56E-08,1.0465,0.0339891,317.587,20,-2.50E-05
3.95E-08,1.17185,0.0336997,324.6,20,-2.54E-05
