Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
8.02E-11,6.30E-03,0.0127156,3.59091,20,-2.73E-05
-5.17E-10,7.36E-03,-0.0702085,10.5094,20,-2.92E-05
-2.97E-10,8.21E-03,-0.0361736,17.5637,20,-3.02E-05
-3.41E-10,9.19E-03,-0.0370542,24.576,20,-3.12E-05
-4.97E-11,0.0103519,-4.80E-03,31.5228,20,-3.23E-05
-3.25E-10,0.0115151,-0.0281992,38.4697,20,-3.36E-05
2.39E-10,0.0128831,0.0185283,45.482,20,-3.43E-05
4.83E-10,0.0144595,0.0333983,52.4944,20,-3.53E-05
5.56E-10,0.0161833,0.0343738,59.4412,20,-3.58E-05
5.84E-10,0.0181078,0.0322476,66.388,20,-3.67E-05
7.09E-10,0.0202737,0.0349959,73.4004,20,-3.71E-05
7.85E-10,0.0227202,0.0345599,80.4127,20,-3.82E-05
7.26E-10,0.0254207,0.028551,87.3595,20,-3.85E-05
6.49E-10,0.0284181,0.0228429,94.3063,20,-3.94E-05
9.46E-10,0.0318151,0.0297481,101.253,20,-3.94E-05
1.02E-09,0.0356217,0.0286222,108.266,20,-4.04E-05
1.31E-09,0.0398862,0.0328129,115.278,20,-4.18E-05
1.44E-09,0.0446291,0.0323482,122.225,20,-4.34E-05
1.77E-09,0.0499221,0.0354329,129.171,20,-4.37E-05
1.90E-09,0.0559127,0.0339936,136.184,20,-4.47E-05
2.17E-09,0.0625255,0.0347392,143.196,20,-4.64E-05
2.38E-09,0.0699789,0.0340133,150.143,20,-4.70E-05
2.52E-09,0.0782793,0.0322157,157.09,20,-4.76E-05
2.71E-09,0.087591,0.0309293,164.037,20,-4.85E-05
2.88E-09,0.0981125,0.0293599,171.049,20,-4.98E-05
2.90E-09,0.10986,0.0264352,178.061,20,-5.04E-05
3.07E-09,0.12294,0.0249915,185.008,20,-5.08E-05
3.11E-09,0.137577,0.022604,191.955,20,-5.27E-05
3.01E-09,0.154035,0.0195633,198.967,20,-5.38E-05
2.53E-09,0.172602,0.0146422,205.98,20,-5.49E-05
1.90E-09,0.193069,9.82E-03,212.926,20,-5.58E-05
1.26E-09,0.215968,5.84E-03,219.873,20,-5.68E-05
