Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
8.41E-05,6.63E-03,12698.2,17.5637,19.99,2.61E-03
1.03E-04,7.98E-03,12859.4,24.576,20,2.64E-03
1.16E-04,9.47E-03,12256.9,31.5228,19.99,2.63E-03
1.25E-04,0.0109913,11357.2,38.4697,20,2.65E-03
1.31E-04,0.0125626,10397.2,45.482,20,2.63E-03
1.34E-04,0.014242,9440.12,52.4944,20,2.63E-03
1.37E-04,0.0160229,8565.58,59.4412,20,2.62E-03
1.39E-04,0.0179582,7747.44,66.388,20,2.61E-03
1.41E-04,0.0201669,6986.71,73.4004,20,2.61E-03
1.42E-04,0.0226246,6295.57,80.4127,20,2.59E-03
1.44E-04,0.025333,5673.02,87.3595,20,2.58E-03
1.45E-04,0.0283447,5116.66,94.3063,20,2.58E-03
1.46E-04,0.0317252,4608.35,101.253,20,2.55E-03
1.47E-04,0.0355634,4140.56,108.266,20,2.55E-03
1.48E-04,0.0397983,3727.51,115.278,20,2.55E-03
1.49E-04,0.0445692,3352.49,122.225,20,2.53E-03
1.50E-04,0.0498516,3017.62,129.171,20.01,2.53E-03
1.51E-04,0.0558649,2706.4,136.184,20,2.50E-03
1.52E-04,0.062471,2434.73,143.196,20,2.51E-03
1.53E-04,0.0698791,2190.2,150.143,20,2.49E-03
1.54E-04,0.0782145,1971.66,157.09,20,2.50E-03
1.55E-04,0.0875269,1771.89,164.037,20,2.47E-03
1.56E-04,0.0980224,1591.5,171.049,20,2.47E-03
1.57E-04,0.109817,1430.9,178.061,20,2.47E-03
1.58E-04,0.122855,1287.28,185.008,20,2.44E-03
1.59E-04,0.137492,1157.13,191.955,20,2.45E-03
1.60E-04,0.153965,1040.47,198.967,20,2.43E-03
1.61E-04,0.172444,935.459,205.98,20,2.43E-03
1.62E-04,0.192965,841.022,212.926,20,2.41E-03
1.63E-04,0.215912,754.847,219.873,20,2.39E-03
1.64E-04,0.241787,677.479,226.886,20,2.39E-03
1.64E-04,0.270848,606.226,233.898,20,2.34E-03
1.65E-04,0.302979,543.071,240.845,20,2.35E-03
1.65E-04,0.339021,486.07,247.792,20,2.32E-03
1.65E-04,0.379171,436.05,254.738,20,2.31E-03
1.67E-04,0.424663,392.434,261.751,20,2.32E-03
1.68E-04,0.475522,353.427,268.763,20,2.31E-03
1.70E-04,0.532015,319.422,275.71,20,2.34E-03
1.72E-04,0.595183,288.66,282.657,20,2.33E-03
1.74E-04,0.666556,260.75,289.669,20,2.35E-03
1.75E-04,0.746683,233.846,296.681,20,2.33E-03
1.75E-04,0.835246,209.294,303.628,20,2.33E-03
1.75E-04,0.934449,187.619,310.575,20,2.34E-03
1.76E-04,1.0464,168.559,317.587,20,2.32E-03
1.76E-04,1.17203,150.549,324.6,20,2.29E-03
1.76E-04,1.31107,133.967,331.547,20,2.25E-03
1.77E-04,1.46661,120.48,338.493,20,2.24E-03
1.79E-04,1.64076,108.806,345.44,20,2.24E-03
1.77E-04,1.83791,96.3285,352.453,20,2.14E-03
1.76E-04,2.05778,85.4629,359.465,20,2.10E-03
1.79E-04,2.30184,77.7054,366.412,19.99,2.14E-03
1.82E-04,2.57527,70.52,373.359,20,2.18E-03
1.82E-04,2.88436,63.157,380.371,20,2.18E-03
1.85E-04,3.23019,57.302,387.383,20,2.20E-03
1.74E-04,3.61412,48.14,394.33,20,2.11E-03
1.67E-04,4.04322,41.2523,401.277,20,1.98E-03
1.59E-04,4.52283,35.0574,408.224,20,1.88E-03
1.50E-04,5.06539,29.5662,415.236,20,1.70E-03
1.35E-04,5.67285,23.8115,422.248,20,1.45E-03
1.26E-04,6.34492,19.8009,429.195,20,1.50E-03
1.24E-04,7.09803,17.5394,436.142,20,1.55E-03
1.12E-04,7.9488,14.0971,443.154,20,1.39E-03
9.28E-05,8.90242,10.4287,450.167,20,1.15E-03
8.24E-05,9.95811,8.27039,457.114,20,1.02E-03
7.71E-05,11.1404,6.91716,464.06,20,8.74E-04
7.84E-05,12.4772,6.28456,471.073,20,1.06E-03
6.68E-05,13.9708,4.78044,478.085,20,9.75E-04
6.82E-05,15.6305,4.36024,485.032,20,9.30E-04
6.28E-05,17.4854,3.59218,491.979,20,9.15E-04
6.94E-05,19.5608,3.54711,498.926,20,1.28E-03
5.94E-05,21.9089,2.70988,505.938,20,9.58E-04
5.01E-05,24.5317,2.04207,512.95,20,8.17E-04
5.29E-05,27.447,1.92825,519.897,20,7.78E-04
5.11E-05,30.6997,1.66434,526.844,20,8.84E-04
5.14E-05,34.3848,1.49393,533.856,20,7.42E-04
5.68E-05,38.5112,1.47421,540.869,20,9.19E-04
4.83E-05,43.0759,1.12081,547.815,20,7.47E-04
4.74E-05,48.1893,0.983355,554.762,20,6.68E-04
4.96E-05,53.9127,0.920872,561.709,20,7.21E-04
4.63E-05,60.3816,0.766646,568.721,20,6.01E-04
4.38E-05,67.6005,0.648501,575.734,20,5.05E-04
4.98E-05,75.6452,0.658301,582.681,20,6.97E-04
4.47E-05,84.6097,0.527913,589.627,20,5.07E-04
4.67E-05,94.574,0.493939,596.509,20,5.93E-04
