Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
-7.85E-10,6.70E-03,-0.117289,3.60451,20.02,-5.39E-05
-1.04E-09,7.35E-03,-0.142044,10.5513,20.02,-5.47E-05
-9.42E-10,8.23E-03,-0.114488,17.5637,20.02,-5.47E-05
-1.30E-09,9.28E-03,-0.140534,24.576,20.02,-5.41E-05
-1.37E-09,0.0103035,-0.133271,31.5228,20.01,-5.45E-05
-1.16E-09,0.011521,-0.100457,38.4697,20.01,-5.48E-05
-8.15E-10,0.0128949,-0.0631859,45.482,20,-5.42E-05
-5.04E-10,0.0144693,-0.0348118,52.4944,20.01,-5.48E-05
-2.18E-10,0.0161266,-0.0135341,59.4412,20,-5.49E-05
4.18E-10,0.0180395,0.0231755,66.388,20,-5.48E-05
8.55E-10,0.0202865,0.0421613,73.4004,20,-5.52E-05
1.19E-09,0.0226773,0.0524491,80.4127,20,-5.50E-05
1.78E-09,0.0253753,0.0702213,87.3595,20,-5.51E-05
2.61E-09,0.0283947,0.0917988,94.3063,20,-5.49E-05
1.82E-09,0.031857,0.0570475,101.253,20,-5.52E-05
1.96E-09,0.0355876,0.054991,108.266,20,-5.52E-05
2.89E-09,0.0398448,0.072478,115.278,20,-5.43E-05
4.14E-09,0.0445938,0.0927959,122.225,20,-5.45E-05
5.28E-09,0.0499,0.1058,129.171,20,-5.45E-05
6.41E-09,0.0559173,0.114709,136.184,20.01,-5.48E-05
7.24E-09,0.0625023,0.115879,143.196,20,-5.45E-05
8.65E-09,0.0699327,0.123631,150.143,20,-5.55E-05
1.02E-08,0.0782733,0.130467,157.09,20,-5.51E-05
1.19E-08,0.0875549,0.135442,164.037,20,-5.48E-05
1.42E-08,0.0980876,0.144547,171.049,20,-5.45E-05
1.61E-08,0.109874,0.146881,178.061,20,-5.46E-05
1.83E-08,0.122919,0.149249,185.008,20,-5.49E-05
2.06E-08,0.137523,0.14951,191.955,20,-5.45E-05
2.21E-08,0.154048,0.143257,198.967,20,-5.48E-05
2.36E-08,0.172509,0.137032,205.98,20,-5.49E-05
2.59E-08,0.193023,0.134353,212.926,20,-5.49E-05
2.84E-08,0.215931,0.131318,219.873,20,-5.48E-05
3.07E-08,0.241846,0.126854,226.886,20,-5.47E-05
3.31E-08,0.270834,0.122149,233.898,20,-5.50E-05
3.50E-08,0.303002,0.115635,240.845,20,-5.47E-05
3.71E-08,0.339048,0.109378,247.792,20,-5.46E-05
3.87E-08,0.379232,0.102123,254.738,20,-5.53E-05
4.03E-08,0.424751,0.0948806,261.751,20,-5.51E-05
4.21E-08,0.47559,0.0884625,268.763,20,-5.48E-05
4.37E-08,0.532133,0.0820743,275.71,20,-5.49E-05
2.13E-08,0.595602,0.0357445,282.657,20,-5.46E-05
1.52E-08,0.666695,0.0228037,289.669,20.01,-5.46E-05
1.62E-08,0.746615,0.0217089,296.681,20,-5.49E-05
1.72E-08,0.835297,0.0206296,303.628,20,-5.52E-05
1.85E-08,0.934459,0.0197836,310.575,20,-5.50E-05
