Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
1.65E-07,7.38E-03,22.3835,10.5513,20.01,-3.96E-05
1.88E-07,8.24E-03,22.8735,17.5637,20.01,-3.95E-05
1.95E-07,9.22E-03,21.1546,24.576,20,-3.97E-05
1.99E-07,0.0103111,19.2948,31.5228,20,-3.97E-05
1.99E-07,0.011537,17.2758,38.4697,19.99,-3.88E-05
1.99E-07,0.0129267,15.3992,45.482,20,-3.93E-05
1.99E-07,0.0144762,13.7289,52.4944,20,-3.91E-05
1.98E-07,0.0161837,12.2106,59.4412,20,-3.94E-05
1.99E-07,0.0181075,11.0049,66.388,20,-3.94E-05
2.01E-07,0.0202864,9.91885,73.4004,20,-3.85E-05
2.03E-07,0.0227202,8.955,80.4127,20,-3.94E-05
2.06E-07,0.0254093,8.12136,87.3595,20,-3.85E-05
2.11E-07,0.0284293,7.43302,94.3063,20,-3.89E-05
2.18E-07,0.0318065,6.84119,101.253,20,-3.85E-05
2.20E-07,0.0356264,6.18396,108.266,20,-3.80E-05
2.18E-07,0.0398924,5.46267,115.278,20,-3.88E-05
2.17E-07,0.0446307,4.86137,122.225,20,-3.86E-05
2.09E-07,0.0498955,4.18888,129.171,20,-4.22E-05
2.10E-07,0.0559257,3.75337,136.184,20,-3.89E-05
2.03E-07,0.0625331,3.23997,143.196,20,-3.80E-05
1.99E-07,0.0699676,2.84905,150.143,20,-3.85E-05
2.03E-07,0.0782798,2.59018,157.09,20,-3.77E-05
2.13E-07,0.0875856,2.43434,164.037,20,-3.79E-05
2.24E-07,0.0981052,2.28334,171.049,20,-3.77E-05
2.26E-07,0.109884,2.05714,178.061,20,-3.77E-05
2.28E-07,0.122936,1.85166,185.008,20,-3.85E-05
2.34E-07,0.137546,1.70395,191.955,20,-3.78E-05
2.43E-07,0.154044,1.57427,198.967,20,-3.79E-05
2.47E-07,0.172542,1.43024,205.98,20,-3.74E-05
2.57E-07,0.192978,1.33253,212.926,20,-3.72E-05
2.76E-07,0.215977,1.27583,219.873,20,-3.78E-05
2.41E-07,0.241835,0.997169,226.886,20.01,-3.69E-05
2.56E-07,0.270873,0.946585,233.898,20,-3.72E-05
2.44E-07,0.303006,0.804868,240.845,20,-3.71E-05
2.50E-07,0.339022,0.737175,247.792,20,-3.65E-05
2.57E-07,0.37926,0.676986,254.738,20,-3.70E-05
2.59E-07,0.424661,0.609299,261.751,20,-3.66E-05
2.59E-07,0.475677,0.545332,268.763,20,-3.77E-05
2.70E-07,0.532154,0.506442,275.71,20,-3.68E-05
2.76E-07,0.59534,0.463167,282.657,20,-3.67E-05
2.88E-07,0.666668,0.431829,289.669,19.99,-3.74E-05
2.88E-07,0.74665,0.38587,296.681,20,-3.74E-05
3.10E-07,0.835293,0.371428,303.628,20,-3.73E-05
3.17E-07,0.93426,0.339117,310.575,20,-3.67E-05
3.46E-07,1.04655,0.330361,317.587,20,-3.73E-05
3.52E-07,1.17199,0.30008,324.6,20,-3.61E-05
3.56E-07,1.31095,0.271303,331.547,20,-3.68E-05
3.52E-07,1.46669,0.239877,338.493,20,-3.68E-05
3.49E-07,1.64081,0.212865,345.44,20,-3.63E-05
3.59E-07,1.83766,0.195436,352.453,20,-3.73E-05
3.77E-07,2.05772,0.183372,359.465,20,-3.64E-05
3.96E-07,2.30195,0.172099,366.412,20,-3.67E-05
4.20E-07,2.57555,0.163106,373.359,20,-3.69E-05
4.51E-07,2.88425,0.156356,380.371,20,-3.58E-05
4.70E-07,3.22992,0.145503,387.383,20,-3.58E-05
5.09E-07,3.61322,0.140951,394.33,20,-3.44E-05
5.51E-07,4.0423,0.13628,401.277,20,-3.59E-05
5.18E-07,4.52219,0.114443,408.224,20,-3.85E-05
5.31E-07,5.06433,0.104802,415.236,20,-3.84E-05
5.58E-07,5.67134,0.0983217,422.248,20,-3.75E-05
5.85E-07,6.34469,0.0922157,429.195,20,-3.74E-05
5.93E-07,7.09793,0.0836085,436.142,20,-3.79E-05
6.26E-07,7.94884,0.0787859,443.154,20,-3.71E-05
6.55E-07,8.90163,0.0735327,450.167,20,-3.83E-05
6.77E-07,9.95862,0.0680298,457.114,20,-3.83E-05
6.87E-07,11.1404,0.0616969,464.06,20,-3.81E-05
7.41E-07,12.4766,0.0593691,471.073,20,-3.85E-05
7.96E-07,13.972,0.0569816,478.085,20,-3.73E-05
8.62E-07,15.6304,0.0551705,485.032,20,-3.95E-05
9.43E-07,17.4861,0.0539539,491.979,20,-3.70E-05
9.80E-07,19.5617,0.05009,498.926,20,-3.81E-05
1.03E-06,21.9072,0.0468886,505.938,20,-3.90E-05
1.11E-06,24.5332,0.0454083,512.95,20,-3.77E-05
1.22E-06,27.4455,0.0443157,519.897,20,-3.80E-05
1.30E-06,30.7038,0.0423891,526.844,20,-3.70E-05
1.39E-06,34.385,0.040545,533.856,20,-3.85E-05
1.53E-06,38.5071,0.0396309,540.869,20,-3.77E-05
1.67E-06,43.0777,0.0387916,547.815,20,-3.67E-05
1.83E-06,48.1914,0.0379198,554.762,20,-3.74E-05
2.04E-06,53.9121,0.0378701,561.709,20,-3.45E-05
2.22E-06,60.377,0.0367867,568.721,20,-3.67E-05
2.43E-06,67.614,0.0359663,575.734,20,-3.51E-05
2.67E-06,75.6401,0.035298,582.681,20,-3.60E-05
2.92E-06,84.6189,0.0344862,589.627,20.01,-3.61E-05
3.21E-06,94.562,0.0339095,596.509,20,-3.51E-05
