Filename,peo_su8_00_075
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 075_PEO_SU8
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
33.5574,7.33400e-3,4277.49,10.5513,19.99,808.657,1.14321,20.0380,1.50343e7,10.5513,1897.62,1.36505e-4
33.5574,7.84511e-3,4277.49,10.5513,19.99,808.657,1.14321,20.0380,1.31391e7,10.5513,1897.62,1.36505e-4
33.1996,8.25601e-3,4009.95,17.5637,19.99,787.093,1.11273,20.0301,1.15474e7,17.5637,1877.39,1.43654e-4
32.4025,9.23624e-3,3535.86,24.5760,19.99,771.961,1.09133,20.0198,9049090,24.5760,1832.32,1.60710e-4
32.1729,0.0103188,3149.99,31.5228,20.00,756.069,1.06887,20.0118,7100710,31.5228,1819.34,1.79547e-4
32.2701,0.0115349,2811.11,38.4697,19.99,749.132,1.05906,20.0155,5630330,38.4697,1824.83,2.00706e-4
32.4833,0.0129147,2521.87,45.4820,20.00,737.248,1.04226,20.0257,4420210,45.4820,1836.89,2.24716e-4
32.8102,0.0144756,2269.01,52.4944,20.00,732.214,1.03514,20.0254,3494340,52.4944,1855.37,2.51875e-4
33.1224,0.0161707,2052.53,59.4412,20.00,721.224,1.01961,20.0268,2758110,59.4412,1873.03,2.81370e-4
33.5369,0.0181069,1855.56,66.3880,20.00,712.200,1.00685,20.0230,2172270,66.3880,1896.46,3.15060e-4
34.0365,0.0202734,1679.16,73.4004,20.00,712.401,1.00713,20.0270,1733290,73.4004,1924.72,3.52757e-4
34.5237,0.0227075,1520.51,80.4127,20.00,700.487,0.990291,20.0276,1358500,80.4127,1952.27,3.95110e-4
35.0263,0.0254097,1378.94,87.3595,20.00,698.331,0.987242,20.0230,1081590,87.3595,1980.69,4.42127e-4
35.5352,0.0284196,1251.24,94.3063,20.00,687.106,0.971373,20.0268,850722,94.3063,2009.47,4.94500e-4
36.0979,0.0317920,1134.99,101.253,20.00,683.907,0.966850,20.0248,676644,101.253,2041.29,5.53180e-4
36.6613,0.0356005,1028.89,108.266,20.00,676.809,0.956816,20.0280,534015,108.266,2073.15,6.19448e-4
37.1512,0.0398498,932.700,115.278,20.00,666.586,0.942364,20.0311,419763,115.278,2100.85,6.93385e-4
37.7386,0.0445950,844.972,122.225,20.00,666.799,0.942665,20.0266,335292,122.225,2134.07,7.75951e-4
38.2230,0.0499020,765.099,129.171,20.00,653.740,0.924203,20.0277,262524,129.171,2161.46,8.68293e-4
38.6695,0.0558830,692.245,136.184,20.00,650.709,0.919919,20.0311,208366,136.184,2186.71,9.72362e-4
39.1532,0.0624923,626.528,143.196,20.00,640.769,0.905866,20.0324,164077,143.196,2214.06,1.08736e-3
39.6568,0.0699297,566.307,150.143,20.00,634.273,0.896683,20.0276,129704,150.143,2242.54,1.21677e-3
40.0941,0.0782476,511.990,157.090,20.00,630.504,0.891354,20.0249,102978,157.090,2267.27,1.36151e-3
40.4635,0.0875746,462.453,164.037,20.00,616.713,0.871857,20.0167,80413.1,164.037,2288.16,1.52379e-3
40.9722,0.0980813,417.346,171.049,20.00,617.948,0.873604,20.0059,64236.2,171.049,2316.92,1.70661e-3
41.3404,0.109860,376.525,178.061,20.01,603.460,0.853122,20.0142,50000.3,178.061,2337.75,1.91155e-3
41.8210,0.122907,339.682,185.008,20.00,602.815,0.852210,20.0125,39905.5,185.008,2364.92,2.13857e-3
42.2375,0.137503,306.055,191.955,20.00,596.788,0.843689,20.0310,31564.2,191.955,2388.47,2.39255e-3
42.3933,0.154081,275.570,198.967,20.00,590.564,0.834890,20.0227,24875.4,198.967,2397.29,2.68100e-3
42.6487,0.172471,248.292,205.980,20.00,589.459,0.833328,20.0291,19816.3,205.980,2411.73,3.00098e-3
43.2067,0.192999,223.850,212.926,20.00,579.739,0.819587,20.0270,15564.1,212.926,2443.28,3.35817e-3
43.6377,0.215919,202.161,219.873,20.00,580.844,0.821149,20.0272,12458.8,219.873,2467.65,3.75699e-3
44.1519,0.241835,182.725,226.886,20.00,573.904,0.811338,20.0300,9813.02,226.886,2496.73,4.20791e-3
44.6486,0.270808,165.200,233.898,20.00,570.398,0.806382,20.0206,7777.77,233.898,2524.82,4.71205e-3
45.3316,0.302980,149.382,240.845,20.00,569.731,0.805438,20.0273,6206.41,240.845,2563.44,5.27185e-3
45.9404,0.338976,135.046,247.792,20.00,561.729,0.794125,20.0285,4888.65,247.792,2597.87,5.89817e-3
46.2562,0.379237,121.999,254.738,20.00,563.943,0.797255,20.0240,3921.15,254.738,2615.72,6.59871e-3
46.7442,0.424733,109.968,261.751,20.00,554.705,0.784195,20.0233,3074.89,261.751,2643.32,7.39035e-3
