Filename,peo_su8_00_100_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 100_PEO_SU8
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
84.1471,6.62671e-3,12265.7,17.5637,19.99,2612.19,3.69290,20.0237,5.94852e7,17.5637,4758.41,1.15305e-4
102.628,7.98072e-3,12496.3,24.5760,20.00,2641.36,3.73413,20.0258,4.14709e7,24.5760,5803.45,1.38864e-4
116.015,9.46532e-3,12316.3,31.5228,19.99,2631.68,3.72045,20.0196,2.93739e7,31.5228,6560.52,1.64696e-4
124.831,0.0109913,12011.0,38.4697,20.00,2647.63,3.74300,20.0165,2.19159e7,38.4697,7059.02,1.91248e-4
130.616,0.0125626,11459.5,45.4820,20.00,2634.78,3.72483,20.0207,1.66949e7,45.4820,7386.17,2.18589e-4
134.446,0.0142420,10791.6,52.4944,20.00,2625.17,3.71125,20.0151,1.29425e7,52.4944,7602.73,2.47809e-4
137.245,0.0160229,10103.6,59.4412,20.00,2616.04,3.69835,20.0135,1.01898e7,59.4412,7761.04,2.78797e-4
139.130,0.0179582,9425.39,66.3880,20.00,2607.08,3.68567,20.0117,8084000,66.3880,7867.64,3.12473e-4
140.900,0.0201669,8750.45,73.4004,20.00,2610.62,3.69067,20.0187,6418970,73.4004,7967.72,3.50903e-4
142.435,0.0226246,8111.21,80.4127,20.00,2592.00,3.66436,20.0185,5063770,80.4127,8054.49,3.93667e-4
143.714,0.0253330,7520.07,87.3595,20.00,2576.78,3.64284,20.0138,4015190,87.3595,8126.86,4.40793e-4
145.030,0.0283447,6968.17,94.3063,20.00,2575.31,3.64077,20.0186,3205440,94.3063,8201.25,4.93196e-4
146.201,0.0317252,6451.17,101.253,20.00,2548.10,3.60230,20.0136,2531680,101.253,8267.46,5.52017e-4
147.252,0.0355634,5964.09,108.266,20.00,2548.88,3.60339,20.0123,2015320,108.266,8326.92,6.18802e-4
148.349,0.0397983,5517.68,115.278,20.00,2546.30,3.59974,20.0220,1607610,115.278,8388.93,6.92489e-4
149.418,0.0445692,5099.03,122.225,20.00,2532.69,3.58050,20.0123,1275000,122.225,8449.38,7.75502e-4
150.433,0.0498516,4715.16,129.171,20.01,2526.01,3.57106,20.0198,1016430,129.171,8506.79,8.67415e-4
151.193,0.0558649,4353.43,136.184,20.00,2496.75,3.52969,20.0191,800013,136.184,8549.75,9.72047e-4
152.100,0.0624710,4025.77,143.196,20.00,2511.81,3.55099,20.0192,643621,143.196,8601.04,1.08699e-3
153.049,0.0698791,3721.14,150.143,20.00,2488.21,3.51762,20.0203,509555,150.143,8654.72,1.21589e-3
154.212,0.0782145,3438.67,157.090,20.00,2503.37,3.53905,20.0206,409214,157.090,8720.51,1.36093e-3
155.088,0.0875269,3178.81,164.037,20.00,2471.11,3.49344,20.0139,322559,164.037,8770.02,1.52296e-3
156.003,0.0980224,2937.15,171.049,20.00,2467.54,3.48840,20.0206,256811,171.049,8821.75,1.70559e-3
157.136,0.109817,2712.29,178.061,20.00,2468.37,3.48957,20.0091,204680,178.061,8885.83,1.91080e-3
158.149,0.122855,2507.74,185.008,20.00,2442.76,3.45338,20.0199,161843,185.008,8943.12,2.13768e-3
159.095,0.137492,2318.52,191.955,20.00,2446.44,3.45858,20.0177,129414,191.955,8996.63,2.39235e-3
160.197,0.153965,2142.18,198.967,20.00,2431.75,3.43781,20.0163,102583,198.967,9058.92,2.67899e-3
161.314,0.172444,1978.14,205.980,20.00,2427.43,3.43170,20.0268,81630.1,205.980,9122.11,3.00052e-3
162.288,0.192965,1827.47,212.926,20.00,2408.62,3.40511,20.0170,64686.1,212.926,9177.16,3.35759e-3
162.981,0.215912,1686.85,219.873,20.00,2386.70,3.37411,20.0149,51196.7,219.873,9216.35,3.75687e-3
163.805,0.241787,1554.64,226.886,20.00,2386.61,3.37399,20.0280,40824.2,226.886,9262.97,4.20708e-3
164.195,0.270848,1431.15,233.898,20.00,2342.09,3.31105,20.0185,31926.5,233.898,9285.02,4.71275e-3
164.539,0.302979,1318.58,240.845,20.00,2346.38,3.31711,20.0182,25560.8,240.845,9304.45,5.27182e-3
164.788,0.339021,1215.30,247.792,20.00,2318.15,3.27720,20.0254,20169.2,247.792,9318.53,5.89895e-3
165.338,0.379171,1121.84,254.738,20.00,2314.04,3.27139,20.0232,16095.3,254.738,9349.62,6.59757e-3
166.652,0.424663,1036.42,261.751,20.00,2322.56,3.28344,20.0281,12878.9,261.751,9423.96,7.38911e-3
168.062,0.475522,959.455,268.763,20.00,2311.74,3.26814,20.0223,10223.4,268.763,9503.70,8.27407e-3
