Filename,peo_su8_01_025_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,28/01/2020
Sample name,PEO_SU8_01_025
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
40.9195,6.01194e-3,30.2489,18.5467,20.01,445.021,0.629134,20.0161,1.23126e7,18.5467,2313.94,1.36721e-4
40.2492,6.81466e-3,30.0000,25.9523,20.00,416.239,0.588445,20.0234,8963030,25.9523,2276.04,1.49373e-4
39.5750,7.75360e-3,29.5027,33.2923,20.01,397.974,0.562622,20.0243,6619840,33.2923,2237.91,1.63417e-4
38.9557,8.85632e-3,27.7220,40.6324,20.00,389.689,0.550910,20.0221,4968350,40.6324,2202.89,1.79077e-4
38.4432,0.0101153,25.3831,47.9724,20.01,371.952,0.525835,20.0192,3635200,47.9724,2173.91,1.95784e-4
38.0310,0.0115535,23.4141,55.3124,20.00,369.025,0.521697,20.0199,2764600,55.3124,2150.60,2.14453e-4
37.5856,0.0131962,21.7179,62.7180,20.00,359.878,0.508766,20.0270,2066600,62.7180,2125.41,2.34798e-4
37.2305,0.0150722,19.8856,70.1236,20.00,349.002,0.493389,20.0248,1536300,70.1236,2105.34,2.57194e-4
36.9195,0.0172148,18.2079,77.4636,20.00,350.581,0.495622,20.0255,1183000,77.4636,2087.75,2.81406e-4
36.5992,0.0196626,16.9097,84.8036,20.00,337.216,0.476728,20.0234,872222,84.8036,2069.64,3.08011e-4
36.3290,0.0224584,15.6847,92.1436,20.00,335.765,0.474676,20.0099,665700,92.1436,2054.36,3.37240e-4
35.9977,0.0256514,14.4591,99.4837,20.00,333.462,0.471421,20.0214,506787,99.4837,2035.62,3.69377e-4
35.7392,0.0292983,13.3293,106.889,20.00,322.833,0.456395,20.0238,376091,106.889,2021.00,4.04765e-4
35.3800,0.0334638,12.2877,114.295,20.00,324.313,0.458486,20.0297,289611,114.295,2000.69,4.43345e-4
35.0468,0.0382214,11.3275,121.635,20.00,316.973,0.448110,20.0238,216974,121.635,1981.85,4.85643e-4
