Filename,peo_su8_01_100_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,29/01/2020
Sample name,PEO_SU8_01_100_1
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
11.6118,6.62213e-3,17309.3,0.0327840,20.00,27793.7,39.2925,20.0195,6.33798e8,0.0327840,656.630,-2.75026e-4
222.721,7.71056e-3,16426.3,28.5082,19.99,25378.5,35.8780,20.0255,4.26867e8,28.5082,12594.6,1.06183e-4
244.084,8.97789e-3,15683.9,33.2923,20.00,25031.5,35.3875,20.0022,3.10555e8,33.2923,13802.6,1.24573e-4
269.242,0.0104535,15053.6,40.6324,19.99,24471.7,34.5961,19.9987,2.23944e8,40.6324,15225.3,1.49695e-4
290.574,0.0121717,14600.8,47.9724,20.00,23901.7,33.7903,20.0023,1.61335e8,47.9724,16431.5,1.68611e-4
311.912,0.0141723,14100.0,55.3124,20.00,23293.1,32.9299,19.9863,1.15971e8,55.3124,17638.2,1.85474e-4
334.970,0.0165016,13334.1,62.7180,19.99,22670.8,32.0501,20.0035,8.32555e7,62.7180,18942.1,2.03632e-4
360.481,0.0192139,12478.4,70.1236,20.00,22017.5,31.1266,19.9972,5.96401e7,70.1236,20384.7,2.24496e-4
384.890,0.0223719,11385.9,77.4636,20.00,21319.2,30.1393,19.9901,4.25955e7,77.4636,21765.0,2.47060e-4
411.298,0.0260490,10298.7,84.8036,20.00,20550.0,29.0519,20.0001,3.02851e7,84.8036,23258.3,2.78483e-4
435.230,0.0303305,9162.18,92.1436,20.00,19669.6,27.8072,19.9915,2.13813e7,92.1436,24611.7,3.05341e-4
455.814,0.0353157,7871.46,99.4837,20.00,18762.3,26.5246,20.0021,1.50435e7,99.4837,25775.7,3.41731e-4
472.171,0.0411203,6703.81,106.889,20.00,17802.7,25.1679,19.9917,1.05286e7,106.889,26700.6,3.87342e-4
481.437,0.0478789,5794.70,114.295,20.00,16901.0,23.8933,19.9971,7372660,114.295,27224.6,4.35459e-4
482.155,0.0557484,5004.51,121.635,20.00,16131.7,22.8057,19.9940,5190570,121.635,27265.2,4.88726e-4
475.482,0.0649114,4386.67,128.975,20.00,15488.2,21.8959,19.9936,3675850,128.975,26887.9,5.42709e-4
465.541,0.0755804,3855.18,136.315,20.00,15086.9,21.3286,19.9957,2641080,136.315,26325.7,5.95839e-4
454.854,0.0880029,3382.18,143.655,20.00,14821.0,20.9527,20.0073,1913740,143.655,25721.4,6.51253e-4
445.015,0.102467,2985.40,151.061,20.00,14588.7,20.6243,19.9962,1389460,151.061,25165.0,7.09889e-4
436.465,0.119309,2625.98,158.466,20.00,14391.2,20.3451,20.0098,1011000,158.466,24681.5,7.74354e-4
428.929,0.138919,2303.79,165.806,20.00,14250.5,20.1462,20.0035,738426,165.806,24255.4,8.46228e-4
422.758,0.161752,2024.67,173.146,20.00,14136.1,19.9844,20.0100,540292,173.146,23906.4,9.24888e-4
417.748,0.188338,1784.02,180.486,20.00,14078.6,19.9032,20.0098,396902,180.486,23623.1,1.00854e-3
413.116,0.219294,1569.24,187.826,20.00,13986.1,19.7723,20.0020,290833,187.826,23361.2,1.10715e-3
409.381,0.255338,1379.11,195.232,20.00,13913.7,19.6701,20.0182,213410,195.232,23150.0,1.20855e-3
405.580,0.297305,1230.13,202.637,20.00,13820.7,19.5385,20.0124,156359,202.637,22935.0,1.32574e-3
402.264,0.346171,1084.87,209.977,19.99,13735.2,19.4177,20.0109,114618,209.977,22747.5,1.44499e-3
400.359,0.403069,957.599,217.317,20.00,13709.8,19.3818,20.0164,84386.6,217.317,22639.8,1.58791e-3
398.760,0.469318,854.155,224.657,20.00,13638.7,19.2812,20.0136,61921.0,224.657,22549.3,1.73423e-3
396.863,0.546456,761.220,231.997,20.00,13568.7,19.1823,20.0151,45438.8,231.997,22442.1,1.90649e-3
395.917,0.636273,679.583,239.403,20.00,13530.6,19.1284,20.0160,33421.7,239.403,22388.6,2.08271e-3
394.120,0.740853,607.230,246.809,20.00,13484.6,19.0634,20.0162,24568.2,246.809,22286.9,2.27990e-3
392.001,0.862621,533.193,254.149,20.00,13467.8,19.0396,20.0202,18099.0,254.149,22167.1,2.50001e-3
390.751,1.00440,476.426,261.489,20.00,13437.0,18.9961,20.0149,13319.4,261.489,22096.5,2.74211e-3
389.699,1.16949,422.741,268.829,20.00,13394.8,18.9365,20.0149,9793.65,268.829,22037.0,2.99491e-3
388.456,1.36171,377.733,276.169,20.00,13411.6,18.9601,20.0227,7232.85,276.169,21966.7,3.28322e-3
387.417,1.58552,337.223,283.574,20.00,13406.7,18.9533,20.0153,5333.05,283.574,21907.9,3.60112e-3
384.596,1.84613,298.441,290.980,20.00,13414.2,18.9638,20.0148,3935.88,290.980,21748.4,3.93725e-3
384.266,2.14956,265.275,298.320,20.00,13413.3,18.9626,20.0167,2902.93,298.320,21729.7,4.31559e-3
384.165,2.50287,238.692,305.660,20.00,13425.0,18.9792,20.0192,2143.09,305.660,21724.0,4.72804e-3
385.666,2.91424,211.981,313.000,20.00,13462.1,19.0316,20.0281,1585.12,313.000,21808.9,5.16819e-3
386.489,3.39323,185.648,320.340,20.00,13471.8,19.0454,20.0235,1170.04,320.340,21855.5,5.66849e-3
386.221,3.95095,164.298,327.746,20.00,13466.5,19.0378,20.0171,862.682,327.746,21840.3,6.21167e-3
385.042,4.60034,143.512,335.151,20.00,13497.5,19.0817,20.0185,637.783,335.151,21773.6,6.80361e-3
384.381,5.35647,128.121,342.491,20.00,13557.6,19.1667,20.0140,472.528,342.491,21736.2,7.45415e-3
385.223,6.23687,115.082,349.831,20.00,13632.1,19.2719,20.0306,350.452,349.831,21783.8,8.15303e-3
387.120,7.26198,102.740,357.171,20.00,13714.1,19.3879,20.0289,260.051,357.171,21891.1,8.93718e-3
389.888,8.45557,89.1176,364.511,20.00,13744.3,19.4305,20.0264,192.236,364.511,22047.6,9.77361e-3
394.107,9.84535,78.4570,371.917,20.00,13758.7,19.4510,20.0251,141.944,371.917,22286.2,0.0107142
397.041,11.4636,70.9657,379.322,20.00,13685.9,19.3479,20.0142,104.144,379.322,22452.2,0.0117527
395.588,13.3477,60.2806,386.662,20.00,13657.9,19.3085,20.0184,76.6602,386.662,22370.0,0.0128693
394.543,15.5416,54.0983,394.002,20.00,13627.5,19.2654,20.0263,56.4188,394.002,22310.9,0.0140942
395.053,18.0961,47.3368,401.342,20.00,13574.4,19.1903,20.0137,41.4526,401.342,22339.7,0.0154273
396.082,21.0704,41.8929,408.683,20.00,13547.0,19.1516,20.0178,30.5140,408.683,22397.9,0.0168871
398.995,24.5336,36.5292,416.088,20.00,13458.5,19.0265,20.0184,22.3602,416.088,22562.6,0.0185146
397.420,28.5659,32.5831,423.494,20.00,13497.4,19.0816,20.0114,16.5407,423.494,22473.6,0.0202955
401.375,33.2611,28.5855,430.834,20.00,13606.3,19.2355,20.0148,12.2989,430.834,22697.2,0.0222143
400.199,38.7280,25.1221,438.174,20.00,13838.2,19.5633,20.0128,9.22636,438.174,22630.7,0.0243184
