Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
-4.12E-08,6.33E-03,-6.5038,3.47463,19.95,-8.57E-05
-9.98E-09,7.35E-03,-1.35774,10.5513,19.96,-8.50E-05
-1.00E-08,8.23E-03,-1.21643,17.5637,19.97,-8.54E-05
-9.65E-09,9.22E-03,-1.04639,24.576,19.98,-8.56E-05
-9.72E-09,0.0103169,-0.942591,31.5228,19.99,-8.54E-05
-9.79E-09,0.0115444,-0.848344,38.4697,19.99,-8.51E-05
-9.89E-09,0.0129243,-0.764942,45.482,19.99,-8.58E-05
-1.01E-08,0.0144767,-0.697011,52.4944,19.99,-8.51E-05
-1.01E-08,0.0161893,-0.622161,59.4412,20,-8.48E-05
-9.77E-09,0.0181165,-0.539461,66.388,19.99,-8.49E-05
-9.71E-09,0.0202847,-0.478522,73.4004,20,-8.49E-05
-9.75E-09,0.0227229,-0.429091,80.4127,20,-8.49E-05
-9.80E-09,0.0254159,-0.385755,87.3595,20,-8.48E-05
-9.76E-09,0.0284358,-0.343374,94.3063,20,-8.52E-05
-9.74E-09,0.0318108,-0.306057,101.253,20,-8.42E-05
-9.81E-09,0.0356225,-0.275518,108.266,20,-8.48E-05
-9.81E-09,0.0398956,-0.245882,115.278,20,-8.49E-05
-9.85E-09,0.0446324,-0.220772,122.225,20,-8.51E-05
-9.88E-09,0.0499275,-0.197883,129.171,20,-8.50E-05
-9.85E-09,0.0559077,-0.176222,136.184,20,-8.46E-05
-9.83E-09,0.0625353,-0.157232,143.196,20,-8.57E-05
-9.80E-09,0.0699642,-0.14006,150.143,20,-8.64E-05
-9.87E-09,0.0782884,-0.126032,157.09,20,-8.58E-05
-9.88E-09,0.0876018,-0.112765,164.037,20,-8.59E-05
-1.00E-08,0.098109,-0.102273,171.049,20,-8.64E-05
-1.01E-08,0.109915,-0.091785,178.061,20,-8.65E-05
-9.85E-09,0.122916,-0.0801717,185.008,20,-8.60E-05
-9.53E-09,0.137539,-0.0693183,191.955,20,-8.62E-05
-9.00E-09,0.154076,-0.0584342,198.967,20,-8.63E-05
-8.32E-09,0.172483,-0.0482267,205.98,20,-8.63E-05
-7.55E-09,0.193009,-0.0390965,212.926,20,-8.68E-05
-6.89E-09,0.215922,-0.0319187,219.873,20,-8.69E-05
-5.85E-09,0.241946,-0.0241618,226.886,20,-8.64E-05
-4.48E-09,0.270721,-0.0165393,233.898,20,-8.70E-05
-3.35E-09,0.303059,-0.0110536,240.845,20,-8.70E-05
-2.69E-09,0.338987,-7.92E-03,247.792,20,-8.77E-05
-1.99E-09,0.379144,-5.26E-03,254.738,20,-8.82E-05
-1.65E-09,0.424772,-3.87E-03,261.751,20,-8.82E-05
-2.20E-09,0.47571,-4.62E-03,268.763,20,-8.81E-05
-3.68E-09,0.532263,-6.92E-03,275.71,20,-8.72E-05
-4.80E-09,0.595493,-8.07E-03,282.657,20,-8.71E-05
-5.15E-09,0.666465,-7.73E-03,289.669,20,-8.69E-05
-5.48E-09,0.746888,-7.34E-03,296.681,20,-8.67E-05
-6.41E-09,0.835255,-7.67E-03,303.628,20,-8.61E-05
-6.35E-09,0.934437,-6.80E-03,310.575,20,-8.59E-05
-5.25E-09,1.04643,-5.01E-03,317.587,20,-8.62E-05
-1.81E-09,1.17168,-1.54E-03,324.6,20,-8.60E-05
2.21E-09,1.31077,1.69E-03,331.547,20,-8.57E-05
2.54E-09,1.46681,1.73E-03,338.493,20,-8.57E-05
3.61E-09,1.64082,2.20E-03,345.44,20,-8.53E-05
3.63E-09,1.83763,1.97E-03,352.453,20,-8.53E-05
1.65E-09,2.05818,8.00E-04,359.465,20,-8.44E-05
1.63E-10,2.30198,7.10E-05,366.412,20,-8.41E-05
1.88E-09,2.57531,7.29E-04,373.359,20,-8.44E-05
5.79E-09,2.8842,2.01E-03,380.371,20,-8.43E-05
3.58E-09,3.23046,1.11E-03,387.383,20,-8.44E-05
4.02E-09,3.61299,1.11E-03,394.33,20,-8.39E-05
4.60E-09,4.04275,1.14E-03,401.277,20,-8.38E-05
3.70E-09,4.52207,8.19E-04,408.224,20,-8.38E-05
6.69E-09,5.0644,1.32E-03,415.236,20,-8.38E-05
-1.51E-09,5.67257,-2.66E-04,422.248,20,-8.38E-05
-2.20E-09,6.34476,-3.46E-04,429.195,20,-8.38E-05
1.68E-09,7.0972,2.37E-04,436.142,20,-8.42E-05
3.71E-09,7.94923,4.66E-04,443.154,20,-8.30E-05
5.15E-09,8.90203,5.79E-04,450.167,20,-8.27E-05
5.56E-09,9.95863,5.58E-04,457.114,20,-8.28E-05
4.39E-09,11.1419,3.94E-04,464.06,20,-8.27E-05
9.24E-10,12.4757,7.41E-05,471.073,20,-8.33E-05
6.68E-09,13.9723,4.78E-04,478.085,20,-8.27E-05
6.85E-09,15.631,4.38E-04,485.032,20,-8.23E-05
3.88E-09,17.4872,2.22E-04,491.979,20,-8.26E-05
7.92E-09,19.5615,4.05E-04,498.926,20,-8.20E-05
9.31E-09,21.9086,4.25E-04,505.938,20,-8.16E-05
6.02E-09,24.5335,2.45E-04,512.95,20,-8.22E-05
1.11E-08,27.4467,4.06E-04,519.897,20,-8.15E-05
8.96E-09,30.7037,2.92E-04,526.844,20,-8.14E-05
1.08E-08,34.3859,3.13E-04,533.856,20,-8.12E-05
