Filename,ps_thf_00_4
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,11/12/2019
Sample name,OSKT 42_PS_THF
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.0122951,5.90815e-3,-2.08104,3.59586,19.98,3.28455,4.64342e-3,20.0355,94096.4,3.59586,-0.695272,1.02802e-4
6.58009e-4,7.36818e-3,0.0893041,10.5513,19.98,-0.358880,-5.07355e-4,20.0248,-6610.42,10.5513,0.0372095,1.28206e-4
7.44280e-4,8.21969e-3,0.0905484,17.5637,19.99,-2.79903,-3.95704e-3,20.0333,-41428.4,17.5637,0.0420880,1.43022e-4
6.25300e-4,9.22203e-3,0.0678051,24.5760,19.99,-4.94770,-6.99464e-3,20.0342,-58176.9,24.5760,0.0353599,1.60463e-4
7.18870e-4,0.0103079,0.0697396,31.5228,19.99,-6.49248,-9.17852e-3,20.0231,-61104.0,31.5228,0.0406511,1.79357e-4
9.60677e-4,0.0115209,0.0833858,38.4697,19.99,-8.72416,-0.0123335,20.0251,-65728.4,38.4697,0.0543250,2.00463e-4
1.26861e-3,0.0129035,0.0983156,45.4820,19.99,-10.1938,-0.0144111,20.0307,-61224.0,45.4820,0.0717383,2.24520e-4
1.56843e-3,0.0144521,0.108526,52.4944,19.99,-11.1526,-0.0157666,20.0331,-53396.6,52.4944,0.0886927,2.51466e-4
2.07257e-3,0.0161558,0.128287,59.4412,19.99,-13.2536,-0.0187369,20.0300,-50778.4,59.4412,0.117201,2.81110e-4
2.68578e-3,0.0180825,0.148529,66.3880,19.99,-14.6117,-0.0206568,20.0258,-44687.2,66.3880,0.151877,3.14635e-4
3.42849e-3,0.0202598,0.169226,73.4004,19.99,-15.7661,-0.0222888,20.0333,-38410.9,73.4004,0.193877,3.52520e-4
