Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,s,°C,Pa
0.0138892,6.87E-03,2.02155,11.1412,20,54.9424
0.0149566,7.55E-03,1.98198,18.5467,20,54.0607
0.015726,8.26E-03,1.90338,25.9523,20,54.3463
0.0167101,9.05E-03,1.84642,33.2923,20,53.7889
0.0177712,9.92E-03,1.79109,40.6324,20,53.393
0.0187871,0.0108611,1.72975,47.9724,20,53.4202
0.0201885,0.0119105,1.69502,55.3124,20,53.3112
0.0213983,0.0130457,1.64026,62.718,20,53.9912
0.022912,0.0143024,1.60197,70.1236,20,53.1013
0.0245043,0.0156467,1.5661,77.4636,20,53.0716
0.0261109,0.0171546,1.52209,84.8036,20,53.159
0.0280662,0.0187916,1.49355,92.1436,20,53.2463
0.0300979,0.0205726,1.46301,99.4837,20,54.4111
0.0324083,0.0225597,1.43655,106.889,20,53.2649
0.0348641,0.0247204,1.41034,114.295,20,53.1702
0.0375788,0.0270832,1.38753,121.635,20,54.1753
0.0405236,0.0296549,1.36651,128.975,20,53.6966
0.0438687,0.0324804,1.35062,136.315,20,53.3599
0.0472793,0.0355735,1.32906,143.655,20,53.452
0.0513069,0.0390014,1.31551,151.061,20,54.1275
0.0555732,0.0427491,1.29998,158.466,20,53.6744
0.0601627,0.0468166,1.28507,165.806,20,54.336
0.0652243,0.0512762,1.27202,173.146,20,53.6487
0.0706571,0.0561641,1.25805,180.486,20,54.601
0.0768666,0.0614171,1.25155,187.826,20,54.0367
0.0836534,0.0673673,1.24175,195.232,20,53.7226
0.0909078,0.0738165,1.23154,202.637,20,54.4672
0.09898,0.0808957,1.22355,209.977,20,54.3277
0.107736,0.0885736,1.21635,217.317,20,54.5289
0.117409,0.0970384,1.20993,224.657,20,53.4741
0.127937,0.106295,1.20361,231.997,20,53.9061
0.13959,0.116514,1.19806,239.403,20,53.7775
0.152182,0.127737,1.19137,246.809,20,53.2194
0.166214,0.139897,1.18811,254.149,20,54.2155
0.181165,0.153207,1.18248,261.489,20,52.999
0.197955,0.167842,1.17942,268.829,20,53.8551
0.216421,0.183835,1.17726,276.169,20,54.184
0.236977,0.201506,1.17603,283.574,20,53.5844
0.259569,0.220889,1.17511,290.98,20,53.1196
0.285194,0.241929,1.17884,298.32,20,54.4823
0.312455,0.264979,1.17917,305.66,20,53.3511
0.341582,0.290225,1.17696,313,20,53.021
0.375048,0.317858,1.17992,320.34,20,54.0995
0.412221,0.348438,1.18305,327.746,20.01,53.2117
0.453083,0.381921,1.18632,335.151,20,53.6253
0.496077,0.418301,1.18593,342.491,20,52.4691
0.54239,0.45814,1.1839,349.831,20,53.6132
0.59293,0.501791,1.18163,357.171,20,52.607
0.647461,0.549589,1.17808,364.511,20,52.6705
0.70788,0.602396,1.17511,371.917,20,53.859
0.773849,0.660316,1.17194,379.322,20,52.3955
0.845317,0.723206,1.16885,386.662,20,52.3554
0.92424,0.79208,1.16685,394.002,20,52.9925
1.0107,0.867509,1.16506,401.342,20,52.4475
1.10818,0.95014,1.16634,408.683,20,53.2714
1.21572,1.04148,1.1673,416.088,20.01,52.4911
1.32985,1.14154,1.16496,423.494,20,53.8011
1.45291,1.25027,1.16208,430.834,20,52.9095
1.58498,1.36934,1.15748,438.174,20,51.1463
1.7327,1.49978,1.1553,445.514,20,53.575
1.9016,1.64253,1.15773,452.854,20,52.0389
2.08234,1.80053,1.15651,460.259,20,51.3732
2.28064,1.97349,1.15563,467.665,20,52.6627
2.48557,2.16146,1.14995,475.005,20,50.3252
2.71453,2.3672,1.14673,482.345,20,52.5804
2.97265,2.59276,1.14652,489.685,20,50.6046
3.25447,2.83961,1.1461,497.025,20,51.5816
3.56571,3.11254,1.14559,504.431,20,53.4333
3.89957,3.4117,1.143,511.836,20,49.0731
4.27772,3.73669,1.14479,519.176,20,49.1172
4.67513,4.09241,1.14239,526.516,20,52.3854
5.1194,4.4822,1.14216,533.856,20,50.1825
5.60386,4.90894,1.14156,541.196,20,52.6064
6.14028,5.38086,1.14113,548.602,20,50.3373
