Filename,ps_thf_01_3
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,18/12/2019
Sample name,PS_THF_01_3
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.996480,-0.0526338,18.9323,5.12444,20.00,9.23447,0.0130549,20.0285,3333.37,5.12444,-56.3496,-9.15826e-4
0.0283476,6.86995e-3,4.12632,11.1412,20.00,2.63547,3.72580e-3,20.0322,55840.6,11.1412,1.60302,1.19537e-4
0.0308267,7.53676e-3,4.11226,18.5467,20.00,1.09032,1.54141e-3,20.0262,19194.9,18.5467,1.74321,1.31139e-4
0.0342322,8.26578e-3,4.09357,25.9523,20.00,-1.44270,-2.03957e-3,20.0195,-21115.8,25.9523,1.93579,1.43824e-4
0.0367232,9.04745e-3,4.06366,33.2923,20.00,1.08382,1.53221e-3,20.0249,13240.5,33.2923,2.07665,1.57425e-4
0.0399660,9.89965e-3,4.03388,40.6324,20.00,-0.995883,-1.40790e-3,20.0325,-10161.7,40.6324,2.26002,1.72254e-4
0.0433615,0.0108614,3.99115,47.9724,20.00,-3.19041,-4.51033e-3,20.0296,-27044.3,47.9724,2.45204,1.88988e-4
0.0468368,0.0118885,3.95597,55.3124,20.00,-1.26919,-1.79427e-3,20.0280,-8979.93,55.3124,2.64856,2.06859e-4
0.0512815,0.0130486,3.90824,62.7180,20.00,-1.39987,-1.97902e-3,20.0334,-8221.64,62.7180,2.89990,2.27046e-4
0.0554655,0.0142913,3.86552,70.1236,20.00,-4.13440,-5.84487e-3,20.0224,-20242.8,70.1236,3.13650,2.48668e-4
0.0595292,0.0156554,3.82316,77.4636,20.00,-4.67667,-6.61148e-3,20.0104,-19081.2,77.4636,3.36630,2.72404e-4
0.0648116,0.0171561,3.76921,84.8036,20.00,-5.84149,-8.25821e-3,20.0179,-19846.6,84.8036,3.66501,2.98516e-4
0.0700237,0.0187848,3.71889,92.1436,20.00,-4.97445,-7.03246e-3,20.0253,-14097.1,92.1436,3.95975,3.26855e-4
0.0752861,0.0205579,3.67638,99.4837,20.00,-3.77889,-5.34228e-3,20.0274,-8941.39,99.4837,4.25733,3.57707e-4
0.0817734,0.0225420,3.63401,106.889,20.00,-6.01480,-8.50323e-3,20.0300,-11836.9,106.889,4.62418,3.92230e-4
0.0886388,0.0247090,3.59344,114.295,20.00,-5.93790,-8.39451e-3,20.0342,-9725.74,114.295,5.01240,4.29936e-4
0.0965648,0.0270685,3.56216,121.635,20.00,-5.03656,-7.12027e-3,20.0289,-6873.96,121.635,5.46061,4.70990e-4
0.104516,0.0296487,3.53780,128.975,20.00,-7.46738,-0.0105568,20.0255,-8494.87,128.975,5.91023,5.15886e-4
0.113870,0.0324890,3.51650,136.315,20.00,-5.38045,-7.60644e-3,20.0155,-5097.36,136.315,6.43922,5.65308e-4
0.124715,0.0355831,3.49805,143.655,20.00,-6.17425,-8.72864e-3,20.0193,-4876.38,143.655,7.05246,6.19144e-4
