Filename,psb_nmp_00_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 10_PSB_NMP
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,s,°C,Pa
0.0128417,6.38265e-3,2.01198,3.26241,19.97,-26.0238
4.29826e-4,7.33974e-3,0.0585615,10.5791,19.97,-26.6851
4.76341e-4,8.22922e-3,0.0578841,17.5637,19.98,-27.6649
4.72749e-4,9.22163e-3,0.0512652,24.5760,19.98,-27.7670
5.46738e-4,0.0103108,0.0530257,31.5228,19.99,-28.4708
5.86932e-4,0.0115446,0.0508404,38.4697,19.99,-29.4250
5.94441e-4,0.0129247,0.0459928,45.4820,19.99,-28.8522
5.54301e-4,0.0144824,0.0382741,52.4944,20.00,-29.6784
5.29563e-4,0.0161879,0.0327134,59.4412,20.00,-31.3932
5.82319e-4,0.0181127,0.0321498,66.3880,20.00,-31.8957
6.69960e-4,0.0202822,0.0330319,73.4004,20.00,-31.9400
6.86967e-4,0.0226999,0.0302630,80.4127,20.00,-32.7229
9.32254e-4,0.0254067,0.0366933,87.3595,20.00,-32.4478
1.07452e-3,0.0284159,0.0378143,94.3063,20.00,-34.1139
1.25508e-3,0.0318042,0.0394627,101.253,20.00,-34.3750
1.29958e-3,0.0356194,0.0364853,108.266,20.00,-34.8355
1.38764e-3,0.0398939,0.0347833,115.278,20.00,-35.1013
1.43793e-3,0.0446259,0.0322219,122.225,20.00,-36.1895
1.54052e-3,0.0499135,0.0308637,129.171,20.00,-36.6979
1.65235e-3,0.0559075,0.0295550,136.184,20.00,-35.7893
1.83657e-3,0.0625318,0.0293702,143.196,20.00,-36.1720
1.98652e-3,0.0699551,0.0283971,150.143,20.00,-36.3239
2.05124e-3,0.0783035,0.0261961,157.090,20.00,-37.2449
2.14396e-3,0.0875810,0.0244797,164.037,20.00,-37.4187
2.30569e-3,0.0980919,0.0235054,171.049,20.00,-37.3684
2.71426e-3,0.109874,0.0247033,178.061,20.00,-38.5941
3.11212e-3,0.122946,0.0253130,185.008,20.00,-38.3010
3.55884e-3,0.137518,0.0258790,191.955,20.00,-38.4803
4.16117e-3,0.154036,0.0270142,198.967,20.00,-38.4158
5.09324e-3,0.172490,0.0295277,205.980,20.00,-38.9784
7.19238e-3,0.192966,0.0372728,212.926,20.00,-39.1134
0.0107353,0.215909,0.0497214,219.873,20.00,-39.5448
0.0138401,0.241782,0.0572419,226.886,20.00,-39.7005
0.0166769,0.270846,0.0615733,233.898,20.00,-38.3635
0.0168791,0.302997,0.0557071,240.845,20.00,-38.1733
0.0159826,0.339143,0.0471264,247.792,20.00,-38.5873
0.0143602,0.379274,0.0378623,254.738,20.00,-39.1805
0.0140310,0.424709,0.0330367,261.751,20.00,-39.9284
0.0172207,0.475503,0.0362157,268.763,20.00,-39.8164
0.0193990,0.532053,0.0364607,275.710,20.00,-39.0262
0.0218171,0.595417,0.0366418,282.657,20.00,-39.5320
0.0168757,0.666890,0.0253052,289.669,20.00,-39.6042
0.0161669,0.746556,0.0216553,296.681,20.00,-39.8136
0.0149614,0.835236,0.0179127,303.628,20.00,-39.6030
0.0162106,0.934613,0.0173447,310.575,20.00,-39.7892
0.0155318,1.04647,0.0148421,317.587,20.00,-39.5456
0.0163692,1.17190,0.0139681,324.600,20.00,-39.1018
0.0183313,1.31099,0.0139828,331.547,20.00,-39.4050
0.0167917,1.46669,0.0114486,338.493,20.00,-40.2343
0.0131440,1.64117,8.00893e-3,345.440,20.00,-40.1986
5.96633e-3,1.83777,3.24650e-3,352.453,20.00,-40.3967
2.39111e-3,2.05777,1.16199e-3,359.465,20.00,-42.3029
6.04372e-3,2.30199,2.62544e-3,366.412,20.00,-40.8057
0.0115142,2.57523,4.47114e-3,373.359,20.00,-41.2615
0.0227655,2.88418,7.89324e-3,380.371,20.00,-41.1812
0.0231127,3.23023,7.15512e-3,387.383,20.00,-41.0031
0.0222395,3.61321,6.15504e-3,394.330,20.00,-40.4427
0.0193023,4.04245,4.77490e-3,401.277,20.00,-39.5449
0.0235106,4.52223,5.19891e-3,408.224,20.00,-40.0759
0.0252914,5.06447,4.99389e-3,415.236,20.00,-39.7334
0.0251009,5.67144,4.42585e-3,422.248,20.00,-40.4715
0.0286696,6.34490,4.51853e-3,429.195,20.00,-39.8538
0.0322242,7.09796,4.53992e-3,436.142,20.00,-39.6103
0.0257640,7.94891,3.24120e-3,443.154,20.00,-39.8630
0.0386645,8.90203,4.34333e-3,450.167,20.00,-39.9596
0.0432022,9.95839,4.33827e-3,457.114,19.99,-39.4999
0.0475662,11.1407,4.26960e-3,464.060,20.00,-39.3782
0.0536766,12.4768,4.30211e-3,471.073,20.00,-39.3702
0.0521646,13.9721,3.73349e-3,478.085,20.00,-39.2787
0.0622562,15.6308,3.98291e-3,485.032,20.00,-39.1144
0.0705487,17.4861,4.03456e-3,491.979,20.00,-39.0290
0.0765387,19.5620,3.91262e-3,498.926,20.00,-38.9298
0.0881071,21.9077,4.02174e-3,505.938,20.00,-38.8528
0.101211,24.5338,4.12538e-3,512.950,20.00,-38.7797
0.111216,27.4458,4.05219e-3,519.897,20.00,-38.2196
0.126692,30.7039,4.12625e-3,526.844,20.00,-38.4232
0.148427,34.3854,4.31658e-3,533.856,20.00,-37.9897
0.232201,38.5087,6.02983e-3,540.869,19.99,-38.9661
0.192912,43.0773,4.47828e-3,547.815,20.00,-38.6428
0.217201,48.1923,4.50696e-3,554.762,20.00,-38.7132
0.244815,53.9123,4.54098e-3,561.709,20.00,-39.2028
0.285591,60.3779,4.73006e-3,568.721,20.00,-38.8117
0.314530,67.6150,4.65178e-3,575.734,20.00,-41.0977
0.344087,75.6414,4.54893e-3,582.681,20.00,-40.7268
0.379573,84.6207,4.48558e-3,589.627,20.00,-41.1875
0.437120,94.5636,4.62250e-3,596.509,20.00,-41.5762

