Filename,psb_nmp_00_13,,,,,,,
Instrument name,5333-0457,,,,,,,
Operator,Osamu Katagiri,,,,,,,
rundate,12/12/2019,,,,,,,
Sample name,OSKT 13_PSB_NMP,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,
Procedure name,Sample,,,,,,,
,Flow ramp,,,,,,,
proceduresegments,Flow ramp,,,,,,,
[step],,,,,,,,
Flow ramp - 1,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,,,
Pa,1/s,Pa.s,s,°C,Pa,,,
0.0114017,6.46E-03,1.55189,3.5389,19.98,-22.6449,,,
0.0114017,7.35E-03,1.55189,10.5513,19.98,-22.6449,,,
0.0116051,8.23E-03,1.40976,17.5637,19.99,-23.2294,,,
0.0118689,9.21E-03,1.28841,24.576,19.99,-22.3771,,,
0.0121525,0.0103158,1.17805,31.5228,19.99,-22.4311,,,
0.0123166,0.0115366,1.06761,38.4697,19.99,-21.4254,,,
0.0124661,0.0129214,0.964762,45.482,20,-22.4744,,,
0.012623,0.0144741,0.872112,52.4944,20,-21.8275,,,
0.0128103,0.016186,0.791442,59.4412,20,-21.5112,,,
0.013015,0.0181177,0.718361,66.388,20,-22.8832,,,
0.0131631,0.0202856,0.64889,73.4004,20,-22.1151,,,
0.0133451,0.022721,0.587345,80.4127,20,-22.6371,,,
0.0135898,0.0254092,0.534839,87.3595,20,-22.3416,,,
0.013825,0.0284346,0.486201,94.3063,20,-22.7978,,,
0.0141315,0.0318004,0.44438,101.253,20,-22.144,,,
0.014462,0.0356196,0.406012,108.266,20,-21.7388,,,
0.01479,0.0398869,0.370798,115.278,20,-21.9655,,,
0.0151861,0.044631,0.340259,122.225,20,-22.9916,,,
0.0156202,0.0499275,0.312858,129.171,20,-22.6133,,,
0.016118,0.0559063,0.288305,136.184,20,-22.109,,,
0.0166278,0.0625396,0.265876,143.196,20,-22.6399,,,
0.0174014,0.0699548,0.248752,150.143,20,-22.7461,,,
0.0178439,0.0782858,0.227933,157.09,20,-22.3993,,,
0.0185027,0.0875914,0.211239,164.037,20,-22.7112,,,
0.0192549,0.0981028,0.196272,171.049,20,-21.4602,,,
0.0200141,0.109878,0.182148,178.061,20,-22.4077,,,
0.0208386,0.122936,0.169508,185.008,20,-21.702,,,
0.0216714,0.137537,0.157568,191.955,20,-21.9565,,,
0.0225203,0.154065,0.146174,198.967,20,-21.7806,,,
0.0233914,0.172511,0.135594,205.98,20,-21.5038,,,
0.0242722,0.193031,0.125742,212.926,20,-21.7133,,,
0.0250848,0.215945,0.116163,219.873,20,-22.4605,,,
0.0258884,0.241838,0.107048,226.886,20,-21.9361,,,
0.0270474,0.270847,0.0998621,233.898,20,-22.0423,,,
0.0286019,0.303025,0.0943879,240.845,20,-22.1946,,,
0.0305917,0.338982,0.0902456,247.792,20,-22.2339,,,
0.0332558,0.379228,0.0876934,254.738,20,-22.3339,,,
0.0367871,0.424738,0.0866112,261.751,20,-21.9506,,,
0.0409008,0.475622,0.0859942,268.763,20,-22.1732,,,
0.0457149,0.532111,0.0859122,275.71,20,-22.1556,,,
0.0509236,0.595291,0.085544,282.657,20,-22.0781,,,
0.0564576,0.666697,0.0846826,289.669,20,-21.8488,,,
0.0629929,0.746629,0.0843697,296.681,20,-21.9139,,,
0.0710202,0.835222,0.0850315,303.628,20,-22.4322,,,
0.080361,0.934362,0.0860063,310.575,20,-21.8689,,,
0.0889989,1.04645,0.0850485,317.587,20,-22.2858,,,
0.0969936,1.17199,0.0827598,324.6,20,-22.1003,,,
0.108735,1.31097,0.0829421,331.547,20,-22.1684,,,
0.126995,1.46676,0.0865821,338.493,20,-22.0198,,,
0.142326,1.64081,0.0867414,345.44,20,-21.3468,,,
0.154274,1.83734,0.0839659,352.453,20,-21.6051,,,
0.171894,2.05788,0.0835295,359.465,20,-21.1806,,,
0.197809,2.30216,0.0859232,366.412,20,-21.7197,,,
0.220074,2.57545,0.0854509,373.359,20,-22.0447,,,
0.235453,2.884,0.081641,380.371,20,-22.0996,,,
0.265133,3.23004,0.0820836,387.383,20.01,-21.9959,,,
0.301283,3.61335,0.0833805,394.33,20,-21.702,,,
0.337672,4.04211,0.0835385,401.277,20,-21.8793,,,
0.376195,4.52208,0.0831906,408.224,20,-22.956,,,
0.421672,5.06445,0.0832613,415.236,20,-21.3778,,,
0.47746,5.67135,0.084188,422.248,20,-22.1219,,,
0.533137,6.34463,0.0840297,429.195,20,-21.0014,,,
0.596031,7.09774,0.0839747,436.142,20,-20.9746,,,
0.668509,7.9489,0.0841009,443.154,20,-21.0883,,,
0.741887,8.90168,0.0833423,450.167,20,-21.4661,,,
0.832,9.95835,0.083548,457.114,20,-22.3062,,,
0.932054,11.1405,0.0836636,464.06,20,-21.2291,,,
1.04578,12.4763,0.0838211,471.073,20,-21.2983,,,
1.1698,13.9719,0.0837252,478.085,20,-21.9115,,,
1.30485,15.6304,0.0834816,485.032,20,-22.1316,,,
