Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
-2.42E-08,6.02E-03,-4.02121,3.53533,19.98,-1.26E-05
7.26E-10,7.32E-03,0.09913,10.5513,19.98,-1.35E-05
9.19E-10,8.23E-03,0.111752,17.5637,19.99,-1.39E-05
1.08E-09,9.20E-03,0.117069,24.5332,19.99,-1.43E-05
1.34E-09,0.0102961,0.129962,31.5228,19.99,-1.52E-05
1.57E-09,0.0115284,0.136483,38.4697,19.99,-1.61E-05
1.86E-09,0.0129055,0.144209,45.482,20,-1.60E-05
2.16E-09,0.0144624,0.149452,52.4944,19.99,-1.69E-05
2.47E-09,0.016174,0.152688,59.4412,20,-1.69E-05
2.82E-09,0.0180956,0.155722,66.388,20,-1.75E-05
3.23E-09,0.0202731,0.159556,73.4004,20,-1.74E-05
3.68E-09,0.0227091,0.162228,80.4127,20,-1.80E-05
4.15E-09,0.0253956,0.163565,87.3595,20,-1.85E-05
4.65E-09,0.0284149,0.163751,94.3063,20,-1.78E-05
5.23E-09,0.0317959,0.164476,101.253,20,-1.87E-05
5.87E-09,0.0356049,0.164748,108.266,20,-1.93E-05
6.62E-09,0.0398815,0.165911,115.278,20,-1.94E-05
7.53E-09,0.044613,0.168678,122.225,20,-1.94E-05
8.48E-09,0.049911,0.169954,129.171,20,-1.99E-05
9.60E-09,0.0558969,0.171786,136.184,20,-2.06E-05
1.09E-08,0.0625234,0.174862,143.196,20,-2.00E-05
1.24E-08,0.0699592,0.176863,150.143,20,-1.95E-05
1.39E-08,0.0782703,0.177332,157.09,20,-2.05E-05
1.55E-08,0.0875781,0.177078,164.037,20,-2.01E-05
1.75E-08,0.0980813,0.178063,171.049,20,-2.06E-05
1.96E-08,0.109836,0.178389,178.061,20,-2.03E-05
2.19E-08,0.122951,0.178509,185.008,20,-1.89E-05
2.46E-08,0.137538,0.178952,191.955,20,-2.05E-05
2.76E-08,0.154019,0.178894,198.967,20,-1.97E-05
3.11E-08,0.17252,0.180227,205.98,20,-1.97E-05
3.48E-08,0.193,0.180272,212.926,20,-2.09E-05
3.89E-08,0.215943,0.180111,219.873,20,-2.06E-05
4.33E-08,0.241794,0.179098,226.886,20,-1.93E-05
4.80E-08,0.270891,0.177052,233.898,20,-2.03E-05
5.29E-08,0.302988,0.17447,240.845,20,-2.01E-05
5.76E-08,0.338937,0.170055,247.792,20,-1.98E-05
6.32E-08,0.379234,0.166554,254.738,20,-2.00E-05
6.98E-08,0.424711,0.164413,261.751,20,-2.05E-05
7.75E-08,0.475727,0.162953,268.763,20,-2.04E-05
8.61E-08,0.532107,0.161771,275.71,20,-2.05E-05
9.51E-08,0.595274,0.159709,282.657,20,-2.07E-05
1.05E-07,0.666628,0.157367,289.669,20,-2.11E-05
1.17E-07,0.746705,0.15613,296.681,20,-2.08E-05
1.30E-07,0.835263,0.155354,303.628,20,-2.09E-05
1.44E-07,0.934251,0.1537,310.575,20,-2.08E-05
1.59E-07,1.04646,0.151469,317.587,20,-2.05E-05
1.76E-07,1.17204,0.150168,324.6,20,-2.11E-05
1.99E-07,1.31096,0.152024,331.547,20,-2.10E-05
2.28E-07,1.46668,0.155152,338.493,20,-2.05E-05
2.55E-07,1.64087,0.155235,345.44,20,-2.05E-05
2.86E-07,1.8373,0.155578,352.453,20,-2.02E-05
3.20E-07,2.05786,0.155695,359.465,20,-2.08E-05
3.61E-07,2.30219,0.156663,366.412,20,-2.07E-05
4.02E-07,2.5754,0.155966,373.359,20,-2.09E-05
4.50E-07,2.88405,0.155874,380.371,20,-2.06E-05
5.03E-07,3.2299,0.155702,387.383,20,-2.04E-05
5.70E-07,3.61335,0.157841,394.33,20,-2.09E-05
6.41E-07,4.04224,0.158518,401.277,20,-2.05E-05
7.11E-07,4.52197,0.157209,408.224,20,-2.12E-05
7.97E-07,5.06441,0.157278,415.236,20,-2.04E-05
8.91E-07,5.67134,0.157154,422.248,20,-2.03E-05
9.97E-07,6.34461,0.157192,429.195,20,-2.16E-05
1.11E-06,7.09768,0.156185,436.142,20,-2.02E-05
1.24E-06,7.9489,0.156517,443.154,20,-2.17E-05
1.39E-06,8.90152,0.156346,450.167,20,-2.10E-05
1.57E-06,9.95841,0.157206,457.114,20,-2.02E-05
1.75E-06,11.1405,0.156894,464.06,20,-2.15E-05
1.95E-06,12.4763,0.156592,471.073,20,-2.01E-05
2.19E-06,13.9718,0.156408,478.085,20,-2.26E-05
2.45E-06,15.6304,0.156696,485.032,20,-2.03E-05
2.74E-06,17.4858,0.156683,491.979,20,-2.06E-05
3.06E-06,19.5614,0.156332,498.926,20,-2.14E-05
3.43E-06,21.9072,0.1566,505.938,20,-1.92E-05
3.84E-06,24.5329,0.156376,512.95,20,-2.27E-05
4.29E-06,27.4452,0.156424,519.897,20,-1.97E-05
4.80E-06,30.7031,0.156279,526.844,20,-2.16E-05
5.38E-06,34.3849,0.156344,533.856,20,-2.12E-05
6.02E-06,38.5064,0.156215,540.869,20,-2.02E-05
6.73E-06,43.0775,0.156127,547.815,20,-2.21E-05
7.52E-06,48.1909,0.15606,554.762,20,-1.94E-05
8.41E-06,53.9115,0.155985,561.709,20,-2.26E-05
9.41E-06,60.376,0.155897,568.721,20,-2.04E-05
1.05E-05,67.6133,0.155772,575.734,20,-2.16E-05
1.18E-05,75.6394,0.155639,582.681,20,-2.29E-05
1.32E-05,84.6181,0.15554,589.627,20,-1.92E-05
1.47E-05,94.5609,0.155387,596.509,20,-2.26E-05
