Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
MPa,1/s,Pa.s,s,°C,MPa
-9.51E-09,5.97E-03,-1.59321,3.36367,19.98,-3.35E-05
-2.93E-09,7.44E-03,-0.394055,10.3732,19.98,-3.26E-05
-2.97E-09,8.26E-03,-0.359329,17.6079,19.99,-3.41E-05
-3.06E-09,9.28E-03,-0.329858,24.7857,19.99,-3.44E-05
-2.82E-09,0.0103073,-0.273596,31.5228,19.99,-3.67E-05
-2.86E-09,0.0115377,-0.24793,38.4697,19.99,-3.75E-05
-2.73E-09,0.0129208,-0.21165,45.482,20,-3.77E-05
-2.81E-09,0.0144769,-0.194287,52.4944,20,-3.75E-05
-2.76E-09,0.0161974,-0.170447,59.4412,20,-3.79E-05
-2.82E-09,0.0181153,-0.155911,66.388,20,-3.75E-05
-2.84E-09,0.0202872,-0.139868,73.4004,20,-3.75E-05
-2.80E-09,0.0227193,-0.123449,80.4127,20,-3.76E-05
-2.71E-09,0.0254303,-0.106528,87.3595,20,-3.85E-05
-2.76E-09,0.0284319,-0.0969352,94.3063,20,-3.84E-05
-2.76E-09,0.0318029,-0.0867916,101.253,20,-3.85E-05
-2.70E-09,0.0356162,-0.075714,108.266,20,-3.86E-05
-2.74E-09,0.0398951,-0.0687539,115.278,20,-3.86E-05
-2.69E-09,0.0446253,-0.0603624,122.225,20,-3.86E-05
-2.66E-09,0.0499235,-0.0532539,129.171,20,-3.90E-05
-2.49E-09,0.0559113,-0.0445474,136.184,20,-3.94E-05
-2.35E-09,0.0625315,-0.0375837,143.196,20,-4.03E-05
-2.24E-09,0.0699527,-0.032002,150.143,20,-4.02E-05
-2.02E-09,0.0782902,-0.025788,157.09,20,-3.95E-05
-1.80E-09,0.0875817,-0.020598,164.037,20,-3.99E-05
-1.55E-09,0.0980874,-0.0157917,171.049,20,-4.00E-05
-1.17E-09,0.109865,-0.0106876,178.061,20,-4.02E-05
-7.72E-10,0.122935,-6.28E-03,185.008,20,-3.98E-05
-3.29E-10,0.137491,-2.40E-03,191.955,20,-4.03E-05
1.20E-10,0.154,7.81E-04,198.967,20,-4.06E-05
8.29E-10,0.172443,4.81E-03,205.98,20,-4.03E-05
1.54E-09,0.193018,7.99E-03,212.926,20,-4.03E-05
2.52E-09,0.2159,0.0116501,219.873,20,-4.04E-05
3.87E-09,0.241747,0.0160015,226.886,20,-4.06E-05
5.22E-09,0.270838,0.0192789,233.898,20,-4.01E-05
7.17E-09,0.302962,0.0236631,240.845,20,-4.11E-05
9.61E-09,0.338969,0.028339,247.792,20,-4.08E-05
1.21E-08,0.379237,0.0319362,254.738,20,-4.10E-05
1.45E-08,0.424712,0.0340653,261.751,20,-4.06E-05
1.68E-08,0.475629,0.0352741,268.763,20,-4.12E-05
1.90E-08,0.53211,0.035728,275.71,20,-4.02E-05
2.14E-08,0.595268,0.035958,282.657,20,-4.08E-05
2.37E-08,0.666768,0.0354985,289.669,20,-4.06E-05
2.59E-08,0.746631,0.0346599,296.681,20,-4.09E-05
2.94E-08,0.835197,0.0351983,303.628,20,-4.14E-05
3.38E-08,0.934368,0.0361665,310.575,20,-4.08E-05
3.65E-08,1.04649,0.0349234,317.587,20,-4.11E-05
4.03E-08,1.17195,0.0343924,324.6,20,-4.07E-05
4.66E-08,1.31096,0.0355841,331.547,20,-4.07E-05
4.94E-08,1.46684,0.0336582,338.493,20,-4.11E-05
5.66E-08,1.64072,0.0344684,345.44,20,-4.08E-05
6.46E-08,1.83746,0.0351368,352.453,20,-4.09E-05
7.51E-08,2.05795,0.036508,359.465,20,-4.09E-05
7.83E-08,2.30202,0.0340212,366.412,20,-4.12E-05
7.79E-08,2.57552,0.0302452,373.359,20,-4.17E-05
9.40E-08,2.88407,0.0325874,380.371,20,-4.14E-05
1.15E-07,3.22992,0.0355528,387.383,20,-4.17E-05
1.24E-07,3.61338,0.0342042,394.33,20,-4.12E-05
1.35E-07,4.04223,0.0334071,401.277,20,-4.18E-05
1.52E-07,4.52219,0.0336584,408.224,20,-4.13E-05
1.68E-07,5.06433,0.0332358,415.236,20,-4.09E-05
1.90E-07,5.67152,0.0335846,422.248,20,-4.05E-05
2.12E-07,6.34455,0.0334594,429.195,20,-3.98E-05
2.39E-07,7.0978,0.0336643,436.142,20,-4.09E-05
2.68E-07,7.94914,0.0336529,443.154,20,-4.08E-05
2.98E-07,8.90158,0.0334867,450.167,20,-4.20E-05
3.34E-07,9.95841,0.0335193,457.114,20,-4.26E-05
3.73E-07,11.1406,0.0334658,464.06,20,-4.24E-05
4.18E-07,12.4764,0.033504,471.073,20,-4.01E-05
4.67E-07,13.9718,0.033429,478.085,20,-3.92E-05
5.24E-07,15.6307,0.0335547,485.032,20,-4.13E-05
5.85E-07,17.486,0.033437,491.979,20,-3.83E-05
6.55E-07,19.5615,0.0334746,498.926,20,-3.72E-05
7.34E-07,21.9074,0.0334859,505.938,20,-3.72E-05
8.21E-07,24.5333,0.0334615,512.95,20,-3.45E-05
9.18E-07,27.4455,0.0334427,519.897,20,-3.60E-05
1.03E-06,30.7034,0.0334401,526.844,20,-3.36E-05
1.15E-06,34.3853,0.0334236,533.856,20,-3.48E-05
1.29E-06,38.5069,0.0334251,540.869,20,-3.35E-05
1.44E-06,43.0777,0.0334195,547.815,20,-3.39E-05
1.61E-06,48.1915,0.0334086,554.762,20,-3.38E-05
1.80E-06,53.9119,0.0334027,561.709,20,-3.22E-05
2.02E-06,60.3769,0.0333967,568.721,20,-3.33E-05
2.26E-06,67.614,0.0333912,575.734,20,-3.04E-05
2.53E-06,75.6401,0.0333934,582.681,20,-3.22E-05
2.82E-06,84.6189,0.0333797,589.627,20,-3.16E-05
3.16E-06,94.562,0.0333704,596.509,20,-3.20E-05
