Filename,psb_thfdmf_00_9
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,11/12/2019
Sample name,OSKT 9_PSB_THFDMF
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-0.0126282,5.91488e-3,-2.13499,3.53533,19.98,-27.9722,-0.0395448,20.0283,-799531,3.53533,-0.714109,1.02919e-4
4.83224e-4,7.25613e-3,0.0665954,10.5513,19.98,-28.0766,-0.0396924,20.0322,-533255,10.5513,0.0273257,1.26256e-4
8.10446e-4,8.22560e-3,0.0985273,17.5637,19.98,-28.7076,-0.0405844,20.0258,-424289,17.5637,0.0458297,1.43125e-4
9.14309e-4,9.21568e-3,0.0995855,24.5760,19.99,-28.7257,-0.0406100,20.0332,-338233,24.5760,0.0517029,1.60353e-4
1.02259e-3,0.0103134,0.0992250,31.5228,19.99,-28.8262,-0.0407521,20.0248,-271011,31.5228,0.0578262,1.79452e-4
1.08347e-3,0.0115682,0.0990384,38.4697,19.99,-28.4405,-0.0402068,20.0282,-212523,38.4697,0.0612686,2.01286e-4
1.27143e-3,0.0129061,0.0988397,45.4820,19.99,-29.2107,-0.0412957,20.0263,-175370,45.4820,0.0718979,2.24565e-4
1.49918e-3,0.0144746,0.0986913,52.4944,19.99,-28.7462,-0.0406391,20.0215,-137203,52.4944,0.0847766,2.51858e-4
1.59212e-3,0.0161863,0.0984705,59.4412,20.00,-28.8983,-0.0408540,20.0293,-110300,59.4412,0.0900325,2.81641e-4
1.81605e-3,0.0181347,0.0980810,66.3880,19.99,-29.1819,-0.0412549,20.0133,-88734.9,66.3880,0.102695,3.15543e-4
1.95969e-3,0.0202647,0.0974289,73.4004,20.00,-29.0588,-0.0410809,20.0217,-70761.2,73.4004,0.110818,3.52606e-4
2.18451e-3,0.0227093,0.0965833,80.4127,20.00,-29.0504,-0.0410691,20.0127,-56330.7,80.4127,0.123531,3.95141e-4
2.42917e-3,0.0253984,0.0955029,87.3595,20.00,-29.8559,-0.0422078,20.0116,-46282.5,87.3595,0.137366,4.41932e-4
2.75993e-3,0.0284284,0.0942120,94.3063,20.00,-29.3951,-0.0415563,20.0105,-36372.1,94.3063,0.156070,4.94654e-4
2.98273e-3,0.0318124,0.0927978,101.253,20.00,-29.4711,-0.0416638,20.0054,-29120.9,101.253,0.168670,5.53534e-4
3.23489e-3,0.0355997,0.0913191,108.266,20.00,-29.6819,-0.0419617,20.0122,-23420.6,108.266,0.182929,6.19434e-4
3.52705e-3,0.0398774,0.0897606,115.278,20.00,-29.4924,-0.0416939,20.0184,-18546.3,115.278,0.199450,6.93865e-4
3.94376e-3,0.0446163,0.0882564,122.225,20.00,-30.1526,-0.0426273,20.0242,-15147.4,122.225,0.223014,7.76322e-4
4.30457e-3,0.0499242,0.0867957,129.171,20.00,-29.8983,-0.0422678,20.0341,-11995.7,129.171,0.243418,8.68679e-4
