Filename,psb_thfdmf_01_6,,,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,,,
Sample name,PSB_THFDMF_01_6,,,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,,,
Procedure name,Sample,,,,,,,,,,,,
,Flow ramp,,,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,,,
[step],,,,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity,,
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s,,
-1.87656,2.06561,-0.908475,1.14691,19.98,61.1354,0.0864281,20.0348,14.3283,1.14691,-106.117,0.0359416,,
1.35767,7.67E-03,177.029,11.4939,19.98,62.6721,0.0886006,20.03,1065560,11.4939,76.7743,1.33E-04,,
1.49671,7.38E-03,198.259,18.5467,19.99,63.9196,0.0903642,20.0328,1121570,18.5467,84.6368,1.31E-04,,
1.49671,7.55E-03,198.259,18.5467,19.99,63.9196,0.0903642,20.0328,1121570,18.5467,84.6368,1.31E-04,,
1.35721,8.27E-03,164.159,25.9523,19.99,62.202,0.0879361,20.0205,909997,25.9523,76.7485,1.44E-04,,
1.31071,8.96E-03,146.248,33.2923,20,61.8606,0.0874534,20.0239,770159,33.2923,74.1188,1.56E-04,,
1.37322,0.0100139,137.131,40.6324,19.99,62.5321,0.0884027,20.0298,623586,40.6324,77.6535,1.74E-04,,
1.22142,0.0108743,112.322,47.9724,20,59.6036,0.0842626,20.0322,504045,47.9724,69.0699,1.89E-04,,
1.16978,0.0119762,97.6757,55.3124,20,59.9146,0.0847023,20.0302,417732,55.3124,66.1495,2.08E-04,,
0.913573,0.013015,70.194,62.718,20,57.4848,0.0812672,20.0277,339364,62.718,51.6613,2.26E-04,,
0.901289,0.0142837,63.099,70.1236,20,56.095,0.0793024,20.0266,274941,70.1236,50.9667,2.49E-04,,
0.998116,0.0156745,63.6776,77.4636,20,57.2218,0.0808954,20.0232,232902,77.4636,56.4421,2.73E-04,,
1.04749,0.0171486,61.0829,84.8036,20,56.918,0.0804659,20.0256,193550,84.8036,59.234,2.98E-04,,
1.07651,0.0187893,57.2936,92.1436,20,57.0488,0.0806508,20.022,161593,92.1436,60.8751,3.27E-04,,
1.07055,0.0205762,52.0284,99.4837,20,57.4599,0.0812321,20.022,135717,99.4837,60.538,3.58E-04,,
1.07264,0.0226692,47.3169,106.889,20,56.1218,0.0793403,20.0202,109209,106.889,60.6562,3.94E-04,,
0.716467,0.0247831,28.9095,114.295,20,54.1446,0.0765451,20.0258,88154.3,114.295,40.5153,4.31E-04,,
0.45499,0.0270232,16.837,121.635,20,51.6609,0.0730339,20.0207,70743.8,121.635,25.7291,4.70E-04,,
0.446726,0.0296346,15.0745,128.975,20,51.2673,0.0724774,20.0303,58377.2,128.975,25.2618,5.16E-04,,
0.488382,0.0326092,14.9768,136.315,20,51.5713,0.0729072,20.0204,48498.6,136.315,27.6173,5.67E-04,,
0.47926,0.0356669,13.4371,143.655,20,51.6283,0.0729878,20.0174,40584.2,143.655,27.1015,6.21E-04,,
0.475629,0.039064,12.1757,151.061,20,52.0951,0.0736478,20.0272,34138.5,151.061,26.8962,6.80E-04,,
0.444495,0.0427744,10.3916,158.466,20,52.5815,0.0743354,20.0302,28738.6,158.466,25.1356,7.44E-04,,
0.415718,0.0468338,8.87645,165.806,20,51.8203,0.0732592,20.0231,23625.5,165.806,23.5083,8.15E-04,,
0.410114,0.0511602,8.01627,173.146,20,52.7938,0.0746355,20.0137,20170.6,173.146,23.1914,8.90E-04,,
0.389216,0.0561566,6.93091,180.486,20,51.9457,0.0734365,20.0282,16472.1,180.486,22.0097,9.77E-04,,
0.322006,0.0614297,5.24187,187.826,20,50.9316,0.0720028,20.0159,13496.8,187.826,18.209,1.07E-03,,
0.330593,0.0672891,4.91303,195.232,20,51.6963,0.0730839,20.0257,11417.5,195.232,18.6946,1.17E-03,,
0.358946,0.07385,4.86047,202.637,20,51.9028,0.0733758,20.0195,9516.77,202.637,20.2979,1.28E-03,,
0.38806,0.0809394,4.79445,209.977,20,51.5586,0.0728892,20.0192,7870.11,209.977,21.9443,1.41E-03,,
0.373483,0.0886118,4.21482,217.317,20,51.5992,0.0729466,20.0225,6571.43,217.317,21.12,1.54E-03,,
0.368915,0.0970277,3.80216,224.657,20,50.9602,0.0720434,20.0185,5413.03,224.657,20.8616,1.69E-03,,
0.393073,0.106415,3.69376,231.997,20,51.812,0.0732475,20.027,4575.32,231.997,22.2277,1.85E-03,,
0.308244,0.11647,2.64656,239.403,20,51.0516,0.0721725,20.0239,3763.44,239.403,17.4308,2.03E-03,,
0.316983,0.12772,2.48185,246.809,20,51.2126,0.0724001,20.0283,3139.48,246.809,17.925,2.22E-03,,
0.275627,0.139848,1.9709,254.149,20,51.0785,0.0722106,20.0236,2611.7,254.149,15.5864,2.43E-03,,
0.274511,0.153341,1.7902,261.489,20,50.7796,0.071788,20.0315,2159.6,261.489,15.5232,2.67E-03,,
0.269868,0.16782,1.60808,268.829,20,50.9904,0.072086,20.025,1810.51,268.829,15.2607,2.92E-03,,
0.278356,0.183864,1.51393,276.169,20,50.7461,0.0717406,20.0235,1501.1,276.169,15.7407,3.20E-03,,
0.287293,0.20152,1.42563,283.574,20,50.3966,0.0712466,20.0248,1240.98,283.574,16.246,3.51E-03,,
0.309697,0.220856,1.40225,290.98,20,51.5877,0.0729304,20.0294,1057.61,290.98,17.5129,3.84E-03,,
0.295477,0.241977,1.22109,298.32,20,50.3434,0.0711714,20.0334,859.793,298.32,16.7088,4.21E-03,,
0.270697,0.264978,1.02159,305.66,20,50.3233,0.0711429,20.0338,716.721,305.66,15.3076,4.61E-03,,
0.247251,0.290201,0.851997,313,20,50.1532,0.0709025,20.034,595.525,313,13.9817,5.05E-03,,
0.246366,0.317922,0.774925,320.34,20,50.8559,0.0718958,20.0341,503.152,320.34,13.9317,5.53E-03,,
0.252194,0.348484,0.723688,327.746,20.01,50.6173,0.0715585,20.0119,416.805,327.746,14.2612,6.06E-03,,
0.246722,0.381982,0.645899,335.151,20,49.9346,0.0705934,20.0174,342.229,335.151,13.9518,6.65E-03,,
0.246701,0.418263,0.589824,342.491,20,49.9971,0.0706818,20.0248,285.79,342.491,13.9506,7.28E-03,,
