Filename,psb_thfdmf_01_9
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,19/12/2019
Sample name,PSB_THFDMF_01_9
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0101421,6.35183e-3,1.59671,4.58755,20.03,-9.36854,-0.0132445,20.0299,-232206,4.58755,0.573520,1.10522e-4
0.0105866,6.86647e-3,1.54723,11.1412,20.03,-10.3665,-0.0146552,20.0123,-219869,11.1412,0.598661,1.19476e-4
0.0119633,7.54129e-3,1.56673,18.5467,20.02,-10.5418,-0.0149031,20.0330,-185363,18.5467,0.676509,1.31218e-4
0.0131703,8.25081e-3,1.56556,25.9523,20.02,-10.3041,-0.0145671,20.0250,-151362,25.9523,0.744763,1.43564e-4
0.0140178,9.04240e-3,1.57083,33.2923,20.02,-9.71159,-0.0137294,20.0356,-118774,33.2923,0.792688,1.57337e-4
0.0154110,9.91795e-3,1.56390,40.6324,20.02,-8.49088,-0.0120037,20.0285,-86319.5,40.6324,0.871474,1.72572e-4
0.0170561,0.0108803,1.55391,47.9724,20.01,-5.91410,-8.36086e-3,20.0238,-49957.9,47.9724,0.964500,1.89317e-4
0.0184805,0.0119065,1.55158,55.3124,20.01,-2.94645,-4.16544e-3,20.0243,-20784.2,55.3124,1.04505,2.07172e-4
0.0201868,0.0130585,1.54884,62.7180,20.01,-0.574416,-8.12062e-4,20.0241,-3368.51,62.7180,1.14154,2.27218e-4
0.0219845,0.0142898,1.54055,70.1236,20.00,0.609537,8.61713e-4,20.0326,2985.01,70.1236,1.24319,2.48643e-4
0.0241100,0.0156501,1.53554,77.4636,20.00,2.28246,3.22676e-3,20.0146,9319.00,77.4636,1.36339,2.72311e-4
0.0261817,0.0171599,1.52955,84.8036,20.01,2.72543,3.85298e-3,20.0232,9255.57,84.8036,1.48054,2.98582e-4
0.0286618,0.0187692,1.52286,92.1436,20.00,3.61472,5.11020e-3,20.0176,10260.9,92.1436,1.62079,3.26583e-4
0.0311799,0.0205629,1.51760,99.4837,20.00,3.48337,4.92450e-3,20.0272,8238.14,99.4837,1.76318,3.57794e-4
0.0339283,0.0225511,1.51368,106.889,20.00,4.08994,5.78201e-3,20.0282,8042.28,106.889,1.91860,3.92389e-4
0.0374422,0.0247268,1.50849,114.295,20.00,4.02376,5.68846e-3,20.0267,6581.07,114.295,2.11731,4.30245e-4
0.0407649,0.0270598,1.50496,121.635,20.00,4.14856,5.86489e-3,20.0280,5665.64,121.635,2.30520,4.70839e-4
0.0445195,0.0296574,1.50354,128.975,20.00,4.02810,5.69459e-3,20.0204,4579.68,128.975,2.51752,5.16037e-4
0.0486636,0.0324763,1.49837,136.315,20.00,5.27223,7.45344e-3,20.0299,4998.76,136.315,2.75186,5.65086e-4
0.0532641,0.0355684,1.49610,143.655,20.00,4.86579,6.87885e-3,20.0197,3846.13,143.655,3.01201,6.18890e-4
0.0580385,0.0389962,1.49420,151.061,20.00,4.55405,6.43814e-3,20.0256,2994.70,151.061,3.28200,6.78532e-4
0.0639238,0.0427569,1.49279,158.466,20.00,5.49234,7.76461e-3,20.0243,3004.32,158.466,3.61481,7.43968e-4
0.0698465,0.0468223,1.49160,165.806,20.00,4.65291,6.57790e-3,20.0229,2122.36,165.806,3.94972,8.14707e-4
0.0764871,0.0512855,1.49264,173.146,20.00,5.30885,7.50521e-3,20.0271,2018.42,173.146,4.32524,8.92367e-4
0.0837739,0.0561681,1.49226,180.486,20.00,6.10554,8.63150e-3,20.0253,1935.29,180.486,4.73731,9.77322e-4
0.0917689,0.0614434,1.49281,187.826,20.01,4.22763,5.97668e-3,20.0189,1119.82,187.826,5.18941,1.06911e-3
0.100582,0.0673626,1.49305,195.232,20.00,4.67855,6.61415e-3,20.0256,1031.04,195.232,5.68777,1.17211e-3
0.110313,0.0738118,1.49385,202.637,20.00,4.36862,6.17599e-3,20.0350,801.849,202.637,6.23804,1.28432e-3
0.120729,0.0808863,1.49374,209.977,20.00,4.87239,6.88819e-3,20.0153,744.720,209.977,6.82706,1.40742e-3
0.132477,0.0885852,1.49387,217.317,20.00,5.59772,7.91359e-3,20.0115,713.327,217.317,7.49139,1.54138e-3
0.144879,0.0970407,1.49356,224.657,20.00,4.42500,6.25569e-3,20.0195,469.900,224.657,8.19273,1.68850e-3
0.158731,0.106259,1.49345,231.997,20.00,4.71897,6.67129e-3,20.0034,417.942,231.997,8.97604,1.84890e-3
