Filename,psms_dmf_00_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,_10_PSMS_DMF
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0980879,6.86907e-3,14.6318,12.7140,19.99,-308.174,-0.435671,20.0344,-6531320,12.7140,5.54674,1.19522e-4
0.115333,7.53111e-3,14.8975,21.1682,19.99,-307.435,-0.434626,20.0274,-5420450,21.1682,6.52194,1.31041e-4
0.127342,8.24474e-3,14.7828,29.6223,19.99,-307.045,-0.434074,20.0264,-4516980,29.6223,7.20102,1.43458e-4
0.136582,9.03588e-3,14.2955,38.0109,20.00,-306.566,-0.433397,20.0280,-3754760,38.0109,7.72351,1.57224e-4
0.143770,9.89885e-3,13.7358,46.3995,20.00,-306.938,-0.433923,20.0294,-3132430,46.3995,8.13000,1.72240e-4
0.146870,0.0108416,12.8887,54.7881,20.00,-306.515,-0.433325,20.0295,-2607760,54.7881,8.30529,1.88643e-4
0.144272,0.0118720,11.8772,63.1767,20.00,-307.089,-0.434136,20.0239,-2178790,63.1767,8.15837,2.06572e-4
0.140499,0.0130044,10.8218,71.6309,20.00,-306.857,-0.433809,20.0221,-1814490,71.6309,7.94506,2.26276e-4
0.139718,0.0142512,9.73722,80.0850,20.00,-307.017,-0.434036,20.0228,-1511680,80.0850,7.90084,2.47970e-4
0.135693,0.0155891,8.70445,88.4736,20.00,-307.218,-0.434319,20.0329,-1264160,88.4736,7.67328,2.71250e-4
0.134727,0.0170881,7.75397,96.8622,20.00,-307.600,-0.434859,20.0289,-1053410,96.8622,7.61863,2.97332e-4
0.130418,0.0187079,6.92308,105.251,20.00,-308.059,-0.435508,20.0278,-880203,105.251,7.37496,3.25517e-4
0.125359,0.0204706,6.17716,113.639,20.00,-307.559,-0.434801,20.0258,-733949,113.639,7.08886,3.56188e-4
0.122292,0.0224427,5.52443,122.094,20.00,-308.167,-0.435661,20.0254,-611835,122.094,6.91547,3.90503e-4
0.119708,0.0245792,4.94356,130.548,20.00,-308.982,-0.436813,20.0239,-511443,130.548,6.76930,4.27678e-4
0.117971,0.0269059,4.43413,138.936,20.00,-308.620,-0.436302,20.0276,-426315,138.936,6.67111,4.68161e-4
0.118448,0.0294636,3.98030,147.325,20.00,-308.143,-0.435627,20.0264,-354961,147.325,6.69806,5.12665e-4
