Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,s,°C,Pa
9.65E-03,6.04E-03,1.59645,5.13973,19.99,-79.2901
9.43E-03,6.88E-03,1.37101,12.714,19.99,-80.2883
9.39E-03,7.54E-03,1.24581,21.1682,20,-81.2917
9.10E-03,8.26E-03,1.10269,29.6223,20,-82.1069
9.04E-03,9.04E-03,1.00014,38.0109,20,-82.8283
9.14E-03,9.91E-03,0.923135,46.3995,20,-83.8678
9.02E-03,0.0108494,0.831562,54.7881,20,-83.8636
8.89E-03,0.0118714,0.748448,63.1767,20,-84.1728
8.87E-03,0.0130068,0.681883,71.6309,20,-84.7587
9.00E-03,0.0142479,0.631508,80.085,20,-84.7927
9.29E-03,0.0155902,0.595644,88.4736,20,-68.6094
9.70E-03,0.0170764,0.568305,96.8622,20,-70.8747
9.83E-03,0.0186991,0.525441,105.251,20,-72.8479
0.0100926,0.0204742,0.492942,113.639,20,-74.1433
9.74E-03,0.0224603,0.433862,122.094,20,-74.3685
9.16E-03,0.0245829,0.37272,130.548,20,-75.7062
9.20E-03,0.0269117,0.341772,138.936,20,-76.4229
9.18E-03,0.0294626,0.311449,147.325,20,-77.0992
9.10E-03,0.0322676,0.281925,155.714,20,-77.6456
8.70E-03,0.0353194,0.246362,164.102,20,-78.1337
9.26E-03,0.0386871,0.23924,172.556,20,-78.6672
9.70E-03,0.0424083,0.228629,181.01,20,-79.0003
9.50E-03,0.0464104,0.204751,189.399,20,-79.465
9.46E-03,0.0508186,0.186074,197.788,20,-80.0983
9.43E-03,0.0556444,0.169511,206.176,20,-80.6388
9.41E-03,0.0608343,0.154744,214.565,20,-81.2268
9.38E-03,0.0666625,0.140637,223.019,20,-82.0617
9.45E-03,0.0730383,0.129434,231.473,20,-82.2042
9.31E-03,0.0799803,0.116462,239.862,20,-83.0835
9.23E-03,0.0875703,0.105445,248.25,20,-83.7439
9.41E-03,0.0959005,0.0981417,256.639,20,-83.9369
9.48E-03,0.105069,0.0902297,265.093,20,-84.7088
9.45E-03,0.115136,0.0820512,273.547,20,-85.5027
9.13E-03,0.126062,0.0724003,281.936,20,-85.3119
8.72E-03,0.138017,0.0632149,290.325,20,-85.7297
8.68E-03,0.151082,0.0574307,298.713,20,-86.3479
8.15E-03,0.165511,0.0492154,307.102,20,-87.0589
7.53E-03,0.181289,0.0415098,315.556,20,-87.3212
6.68E-03,0.198611,0.0336461,324.01,20,-87.6888
5.91E-03,0.217509,0.0271873,332.399,20,-88.0982
4.94E-03,0.238214,0.0207523,340.787,20,-88.5087
4.05E-03,0.26062,0.0155366,349.176,20,-88.3854
2.93E-03,0.285541,0.0102706,357.564,20,-88.6357
2.22E-03,0.312865,7.09E-03,366.019,20,-87.9509
1.77E-03,0.342537,5.15E-03,374.473,20,-88.1748
1.45E-03,0.375197,3.87E-03,382.861,20,-88.7587
1.31E-03,0.410669,3.19E-03,391.25,20,-89.3799
1.62E-03,0.449837,3.60E-03,399.639,20,-89.4108
1.60E-03,0.49233,3.25E-03,408.027,20,-89.7245
1.56E-03,0.539429,2.90E-03,416.481,20,-89.3219
1.59E-03,0.590904,2.69E-03,424.935,20,-90.0031
2.12E-03,0.647213,3.28E-03,433.324,20,-89.4789
1.46E-03,0.708495,2.05E-03,441.713,20,-89.5466
4.86E-04,0.775774,6.26E-04,450.101,20,-89.6849
-3.30E-06,0.849288,-3.89E-06,458.49,20,-89.6408
1.17E-03,0.930131,1.25E-03,466.944,20,-89.3318
6.31E-03,1.01925,6.19E-03,475.398,20,-89.7177
9.09E-03,1.1161,8.14E-03,483.787,20,-90.4342
8.39E-03,1.22195,6.87E-03,492.175,20,-90.54
7.18E-03,1.33773,5.37E-03,500.564,20,-89.9736
