Filename,pvk_chl_00_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,OSKT 0_PVK_CHL
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0595208,6.17378e-3,9.64089,3.46462,20.01,-211.602,-0.299146,20.0382,-5551590,3.46462,3.36582,1.07424e-4
8.43348e-3,7.34296e-3,1.14851,10.5513,20.00,-210.568,-0.297683,20.0135,-3905250,10.5513,0.476902,1.27767e-4
8.46894e-3,8.23251e-3,1.02872,17.5637,20.00,-210.638,-0.297783,20.0198,-3107940,17.5637,0.478907,1.43245e-4
8.49032e-3,9.21971e-3,0.920888,24.5760,20.00,-210.623,-0.297761,20.0259,-2477820,24.5760,0.480116,1.60423e-4
8.51577e-3,0.0103148,0.825586,31.5228,20.00,-211.136,-0.298486,20.0287,-1984440,31.5228,0.481555,1.79477e-4
8.51852e-3,0.0115410,0.738107,38.4697,20.00,-211.366,-0.298812,20.0248,-1586880,38.4697,0.481711,2.00814e-4
8.49605e-3,0.0129246,0.657354,45.4820,20.00,-213.382,-0.301662,20.0292,-1277390,45.4820,0.480440,2.24888e-4
8.48832e-3,0.0144752,0.586405,52.4944,20.00,-215.708,-0.304950,20.0289,-1029480,52.4944,0.480003,2.51868e-4
8.49013e-3,0.0161921,0.524337,59.4412,20.00,-217.353,-0.307275,20.0289,-829005,59.4412,0.480106,2.81742e-4
8.52120e-3,0.0181132,0.470441,66.3880,20.00,-221.058,-0.312513,20.0210,-673773,66.3880,0.481863,3.15170e-4
8.55502e-3,0.0202852,0.421738,73.4004,20.00,-224.600,-0.317521,20.0205,-545825,73.4004,0.483775,3.52961e-4
8.62135e-3,0.0227216,0.379434,80.4127,20.00,-225.028,-0.318126,20.0237,-435873,80.4127,0.487526,3.95355e-4
8.77830e-3,0.0254143,0.345407,87.3595,20.00,-225.833,-0.319264,20.0275,-349647,87.3595,0.496401,4.42209e-4
8.71440e-3,0.0284366,0.306450,94.3063,20.00,-226.201,-0.319784,20.0309,-279729,94.3063,0.492788,4.94796e-4
8.55176e-3,0.0318117,0.268825,101.253,20.00,-227.504,-0.321626,20.0247,-224810,101.253,0.483590,5.53522e-4
8.44010e-3,0.0356256,0.236911,108.266,20.00,-227.770,-0.322002,20.0297,-179461,108.266,0.477277,6.19885e-4
8.43490e-3,0.0398942,0.211432,115.278,20.00,-227.392,-0.321467,20.0315,-142874,115.278,0.476983,6.94158e-4
8.64912e-3,0.0446204,0.193838,122.225,20.00,-227.493,-0.321611,20.0262,-114262,122.225,0.489096,7.76393e-4
8.37742e-3,0.0499207,0.167815,129.171,20.00,-230.019,-0.325182,20.0263,-92300.4,129.171,0.473732,8.68618e-4
8.42499e-3,0.0559161,0.150672,136.184,20.00,-231.315,-0.327014,20.0250,-73982.6,136.184,0.476422,9.72939e-4
8.36135e-3,0.0625348,0.133707,143.196,20.00,-224.382,-0.317212,20.0172,-57377.8,143.196,0.472823,1.08810e-3
8.34961e-3,0.0699666,0.119337,150.143,20.00,-224.983,-0.318062,20.0304,-45958.7,150.143,0.472159,1.21742e-3
8.29569e-3,0.0782966,0.105952,157.090,20.00,-223.688,-0.316232,20.0085,-36488.6,157.090,0.469110,1.36236e-3
8.16807e-3,0.0875922,0.0932512,164.037,20.00,-223.853,-0.316465,20.0185,-29176.5,164.037,0.461894,1.52410e-3
8.05127e-3,0.0981127,0.0820614,171.049,20.00,-223.531,-0.316009,20.0107,-23221.3,171.049,0.455288,1.70716e-3
7.86950e-3,0.109909,0.0716005,178.061,20.00,-223.156,-0.315480,20.0203,-18473.4,178.061,0.445010,1.91240e-3
7.64881e-3,0.122956,0.0622075,185.008,20.00,-223.114,-0.315421,20.0197,-14758.0,185.008,0.432530,2.13943e-3
7.28585e-3,0.137533,0.0529753,191.955,20.00,-223.340,-0.315739,20.0282,-11807.4,191.955,0.412005,2.39307e-3
7.04899e-3,0.154084,0.0457477,198.967,20.00,-222.664,-0.314784,20.0328,-9378.54,198.967,0.398611,2.68105e-3
6.88923e-3,0.172500,0.0399376,205.980,20.00,-222.299,-0.314267,20.0223,-7470.64,205.980,0.389577,3.00150e-3
6.62334e-3,0.193079,0.0343038,212.926,20.00,-222.499,-0.314551,20.0320,-5968.39,212.926,0.374541,3.35957e-3
6.34671e-3,0.215943,0.0293907,219.873,20.00,-222.029,-0.313886,20.0282,-4761.37,219.873,0.358898,3.75740e-3
5.85817e-3,0.241900,0.0242173,226.886,20.00,-221.902,-0.313707,20.0283,-3792.17,226.886,0.331272,4.20906e-3
5.55162e-3,0.270760,0.0205038,233.898,20.00,-221.311,-0.312871,20.0367,-3018.79,233.898,0.313936,4.71122e-3
5.33661e-3,0.303018,0.0176115,240.845,20.00,-221.814,-0.313582,20.0246,-2415.76,240.845,0.301778,5.27250e-3
5.73306e-3,0.339190,0.0169022,247.792,20.00,-221.164,-0.312664,20.0252,-1922.34,247.792,0.324197,5.90189e-3
6.44248e-3,0.379207,0.0169893,254.738,20.00,-220.417,-0.311607,20.0368,-1532.82,254.738,0.364314,6.59819e-3
7.04435e-3,0.424779,0.0165836,261.751,20.00,-220.450,-0.311653,20.0346,-1221.75,261.751,0.398348,7.39114e-3
6.64349e-3,0.475446,0.0139732,268.763,20.00,-220.007,-0.311027,20.0313,-973.272,268.763,0.375681,8.27274e-3
6.08277e-3,0.532145,0.0114307,275.710,20.00,-218.905,-0.309469,20.0256,-773.029,275.710,0.343973,9.25930e-3
5.57126e-3,0.595528,9.35516e-3,282.657,20.00,-218.268,-0.308569,20.0292,-615.440,282.657,0.315047,0.0103622
5.67026e-3,0.666635,8.50579e-3,289.669,20.00,-216.757,-0.306433,20.0295,-487.749,289.669,0.320646,0.0115994
