Filename,pvk_chl_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,OSKT 1_PVK_CHL
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,s,°C,Pa
0.266741,7.75823e-3,34.3817,4.91523,20.00,-347.278
0.354810,7.34260e-3,48.3221,10.5513,20.00,-334.261
0.426190,8.18803e-3,52.0504,17.5637,19.99,-341.165
0.503499,9.20026e-3,54.7266,24.5760,20.00,-309.085
0.585266,0.0103153,56.7379,31.5228,20.00,-283.928
0.658075,0.0115177,57.1360,38.4697,19.99,-269.258
0.752001,0.0129085,58.2564,45.4820,20.00,-248.973
0.842958,0.0144523,58.3267,52.4944,20.00,-238.634
0.949429,0.0161852,58.6605,59.4412,20.00,-237.370
1.06147,0.0180858,58.6909,66.3880,20.00,-223.146
1.18315,0.0202520,58.4213,73.4004,20.00,-205.213
1.31909,0.0227032,58.1014,80.4127,20.00,-204.202
1.46970,0.0254045,57.8521,87.3595,20.00,-186.568
1.63033,0.0284141,57.3776,94.3063,20.00,-185.084
1.81178,0.0317825,57.0056,101.253,20.00,-176.482
1.99925,0.0355919,56.1713,108.266,20.00,-173.647
2.20897,0.0398666,55.4090,115.278,20.00,-147.702
2.43249,0.0446037,54.5357,122.225,20.00,-156.310
2.67953,0.0499066,53.6909,129.171,20.00,-181.667
2.94974,0.0558883,52.7792,136.184,20.00,-145.992
3.23798,0.0625047,51.8038,143.196,20.00,-163.017
3.54886,0.0699448,50.7381,150.143,20.00,-159.172
3.88341,0.0782471,49.6301,157.090,20.00,-156.834
4.24243,0.0875590,48.4523,164.037,20.00,-166.568
4.63389,0.0980860,47.2431,171.049,20.00,-179.143
5.05636,0.109864,46.0238,178.061,20.00,-175.602
5.50270,0.122890,44.7776,185.008,20.00,-166.680
5.98123,0.137516,43.4948,191.955,20.00,-156.008
6.50300,0.154025,42.2204,198.967,20.00,-186.739
7.05966,0.172491,40.9278,205.980,20.00,-191.349
7.65058,0.192972,39.6460,212.926,20.00,-193.766
8.28086,0.215919,38.3516,219.873,20.00,-194.170
8.96451,0.241818,37.0713,226.886,20.00,-190.104
9.69238,0.270788,35.7933,233.898,20.00,-206.464
10.4639,0.302980,34.5367,240.845,20.00,-208.976
11.2968,0.338958,33.3279,247.792,20.00,-208.832
12.1788,0.379194,32.1175,254.738,20.00,-231.537
13.0982,0.424688,30.8418,261.751,20.00,-228.506
14.0879,0.475576,29.6229,268.763,20.00,-244.099
15.1362,0.532070,28.4478,275.710,20.00,-246.240
16.2409,0.595259,27.2837,282.657,20.00,-243.867
17.4235,0.666628,26.1368,289.669,20.00,-251.906
18.6649,0.746550,25.0016,296.681,20.00,-253.220
19.9704,0.835191,23.9111,303.628,20.00,-250.461
21.3559,0.934343,22.8566,310.575,20.00,-270.559
22.8460,1.04639,21.8332,317.587,20.00,-255.713
24.4398,1.17182,20.8563,324.600,20.00,-256.106
26.1273,1.31094,19.9302,331.547,20.00,-259.167
27.9398,1.46657,19.0511,338.493,20.00,-236.446
29.8922,1.64067,18.2195,345.440,20.00,-214.897
31.9996,1.83741,17.4156,352.453,20.00,-227.323
34.2100,2.05768,16.6255,359.465,20.00,-241.560
36.5216,2.30194,15.8656,366.412,20.00,-239.378
39.0105,2.57522,15.1484,373.359,20.00,-193.747
41.7225,2.88401,14.4668,380.371,20.00,-133.343
44.6545,3.22972,13.8261,387.383,20.00,-69.2869
47.8055,3.61309,13.2312,394.330,20.00,-12.4968
51.2068,4.04205,12.6685,401.277,20.00,-7.95961
54.7766,4.52181,12.1139,408.224,20.00,-11.4159
58.5079,5.06410,11.5535,415.236,20.00,109.827
62.5034,5.67106,11.0215,422.248,20.00,83.1591
66.6390,6.34425,10.5038,429.195,20.00,86.6787
71.1431,7.09746,10.0237,436.142,20.00,191.162
76.0667,7.94847,9.56997,443.154,20.00,249.091
81.1596,8.90131,9.11772,450.167,20.00,283.824
86.4744,9.95794,8.68397,457.114,20.00,261.550
92.3216,11.1399,8.28746,464.060,20.00,296.186
98.2310,12.4759,7.87365,471.073,20.00,249.724
104.201,13.9712,7.45824,478.085,20.00,455.251
110.961,15.6298,7.09936,485.032,20.00,442.648
118.119,17.4852,6.75536,491.979,20.00,379.655
125.249,19.5606,6.40313,498.926,20.00,524.164
133.256,21.9065,6.08291,505.938,20.00,566.880
141.242,24.5322,5.75742,512.950,20.00,578.399
149.395,27.4445,5.44354,519.897,20.00,741.451
157.803,30.7023,5.13979,526.844,20.00,755.458
166.757,34.3838,4.84987,533.856,20.00,781.703
176.840,38.5054,4.59261,540.869,20.00,866.353
186.630,43.0764,4.33253,547.815,20.00,973.388
196.668,48.1896,4.08114,554.762,20.00,970.376
207.881,53.9102,3.85606,561.709,20.00,1066.99
219.240,60.3747,3.63133,568.721,20.00,1145.67
231.156,67.6118,3.41887,575.734,20.00,1229.79
243.226,75.6377,3.21567,582.681,20.00,1386.67
255.542,84.6165,3.02000,589.627,20.00,1421.58
268.166,94.5589,2.83597,596.509,20.00,1571.32

