Filename,pvk_dcm_00_3
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,13/12/2019
Sample name,_3_PVK_DCM
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0775388,6.57094e-3,11.8003,4.19434,19.99,-165.888,-0.234519,20.0297,-3842030,4.19434,4.38471,1.14334e-4
-4.20055e-3,6.89697e-3,-0.609043,12.7521,19.99,-165.579,-0.234081,20.0254,-3480870,12.7521,-0.237536,1.20007e-4
-4.30741e-3,7.57451e-3,-0.568672,21.2071,19.99,-167.082,-0.236206,20.0278,-2912190,21.2071,-0.243578,1.31796e-4
-4.02227e-3,8.27715e-3,-0.485949,29.6223,19.99,-167.387,-0.236638,20.0283,-2443210,29.6223,-0.227454,1.44022e-4
-4.74950e-3,9.01926e-3,-0.526595,38.0109,20.00,-166.202,-0.234963,20.0270,-2043120,38.0109,-0.268578,1.56935e-4
-3.95164e-3,9.88922e-3,-0.399591,46.3995,19.99,-166.580,-0.235497,20.0210,-1703330,46.3995,-0.223460,1.72072e-4
-4.47039e-3,0.0108840,-0.410731,54.7881,20.00,-166.435,-0.235292,20.0178,-1404980,54.7881,-0.252795,1.89381e-4
-4.59471e-3,0.0118388,-0.388107,63.1767,20.00,-164.769,-0.232936,20.0239,-1175600,63.1767,-0.259825,2.05994e-4
-3.85342e-3,0.0129965,-0.296496,71.6309,20.00,-163.496,-0.231137,20.0295,-967954,71.6309,-0.217906,2.26139e-4
-4.48271e-3,0.0142339,-0.314933,80.0850,20.00,-170.455,-0.240974,20.0290,-841324,80.0850,-0.253491,2.47669e-4
-4.61213e-3,0.0156286,-0.295107,88.4736,20.00,-166.615,-0.235547,20.0253,-682138,88.4736,-0.260810,2.71938e-4
-4.69751e-3,0.0170626,-0.275311,96.8622,20.00,-165.692,-0.234242,20.0294,-569132,96.8622,-0.265638,2.96888e-4
-3.78973e-3,0.0186867,-0.202804,105.251,20.00,-164.698,-0.232836,20.0234,-471654,105.251,-0.214304,3.25147e-4
-3.47633e-3,0.0204844,-0.169706,113.639,20.00,-167.160,-0.236317,20.0261,-398368,113.639,-0.196582,3.56429e-4
-3.64308e-3,0.0224386,-0.162357,122.094,20.00,-171.580,-0.242566,20.0256,-340780,122.094,-0.206011,3.90432e-4
-3.99094e-3,0.0245925,-0.162283,130.548,20.00,-168.562,-0.238299,20.0234,-278712,130.548,-0.225682,4.27908e-4
-4.37588e-3,0.0269166,-0.162572,138.936,20.00,-167.954,-0.237439,20.0256,-231820,138.936,-0.247450,4.68347e-4
-4.30051e-3,0.0294523,-0.146016,147.325,20.00,-166.795,-0.235801,20.0146,-192284,147.325,-0.243188,5.12470e-4
-3.83333e-3,0.0322406,-0.118897,155.714,20.00,-165.876,-0.234501,20.0148,-159579,155.714,-0.216769,5.60985e-4
-3.41992e-3,0.0353126,-0.0968469,164.102,20.00,-165.122,-0.233436,20.0121,-132418,164.102,-0.193392,6.14438e-4
-3.34974e-3,0.0386970,-0.0865632,172.556,20.00,-164.681,-0.232812,20.0133,-109974,172.556,-0.189423,6.73326e-4
-3.33535e-3,0.0423928,-0.0786773,181.010,20.00,-165.068,-0.233359,20.0087,-91849.9,181.010,-0.188610,7.37633e-4
-3.93094e-3,0.0464236,-0.0846754,189.399,20.00,-173.587,-0.245404,20.0142,-80545.4,189.399,-0.222289,8.07769e-4
-4.04398e-3,0.0508235,-0.0795691,197.788,20.00,-170.337,-0.240808,20.0145,-65944.7,197.788,-0.228682,8.84326e-4
-4.23404e-3,0.0556445,-0.0760908,206.176,20.00,-169.016,-0.238941,20.0244,-54586.2,206.176,-0.239429,9.68212e-4
