Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,s,°C,Pa
1.3619,8.02E-03,169.871,5.96381,20,6.95405
1.74302,6.81E-03,255.843,12.714,20,-16.9611
2.2686,7.50E-03,302.33,21.1682,20,0.928978
2.77733,8.24E-03,337.007,29.6223,20,-1.1261
3.18231,9.02E-03,352.726,38.0109,20,-10.2612
3.54128,9.88E-03,358.446,46.3995,20,-10.2693
3.83314,0.0108209,354.235,54.7881,20,4.53284
4.09227,0.0118585,345.09,63.1767,20,-11.5069
4.29375,0.0129953,330.407,71.6309,20,12.6802
4.50181,0.0142445,316.039,80.085,20,13.284
4.68789,0.0155899,300.7,88.4736,20,31.5581
4.86401,0.017067,284.994,96.8622,20,33.0277
5.05659,0.018687,270.594,105.251,20,29.3435
5.2595,0.020465,257,113.639,20,10.4439
5.47982,0.0224222,244.393,122.094,20,26.4081
5.69044,0.0245651,231.647,130.548,20,10.9638
5.90712,0.0268973,219.617,138.936,20,9.43304
6.11927,0.0294537,207.759,147.325,20,-0.676104
6.32638,0.0322493,196.171,155.714,20,10.0288
6.52203,0.0353099,184.708,164.102,20,-1.14009
6.69775,0.038687,173.127,172.556,20,1.62432
6.87143,0.0423872,162.111,181.01,20,16.4437
7.03305,0.0464088,151.546,189.399,20,-4.70516
7.17933,0.0508116,141.293,197.788,20,2.11424
7.31638,0.0556312,131.516,206.176,20,-8.95138
7.45743,0.0608147,122.626,214.565,20,-21.6772
7.60257,0.0666532,114.062,223.019,20,-20.7896
7.73652,0.0730311,105.934,231.473,20,-41.2255
7.85566,0.079976,98.2252,239.862,20,-44.3907
7.99019,0.0875605,91.2534,248.25,20,-41.3769
8.14412,0.095884,84.9372,256.639,20,-45.0061
8.27259,0.105059,78.7423,265.093,20,-27.2645
8.35658,0.115112,72.5951,273.547,20,-38.8591
8.45268,0.126044,67.0615,281.936,20,-48.8785
8.60401,0.138004,62.3459,290.325,20,-64.3974
8.8142,0.151117,58.3271,298.713,20,-69.0802
9.01878,0.165438,54.5147,307.102,20,-66.9225
9.2658,0.181275,51.1147,315.556,20,-61.4396
9.50872,0.19862,47.8739,324.01,20,-71.0717
9.73297,0.217455,44.7586,332.399,20,-95.8506
9.95534,0.238098,41.8119,340.787,20,-82.9224
10.2012,0.260682,39.1329,349.176,20,-88.8436
10.5008,0.285412,36.7919,357.564,20,-88.2692
10.8571,0.312711,34.7192,366.019,20,-78.3102
11.2976,0.34263,32.9732,374.473,20,-82.5196
11.6025,0.37512,30.9301,382.861,20,-100.416
12.1597,0.410709,29.6067,391.25,20,-75.6311
12.5454,0.449674,27.8989,399.639,20,-73.7832
13.025,0.492315,26.4566,408.027,20,-68.7753
13.5494,0.539405,25.1192,416.481,20,-75.6823
14.0914,0.590991,23.8437,424.935,20,-51.6005
14.7499,0.647033,22.7963,433.324,20,-63.076
15.5269,0.708409,21.918,441.713,20,-62.8693
16.4827,0.77559,21.2519,450.101,20,-54.0623
17.5398,0.849157,20.6556,458.49,20,-80.5692
18.5975,0.930379,19.9892,466.944,20,-74.7538
19.4658,1.01934,19.0965,475.398,20,-83.451
20.3093,1.11602,18.1979,483.787,20,-89.6856
21.1033,1.22186,17.2714,492.175,20,-69.4689
22.036,1.33775,16.4724,500.564,20,-43.0356
22.9927,1.46567,15.6874,509.018,20,-40.0701
24.1471,1.60582,15.0372,517.472,20,-23.2724
25.1172,1.75813,14.2863,525.861,20,-9.54485
25.8622,1.92488,13.4357,534.25,20,2.84713
26.6457,2.10743,12.6437,542.638,20,-41.762
27.557,2.30729,11.9435,551.027,20,-85.5058
