Filename,std_noseal
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,19/12/2019
Sample name,std_noseal
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
-5.77940,-0.0700562,82.4966,3.99305,19.95,110.833,0.156686,20.0352,22582.7,3.99305,-326.817,-1.21898e-3
5.48873e-3,6.84597e-3,0.801747,11.1412,19.97,111.081,0.157037,20.0412,2370120,11.1412,0.310381,1.19120e-4
7.44210e-3,7.49972e-3,0.992317,18.5467,19.97,111.678,0.157880,20.0407,1985530,18.5467,0.420841,1.30495e-4
9.54625e-3,8.24205e-3,1.15824,25.9523,19.98,111.710,0.157926,20.0338,1644450,25.9523,0.539828,1.43411e-4
0.0108064,9.03711e-3,1.19578,33.2923,19.98,111.632,0.157816,20.0384,1366880,33.2923,0.611089,1.57245e-4
0.0123157,9.92985e-3,1.24027,40.6324,19.99,110.395,0.156067,20.0322,1119610,40.6324,0.696437,1.72779e-4
0.0135911,0.0108637,1.25105,47.9724,19.99,110.718,0.156525,20.0313,938126,47.9724,0.768558,1.89029e-4
0.0155222,0.0119083,1.30348,55.3124,19.99,111.141,0.157122,20.0351,783740,55.3124,0.877762,2.07205e-4
0.0171864,0.0130419,1.31778,62.7180,20.00,110.263,0.155881,20.0306,648257,62.7180,0.971869,2.26929e-4
0.0193435,0.0143081,1.35193,70.1236,20.00,110.237,0.155844,20.0285,538473,70.1236,1.09385,2.48961e-4
0.0214620,0.0156413,1.37214,77.4636,20.00,110.310,0.155948,20.0333,450889,77.4636,1.21365,2.72158e-4
0.0236796,0.0171409,1.38147,84.8036,20.00,109.243,0.154439,20.0353,371816,84.8036,1.33905,2.98251e-4
0.0265010,0.0187936,1.41011,92.1436,20.00,110.015,0.155530,20.0312,311482,92.1436,1.49859,3.27007e-4
0.0291347,0.0205679,1.41651,99.4837,20.00,110.603,0.156361,20.0321,261449,99.4837,1.64753,3.57881e-4
0.0324947,0.0225671,1.43991,106.889,20.00,109.608,0.154955,20.0278,215224,106.889,1.83753,3.92667e-4
0.0357213,0.0247210,1.44498,114.295,20.00,110.259,0.155874,20.0338,180419,114.295,2.01999,4.30144e-4
0.0397063,0.0270801,1.46625,121.635,20.00,109.317,0.154543,20.0331,149068,121.635,2.24534,4.71193e-4
0.0435876,0.0296615,1.46950,128.975,20.00,109.745,0.155149,20.0308,124739,128.975,2.46482,5.16108e-4
0.0482991,0.0324762,1.48722,136.315,20.00,108.588,0.153513,20.0276,102956,136.315,2.73125,5.65085e-4
0.0530473,0.0355712,1.49130,143.655,20.00,109.265,0.154470,20.0335,86354.2,143.655,2.99976,6.18938e-4
0.0586174,0.0389926,1.50330,151.061,20.00,107.884,0.152518,20.0317,70956.9,151.061,3.31474,6.78469e-4
0.0644351,0.0427297,1.50797,158.466,20.00,108.389,0.153232,20.0288,59364.4,158.466,3.64372,7.43496e-4
0.0708419,0.0468079,1.51346,165.806,20.00,107.727,0.152295,20.0194,49168.2,165.806,4.00602,8.14456e-4
0.0781098,0.0512676,1.52357,173.146,20.00,108.651,0.153602,20.0293,41337.9,173.146,4.41700,8.92055e-4
0.0855444,0.0561611,1.52320,180.486,20.00,107.591,0.152103,20.0283,34111.8,180.486,4.83742,9.77201e-4
0.0941689,0.0613997,1.53370,187.826,20.00,107.628,0.152155,20.0280,28549.1,187.826,5.32513,1.06835e-3
